cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.7065775000,18.7700,13.1983,153.5945,174.9969,-7.7895567294323E-01
2.8870160000,16.3193,10.6612,153.5945,174.9969,-6.5919598567040E-01
3.0674545000,14.4744,9.2607,153.5945,174.9969,-5.5525262771023E-01
3.2478930000,13.0970,8.4501,153.5945,174.9969,-4.5627101360876E-01
3.4283315000,11.9187,7.7545,153.5945,174.9969,-3.7252298320752E-01
3.6087700000,10.5052,6.8297,153.5945,174.9969,-3.0778188603751E-01
3.7892085000,8.5873,5.5295,153.5945,174.9969,-2.5731752336535E-01
3.9696470000,6.3418,4.0250,153.5945,174.9969,-2.1755792625708E-01
4.1500855000,4.2627,2.6689,153.5945,174.9969,-1.8812448175612E-01
4.3305240000,2.6954,1.6722,162.8648,175.0104,-1.7326963650104E-01
4.5109625000,1.6629,1.0272,281.6361,176.8684,-1.8421676261812E-01
4.6914010000,1.0273,0.6341,431.4989,206.4147,-2.2327499931678E-01
4.8718395000,0.6449,0.3986,459.1996,272.0459,-2.7669117895660E-01
5.0522780000,0.4141,0.2567,500.9924,307.4737,-3.0524996988495E-01
5.2327165000,0.2726,0.1696,522.7374,320.4886,-3.0511288737766E-01
5.4131550000,0.1841,0.1150,530.7121,325.8079,-2.8752998470223E-01
5.5935935000,0.1273,0.0799,533.9767,328.3470,-2.6098822507722E-01
5.7740320000,0.0901,0.0568,535.5356,329.7146,-2.3183866932783E-01
5.9544705000,0.0651,0.0412,536.3785,330.5202,-2.0404586554646E-01
6.1349090000,0.0480,0.0306,536.8752,331.0238,-1.7927335365878E-01
6.3153475000,0.0360,0.0230,537.1894,331.3587,-1.5765438310464E-01
6.4957860000,0.0275,0.0176,537.3969,331.5846,-1.3868053726239E-01
6.6762245000,0.0213,0.0137,537.5391,331.7442,-1.2179601187220E-01
6.8566630000,0.0167,0.0108,537.6399,331.8602,-1.0663144322018E-01
7.0371015000,0.0133,0.0087,537.7132,331.9448,-9.3022088406412E-02
7.2175400000,0.0107,0.0070,537.7677,332.0089,-8.0885575721714E-02
7.3979785000,0.0087,0.0057,537.8088,332.0575,-7.0162373201641E-02
7.5784170000,0.0072,0.0047,537.8408,332.0962,-6.0786750034055E-02
7.7588555000,0.0059,0.0039,537.8653,332.1252,-5.2649530808862E-02
7.9392940000,0.0050,0.0033,537.8846,332.1485,-4.5630637451425E-02
8.1197325000,0.0042,0.0028,537.8998,332.1669,-3.9597811998346E-02
8.3001710000,0.0036,0.0024,537.9123,332.1818,-3.4427013330214E-02
8.4806095000,0.0030,0.0021,537.9232,332.1940,-2.9991922191162E-02
8.6610480000,0.0026,0.0018,537.9315,332.2070,-2.6185668186909E-02
8.8414865000,0.0023,0.0015,537.9385,332.2152,-2.2920527538983E-02
