cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.7280325025,19.7445,16.3222,153.5945,174.9969,-1.6950502966562E-01
2.9099013360,17.0483,14.1013,153.5945,174.9969,-1.4384573504425E-01
3.0917701695,14.9264,12.8451,153.5945,174.9969,-1.2166705544101E-01
3.2736390030,13.3612,11.9062,153.5945,174.9969,-9.9974263769715E-02
3.4555078365,12.1091,10.7366,153.5945,174.9969,-8.1409491006012E-02
3.6373766700,10.7016,9.0199,153.5945,174.9969,-6.7114061747313E-02
3.8192455035,8.8157,6.8652,153.5945,174.9969,-5.5986213918431E-02
4.0011143370,6.5716,4.7371,153.5945,174.9969,-4.7195818828366E-02
4.1829831705,4.4504,3.0377,153.5945,174.9969,-4.0701692043853E-02
4.3648520040,2.8268,1.8731,157.0877,174.9998,-3.6686576193126E-02
4.5467208375,1.7476,1.1445,270.1465,175.7637,-3.9470411495829E-02
4.7285896710,1.0803,0.7067,427.3441,194.5436,-4.7301240287831E-02
4.9104585045,0.6781,0.4456,454.9981,257.4972,-5.8878581135918E-02
5.0923273380,0.4353,0.2883,496.9408,301.1107,-6.7150179631879E-02
5.2741961715,0.2864,0.1914,521.1180,317.8099,-6.8403420889353E-02
5.4560650050,0.1932,0.1303,530.0711,324.4970,-6.5067711652375E-02
5.6379338385,0.1336,0.0910,533.6749,327.6071,-5.9311903079252E-02
5.8198026720,0.0944,0.0649,535.3755,329.2573,-5.2761923607487E-02
6.0016715055,0.0683,0.0474,536.2812,330.2125,-4.6449563799630E-02
6.1835403390,0.0503,0.0353,536.8116,330.8067,-4.0817760307382E-02
6.3654091725,0.0377,0.0266,537.1473,331.2011,-3.5918803224304E-02
6.5472780060,0.0287,0.0205,537.3671,331.4671,-3.1630462774006E-02
6.7291468395,0.0223,0.0160,537.5167,331.6528,-2.7812793576746E-02
6.9110156730,0.0175,0.0126,537.6234,331.7883,-2.4377943445585E-02
7.0928845065,0.0139,0.0102,537.6999,331.8868,-2.1284319746052E-02
7.2747533400,0.0112,0.0082,537.7577,331.9623,-1.8517498235640E-02
7.4566221735,0.0091,0.0068,537.8004,332.0186,-1.6067322294641E-02
7.6384910070,0.0075,0.0056,537.8345,332.0646,-1.3922066744456E-02
7.8203598405,0.0062,0.0047,537.8599,332.0987,-1.2058035680405E-02
8.0022286740,0.0052,0.0039,537.8801,332.1262,-1.0451383378755E-02
8.1840975075,0.0044,0.0033,537.8960,332.1479,-9.0688827684600E-03
8.3659663410,0.0038,0.0029,537.9088,332.1654,-7.8840127681462E-03
8.5478351745,0.0032,0.0024,537.9210,332.1830,-6.8678551716734E-03
8.7297040080,0.0027,0.0021,537.9294,332.1946,-5.9957110921113E-03
8.9115728415,0.0024,0.0018,537.9363,332.2043,-5.2479949394689E-03
