cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.8692757500,20.2080,14.8030,263.4508,174.9969,-1.6982290394276E-01
3.0605608000,17.7987,13.1729,263.4508,174.9969,-1.4286163262832E-01
3.2518458500,15.7403,12.1361,263.4508,174.9969,-1.1735483855631E-01
3.4431309000,13.9429,11.0012,263.4508,174.9969,-9.5219932743128E-02
3.6344159500,12.4027,9.3771,263.4508,174.9969,-7.8193432609960E-02
3.8257010000,10.7649,7.3358,263.4508,174.9969,-6.4973901663438E-02
4.0169860500,8.7188,5.2818,263.4508,174.9969,-5.4338833396896E-02
4.2082711000,6.3987,3.5428,263.4508,174.9969,-4.6258001368629E-02
4.3995561500,4.2809,2.2493,263.4508,174.9971,-4.0904963482897E-02
4.5908412000,2.6989,1.3850,263.4508,175.1188,-3.8033737016832E-02
4.7821262500,1.6629,0.8481,263.4544,182.1483,-3.7960497864800E-02
4.9734113000,1.0272,0.5258,318.6202,232.9573,-4.7322489096981E-02
5.1646963500,0.6452,0.3331,466.8214,290.5002,-6.0777746471635E-02
5.3559814000,0.4148,0.2165,468.1524,314.2550,-6.1368208044950E-02
5.5472664500,0.2735,0.1445,468.1859,323.1574,-5.7534158580032E-02
5.7385515000,0.1850,0.0991,468.1890,327.0334,-5.1753258468086E-02
5.9298365500,0.1281,0.0695,468.1896,328.9889,-4.5578869508056E-02
6.1211216000,0.0909,0.0499,468.1898,330.0805,-3.9855211691674E-02
6.3124066500,0.0657,0.0365,468.1898,330.7473,-3.4854746623278E-02
6.5036917000,0.0485,0.0273,468.1899,331.1714,-3.0529967154526E-02
6.6949767500,0.0364,0.0208,468.1899,331.4537,-2.6735183539762E-02
6.8862618000,0.0278,0.0160,468.1899,331.6510,-2.3351850635380E-02
7.0775468500,0.0216,0.0126,468.1899,331.7900,-2.0315377698221E-02
7.2688319000,0.0170,0.0100,468.1899,331.8928,-1.7601572433388E-02
7.4601169500,0.0135,0.0081,468.1899,331.9680,-1.5199523697722E-02
7.6514020000,0.0109,0.0065,468.1899,332.0274,-1.3099740304510E-02
7.8426870500,0.0089,0.0054,468.1899,332.0709,-1.1280795977545E-02
8.0339721000,0.0073,0.0045,468.1899,332.1052,-9.7196878518265E-03
8.2252571500,0.0061,0.0038,468.1899,332.1319,-8.3834337512851E-03
8.4165422000,0.0051,0.0032,468.1899,332.1532,-7.2448069967093E-03
8.6078272500,0.0042,0.0027,468.1899,332.1736,-6.2743017169667E-03
8.7991123000,0.0036,0.0023,468.1899,332.1874,-5.4465488270010E-03
8.9903973500,0.0031,0.0020,468.1899,332.1987,-4.7399559641490E-03
9.1816824000,0.0027,0.0017,468.1899,332.2085,-4.1374982478486E-03
9.3729674500,0.0023,0.0015,468.1899,332.2163,-3.6207986350103E-03
