cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.0736981646,23.0813,13.4911,688.0353,174.9969,-1.4968761259290E-01
3.2786113755,19.2538,12.5996,688.0353,174.9969,-1.2460493091942E-01
3.4835245865,16.5140,11.9639,688.0353,174.9969,-1.0471395274646E-01
3.6884377975,14.3277,11.1014,688.0353,174.9969,-8.8298987274147E-02
3.8933510085,12.5391,9.6273,688.0353,174.9969,-7.4025029515827E-02
4.0982642194,10.9736,7.4900,688.0353,174.9969,-6.1421548011926E-02
4.3031774304,9.5302,5.1671,688.0353,174.9969,-5.1166222488735E-02
4.5080906414,8.1377,3.2504,688.0353,174.9969,-4.3503191509977E-02
4.7130038523,6.6834,1.9515,688.0353,174.9985,-3.7932075063675E-02
4.9179170633,5.1514,1.1613,688.0353,175.6711,-3.3884340561678E-02
5.1228302743,3.6966,0.7006,688.0353,195.3720,-3.1622523977211E-02
5.3277434853,2.5030,0.4331,688.0353,261.4299,-3.1552806227662E-02
5.5326566962,1.6386,0.2754,688.0353,303.8057,-3.1123648206777E-02
5.7375699072,1.0608,0.1801,688.0353,319.2360,-2.9989137781155E-02
5.9424831182,0.6903,0.1211,688.0353,325.2956,-2.8477742727378E-02
6.1473963291,0.4556,0.0836,688.0353,328.1045,-2.6790288820014E-02
6.3523095401,0.3064,0.0591,688.0353,329.5868,-2.5012539596000E-02
6.5572227511,0.2103,0.0427,688.0353,330.4473,-2.3119246761242E-02
6.7621359621,0.1473,0.0315,688.0353,330.9821,-2.1074522039387E-02
6.9670491730,0.1052,0.0236,688.0353,331.3323,-1.8914238311850E-02
7.1719623840,0.0766,0.0180,688.0353,331.5678,-1.6743692791173E-02
7.3768755950,0.0568,0.0140,688.0353,331.7330,-1.4675592935788E-02
7.5817888059,0.0428,0.0110,688.0353,331.8535,-1.2790078610858E-02
7.7867020169,0.0326,0.0087,688.0353,331.9433,-1.1120118091930E-02
7.9916152279,0.0253,0.0070,688.0353,332.0081,-9.6644164515577E-03
8.1965284389,0.0199,0.0057,688.0353,332.0573,-8.4031550010103E-03
8.4014416498,0.0158,0.0047,688.0353,332.0961,-7.3101427896864E-03
8.6063548608,0.0127,0.0039,688.0353,332.1257,-6.3605014060685E-03
8.8112680718,0.0103,0.0033,688.0353,332.1501,-5.5341814203727E-03
9.0161812827,0.0085,0.0028,688.0353,332.1687,-4.8155611476285E-03
9.2210944937,0.0070,0.0024,688.0353,332.1847,-4.1913665923043E-03
9.4260077047,0.0058,0.0020,688.0353,332.1978,-3.6500752775899E-03
9.6309209157,0.0049,0.0017,688.0353,332.2077,-3.1821385126948E-03
9.8358341266,0.0042,0.0015,688.0353,332.2160,-2.7780642035549E-03
10.0407473376,0.0036,0.0013,688.0353,332.2229,-2.4292271809931E-03
