cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.0570472613,10.8459,14.9268,174.9969,210.5231,-8.7986356299688E-01
3.2608504121,9.1439,12.2705,174.9969,210.5231,-7.2852557677517E-01
3.4646535628,8.0031,10.6113,174.9969,210.5231,-6.0101304023415E-01
3.6684567136,6.9718,9.3252,174.9969,210.5231,-5.0067375203095E-01
3.8722598643,5.9638,8.1064,174.9969,210.5231,-4.1883530519811E-01
4.0760630151,5.0206,6.8560,174.9969,210.5231,-3.5016862260091E-01
4.2798661659,4.1158,5.5017,174.9969,210.5231,-2.9514897406571E-01
4.4836693166,3.2084,4.0867,174.9969,210.5231,-2.5415591653852E-01
4.6874724674,2.3352,2.7987,174.9970,210.5232,-2.2516517625124E-01
4.8912756181,1.5900,1.8030,175.0223,210.7659,-2.0538635507994E-01
5.0950787689,1.0328,1.1267,176.7894,213.6068,-1.9779406001728E-01
5.2988819196,0.6562,0.7010,202.2973,213.7623,-2.1659056883828E-01
5.5026850704,0.4164,0.4415,266.6129,213.7178,-2.3610758560080E-01
5.7064882211,0.2675,0.2840,305.3911,213.6915,-2.3509641537556E-01
5.9102913719,0.1752,0.1871,319.8265,213.6828,-2.2333881807148E-01
6.1140945226,0.1174,0.1263,325.6092,213.6795,-2.0621532856564E-01
6.3178976734,0.0805,0.0874,328.3070,213.6781,-1.8620246292163E-01
6.5217008242,0.0565,0.0618,329.7321,213.6773,-1.6539132928674E-01
6.7255039749,0.0405,0.0447,330.5570,213.6769,-1.4546673116564E-01
6.9293071257,0.0296,0.0330,331.0665,213.6766,-1.2739407986590E-01
7.1331102764,0.0221,0.0248,331.3980,213.6764,-1.1146413804677E-01
7.3369134272,0.0167,0.0189,331.6222,213.6763,-9.7533505056420E-02
7.5407165779,0.0129,0.0147,331.7782,213.6762,-8.5314729218312E-02
7.7445197287,0.0101,0.0115,331.8901,213.6762,-7.4529338902069E-02
7.9483228794,0.0080,0.0092,331.9717,213.6761,-6.4979800562881E-02
8.1521260302,0.0064,0.0074,332.0321,213.6761,-5.6539020128782E-02
8.3559291809,0.0052,0.0060,332.0775,213.6761,-4.9110025976782E-02
8.5597323317,0.0043,0.0050,332.1132,213.6761,-4.2615897972782E-02
8.7635354825,0.0035,0.0042,332.1408,213.6760,-3.6971113272311E-02
8.9673386332,0.0030,0.0035,332.1620,213.6760,-3.2089873869438E-02
9.1711417840,0.0025,0.0029,332.1798,213.6760,-2.7885588215958E-02
9.3749449347,0.0021,0.0025,332.1936,213.6760,-2.4273117513659E-02
9.5787480855,0.0018,0.0021,332.2054,213.6760,-2.1169720052229E-02
9.7825512362,0.0016,0.0018,332.2143,213.6760,-1.8503186056086E-02
9.9863543870,0.0013,0.0016,332.2219,213.6760,-1.6209531314559E-02
