cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.6450107307,12.1522,11.1494,174.9969,125.8109,-9.3134030654703E-02
2.8213447794,10.1272,8.9306,174.9969,125.8109,-7.7500466434641E-02
2.9976788282,8.7794,7.6049,174.9969,125.8109,-6.6153750629169E-02
3.1740128769,7.6147,6.8128,174.9969,125.8109,-5.6580762768187E-02
3.3503469256,6.3978,6.3118,174.9969,125.8109,-4.7748613619926E-02
3.5266809743,5.1782,5.8725,174.9969,125.8109,-4.0026467749012E-02
3.7030150230,4.0756,5.3041,174.9969,125.8109,-3.3730450052838E-02
3.8793490717,3.1103,4.5031,174.9969,125.8109,-2.8741966106534E-02
4.0556831205,2.2688,3.5204,174.9970,125.8109,-2.4879802852832E-02
4.2320171692,1.5701,2.5336,175.0264,125.8122,-2.2023834029470E-02
4.4083512179,1.0390,1.7083,176.7079,126.5927,-2.0167308382540E-02
4.5846852666,0.6696,1.1075,200.0284,130.7872,-2.0607198132724E-02
4.7610193153,0.4286,0.7075,262.8209,131.4608,-2.3600443451724E-02
4.9373533640,0.2766,0.4535,303.5721,132.7567,-2.4618566946818E-02
5.1136874127,0.1815,0.2948,319.0673,133.5036,-2.3743577087433E-02
5.2900214615,0.1217,0.1954,325.2526,133.7557,-2.2149203287940E-02
5.4663555102,0.0834,0.1323,328.1194,133.8495,-2.0261032435394E-02
5.6426895589,0.0585,0.0916,329.6221,133.8913,-1.8258905128665E-02
5.8190236076,0.0419,0.0648,330.4870,133.9128,-1.6269907154177E-02
5.9953576563,0.0306,0.0468,331.0205,133.9250,-1.4391188980395E-02
6.1716917050,0.0228,0.0344,331.3663,133.9325,-1.2682497736033E-02
6.3480257538,0.0173,0.0257,331.5992,133.9373,-1.1162107063360E-02
6.5243598025,0.0133,0.0196,331.7611,133.9405,-9.8214349276877E-03
6.7006938512,0.0104,0.0151,331.8764,133.9428,-8.6384344214387E-03
6.8770278999,0.0082,0.0118,331.9613,133.9444,-7.5901702258757E-03
7.0533619486,0.0066,0.0094,332.0238,133.9456,-6.6590196670846E-03
7.2296959973,0.0054,0.0075,332.0712,133.9464,-5.8314062029133E-03
7.4060300460,0.0044,0.0061,332.1073,133.9471,-5.0982200891112E-03
7.5823640948,0.0037,0.0050,332.1354,133.9476,-4.4521955966035E-03
7.7586981435,0.0031,0.0042,332.1578,133.9480,-3.8857315185206E-03
7.9350321922,0.0026,0.0035,332.1758,133.9483,-3.3919414604645E-03
8.1113662409,0.0022,0.0029,332.1906,133.9486,-2.9630009033049E-03
8.2877002896,0.0019,0.0025,332.2021,133.9488,-2.5915286104144E-03
8.4640343383,0.0016,0.0021,332.2119,133.9489,-2.2701858651020E-03
8.6403683870,0.0014,0.0018,332.2199,133.9491,-1.9922965096987E-03
