cell_length,CN_C,CN_A,C6_C,C6_A,Edis
6.2613311244,11.3081,13.1281,174.9969,125.8109,-1.9526006562873E+00
6.6787531994,9.5460,10.9011,174.9969,125.8109,-1.6286936504871E+00
7.0961752743,8.6603,9.4673,174.9969,125.8109,-1.3616608438425E+00
7.5135973493,8.0782,8.3977,174.9969,125.8109,-1.1452432343121E+00
7.9310194243,7.4329,7.3991,174.9969,125.8109,-9.6360276797380E-01
8.3484414992,6.5077,6.2804,174.9969,125.8109,-8.0725617204541E-01
8.7658635742,5.2815,5.0047,174.9969,125.8109,-6.7870364213264E-01
9.1832856491,3.9327,3.6795,174.9969,125.8109,-5.8021306077669E-01
9.6007077241,2.7058,2.4977,174.9969,125.8126,-5.0836801894253E-01
10.0181297991,1.7560,1.5997,175.0040,127.3489,-4.5969009096297E-01
10.4355518740,1.1042,0.9966,176.0390,130.9535,-4.4207928543207E-01
10.8529739490,0.6893,0.6194,196.9771,131.8153,-4.7126147328044E-01
11.2703960240,0.4344,0.3902,261.0171,133.1029,-5.1431268762542E-01
11.6878180989,0.2790,0.2511,303.0654,133.6328,-5.2662062629700E-01
12.1052401739,0.1834,0.1657,318.8252,133.8049,-5.1029365170774E-01
12.5226622488,0.1235,0.1121,325.0914,133.8718,-4.7797197391509E-01
12.9400843238,0.0852,0.0776,328.0006,133.9030,-4.3639208079420E-01
13.3575063988,0.0601,0.0550,329.5318,133.9196,-3.9091233588875E-01
13.7749284737,0.0433,0.0399,330.4167,133.9292,-3.4608820087168E-01
14.1923505487,0.0319,0.0294,330.9641,133.9352,-3.0478854998510E-01
14.6097726236,0.0239,0.0222,331.3203,133.9392,-2.6808105843436E-01
15.0271946986,0.0182,0.0170,331.5614,133.9418,-2.3583907853322E-01
15.4446167736,0.0141,0.0132,331.7299,133.9437,-2.0743105317711E-01
15.8620388485,0.0111,0.0104,331.8510,133.9451,-1.8220185972903E-01
16.2794609235,0.0088,0.0083,331.9402,133.9461,-1.5967647161771E-01
16.6968829984,0.0071,0.0067,332.0069,133.9468,-1.3957107245969E-01
17.1143050734,0.0058,0.0054,332.0570,133.9474,-1.2171351482902E-01
17.5317271484,0.0047,0.0045,332.0955,133.9478,-1.0596519086575E-01
17.9491492233,0.0039,0.0038,332.1256,133.9482,-9.2176261684996E-02
18.3665712983,0.0033,0.0032,332.1494,133.9484,-8.0179831320761E-02
18.7839933733,0.0028,0.0027,332.1688,133.9487,-6.9793313427663E-02
19.2014154482,0.0024,0.0023,332.1842,133.9488,-6.0828160996333E-02
19.6188375232,0.0020,0.0020,332.1969,133.9490,-5.3105249118859E-02
20.0362595981,0.0017,0.0017,332.2073,133.9491,-4.6457000462134E-02
20.4536816731,0.0015,0.0015,332.2158,133.9492,-4.0728620798800E-02
