cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.8993652150,15.2738,10.9211,174.9969,7.1341,-2.3703635805876E-01
4.1593228960,12.7872,8.9653,174.9969,7.1341,-1.9724458491409E-01
4.4192805770,10.7885,6.1981,174.9969,7.1341,-1.6301817444670E-01
4.6792382580,9.1424,3.6525,174.9969,7.1341,-1.3429325862380E-01
4.9391959390,7.6369,1.9781,174.9969,7.1341,-1.1196189292442E-01
5.1991536200,6.0229,1.0564,174.9969,7.1604,-9.4797391251701E-02
5.4591113010,4.3303,0.5780,174.9969,7.9597,-8.1618960545408E-02
5.7190689820,2.8406,0.3288,174.9969,9.1240,-7.1255185283422E-02
5.9790266630,1.7550,0.1952,175.0041,9.4634,-6.2887193579835E-02
6.2389843440,1.0604,0.1207,176.4511,9.5605,-5.7222483004209E-02
6.4989420250,0.6440,0.0776,204.5193,9.5973,-6.0093301343244E-02
6.7588997060,0.3989,0.0516,271.9808,9.6144,-7.2992942954267E-02
7.0188573870,0.2536,0.0354,308.0550,9.6235,-7.8410802191524E-02
7.2788150680,0.1658,0.0250,320.9171,9.6288,-7.8094029596577E-02
7.5387727490,0.1114,0.0181,326.0900,9.6321,-7.4752019738194E-02
7.7987304300,0.0769,0.0134,328.5360,9.6343,-6.9211192454956E-02
8.0586881110,0.0544,0.0102,329.8459,9.6357,-6.2338074852577E-02
8.3186457920,0.0393,0.0078,330.6135,9.6367,-5.5126702095112E-02
8.5786034730,0.0290,0.0062,331.0934,9.6374,-4.8326300967293E-02
8.8385611540,0.0218,0.0049,331.4087,9.6380,-4.2279080412080E-02
9.0985188350,0.0167,0.0040,331.6220,9.6383,-3.7021078845782E-02
9.3584765160,0.0130,0.0032,331.7731,9.6386,-3.2442152812784E-02
9.6184341970,0.0103,0.0027,331.8828,9.6389,-2.8408517644759E-02
9.8783918780,0.0082,0.0022,331.9623,9.6391,-2.4820835817289E-02
10.1383495590,0.0066,0.0019,332.0232,9.6392,-2.1623904405570E-02
10.3983072400,0.0054,0.0016,332.0697,9.6393,-1.8788780340243E-02
10.6582649210,0.0045,0.0014,332.1052,9.6394,-1.6293961959905E-02
10.9182226020,0.0038,0.0012,332.1325,9.6395,-1.4117136314765E-02
11.1781802830,0.0032,0.0010,332.1541,9.6395,-1.2230836404603E-02
11.4381379640,0.0027,0.0009,332.1721,9.6396,-1.0603721058806E-02
11.6980956450,0.0023,0.0008,332.1861,9.6396,-9.2062862024071E-03
11.9580533260,0.0020,0.0007,332.1978,9.6397,-8.0083475247667E-03
12.2180110070,0.0017,0.0006,332.2086,9.6397,-6.9808290867819E-03
12.4779686880,0.0015,0.0005,332.2171,9.6397,-6.0989807705630E-03
12.7379263690,0.0013,0.0005,332.2236,9.6398,-5.3417469541086E-03
