cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.6038957601,16.4642,8.2983,174.9969,15.5817,-1.4192655412040E-01
2.7774888108,14.8307,7.0738,174.9969,15.5817,-1.1712980844993E-01
2.9510818615,13.4800,6.4970,174.9969,15.5817,-9.4978490800623E-02
3.1246749121,11.7521,6.1844,174.9969,15.5817,-7.7669550779685E-02
3.2982679628,9.4812,5.9108,174.9969,15.5817,-6.4472645246723E-02
3.4718610135,7.0178,5.5150,174.9969,15.5817,-5.3716675216858E-02
3.6454540642,4.8278,4.8799,174.9969,15.5817,-4.5013056187585E-02
3.8190471148,3.1453,4.0016,174.9969,15.5817,-3.8668767015187E-02
3.9926401655,1.9729,3.0203,174.9982,15.6476,-3.4671781542324E-02
4.1662332162,1.2131,2.1182,175.4509,19.4862,-3.3234285908409E-02
4.3398262669,0.7454,1.4062,189.9709,21.3459,-3.3766826234835E-02
4.5134193175,0.4644,0.9043,251.5927,22.2189,-3.9669548502539E-02
4.6870123682,0.2960,0.5758,299.4107,23.1886,-4.5565113688360E-02
4.8606054189,0.1936,0.3689,317.5152,24.4095,-4.6430692599991E-02
5.0341984696,0.1301,0.2400,324.5197,24.8950,-4.3673370255842E-02
5.2077915202,0.0897,0.1594,327.6977,25.0601,-3.9723322206329E-02
5.3813845709,0.0633,0.1082,329.3495,25.1267,-3.5654000872548E-02
5.5549776216,0.0457,0.0751,330.2966,25.1584,-3.1830008508356E-02
5.7285706722,0.0337,0.0532,330.8799,25.1754,-2.8318324799822E-02
5.9021637229,0.0253,0.0385,331.2571,25.1855,-2.5096760479297E-02
6.0757567736,0.0194,0.0284,331.5121,25.1917,-2.2142985163766E-02
6.2493498243,0.0151,0.0213,331.6906,25.1958,-1.9453102591695E-02
6.4229428749,0.0119,0.0162,331.8185,25.1986,-1.7032798882045E-02
6.5965359256,0.0095,0.0126,331.9130,25.2006,-1.4880993808140E-02
6.7701289763,0.0077,0.0099,331.9837,25.2020,-1.2986524287102E-02
6.9437220270,0.0063,0.0078,332.0373,25.2031,-1.1329314140038E-02
7.1173150776,0.0052,0.0063,332.0784,25.2038,-9.8844497046609E-03
7.2909081283,0.0043,0.0051,332.1103,25.2044,-8.6260251522960E-03
7.4645011790,0.0036,0.0042,332.1365,25.2049,-7.5309387113442E-03
7.6380942297,0.0031,0.0035,332.1574,25.2052,-6.5782983354132E-03
7.8116872803,0.0026,0.0030,332.1748,25.2055,-5.7501197531079E-03
7.9852803310,0.0023,0.0025,332.1880,25.2057,-5.0309123165896E-03
8.1588733817,0.0020,0.0021,332.1993,25.2059,-4.4072455190333E-03
8.3324664324,0.0017,0.0018,332.2084,25.2061,-3.8665627503994E-03
8.5060594830,0.0015,0.0016,332.2163,25.2062,-3.3978240277152E-03
