cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.0168199425,15.1088,16.6532,174.9969,151.6886,-3.3311339280764E-01
3.2179412720,13.0841,13.6863,174.9969,151.6886,-2.7786947382607E-01
3.4190626015,11.7974,12.1996,174.9969,151.6886,-2.2929940826963E-01
3.6201839310,10.7254,11.3272,174.9969,151.6886,-1.8929107945038E-01
3.8213052605,9.4194,10.5158,174.9969,151.6886,-1.5657407558384E-01
4.0224265900,7.7263,9.4583,174.9969,151.6886,-1.2991309976365E-01
4.2235479195,5.8570,8.0950,174.9969,151.6886,-1.0911536187515E-01
4.4246692490,4.1469,6.5576,174.9969,151.6886,-9.3677558510487E-02
4.6257905785,2.7985,5.0143,174.9969,151.6886,-8.2673145611729E-02
4.8269119080,1.8320,3.6046,175.0009,151.6926,-7.5140633841273E-02
5.0280332375,1.1765,2.4472,175.5972,165.7020,-7.1710055898349E-02
5.2291545670,0.7493,1.5973,189.5658,177.1303,-7.2333349977705E-02
5.4302758965,0.4789,1.0253,247.0768,180.6787,-8.3573482095979E-02
5.6313972260,0.3102,0.6591,296.1454,182.9815,-9.4449272160994E-02
5.8325185555,0.2049,0.4293,315.9575,187.5776,-9.5349680367428E-02
6.0336398850,0.1384,0.2848,323.7510,189.9440,-9.0358624217333E-02
6.2347612145,0.0956,0.1931,327.2798,190.7730,-8.2804659521531E-02
6.4358825440,0.0676,0.1337,329.1027,191.0994,-7.4396136746026E-02
6.6370038735,0.0488,0.0946,330.1385,191.2507,-6.6083245571423E-02
6.8381252030,0.0359,0.0683,330.7744,191.3308,-5.8359043073486E-02
7.0392465325,0.0270,0.0502,331.1842,191.3773,-5.1406773518020E-02
7.2403678620,0.0206,0.0376,331.4600,191.4063,-4.5228245182711E-02
7.4414891915,0.0160,0.0287,331.6529,191.4253,-3.9744303908884E-02
7.6426105210,0.0125,0.0221,331.7937,191.4385,-3.4865912909638E-02
7.8437318505,0.0100,0.0173,331.8943,191.4476,-3.0520106686060E-02
8.0448531800,0.0080,0.0137,331.9691,191.4542,-2.6656775753592E-02
8.2459745095,0.0066,0.0110,332.0255,191.4591,-2.3236452661761E-02
8.4470958390,0.0054,0.0090,332.0695,191.4627,-2.0225929824290E-02
8.6482171685,0.0045,0.0074,332.1039,191.4655,-1.7594113736614E-02
8.8493384980,0.0038,0.0061,332.1312,191.4678,-1.5305160464136E-02
9.0504598275,0.0032,0.0051,332.1530,191.4695,-1.3322578473903E-02
9.2515811570,0.0027,0.0043,332.1709,191.4709,-1.1612662418937E-02
9.4527024865,0.0024,0.0036,332.1848,191.4720,-1.0138683772764E-02
9.6538238160,0.0020,0.0031,332.1966,191.4728,-8.8693526464796E-03
9.8549451455,0.0018,0.0027,332.2063,191.4736,-7.7747708190050E-03
