cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.9230027500,14.3386,20.1621,174.9969,417.3790,-1.7309200568130E-01
3.1178696000,12.8846,17.8553,174.9969,417.3790,-1.4620856347260E-01
3.3127364500,11.8443,15.8427,174.9969,417.3790,-1.2000587553529E-01
3.5076033000,10.5588,14.0125,174.9969,417.3790,-9.6675088261167E-02
3.7024701500,8.7623,12.3894,174.9969,417.3790,-7.8401310457827E-02
3.8973370000,6.6917,10.6484,174.9969,417.3790,-6.4457319078780E-02
4.0922038500,4.7520,8.5107,174.9969,417.3790,-5.3990322177401E-02
4.2870707000,3.1655,6.1573,174.9969,417.3790,-4.6685980092114E-02
4.4819375500,2.0016,4.0715,174.9980,417.3791,-4.2200818916574E-02
4.6768044000,1.2299,2.5484,175.3962,426.5083,-4.0298317870091E-02
4.8716712500,0.7529,1.5649,189.1989,455.8484,-4.2510081992319E-02
5.0665381000,0.4672,0.9659,250.7307,473.4039,-5.1977217678833E-02
5.2614049500,0.2965,0.6071,299.3017,478.8780,-5.7854421092333E-02
5.4562718000,0.1931,0.3908,317.5830,486.6425,-5.7343970376297E-02
5.6511386500,0.1292,0.2582,324.5931,490.1120,-5.3251809425190E-02
5.8460055000,0.0887,0.1749,327.7636,491.3521,-4.7660525725871E-02
6.0408723500,0.0624,0.1215,329.3995,491.8627,-4.1893697447688E-02
6.2357392000,0.0448,0.0862,330.3409,492.1106,-3.6605242477846E-02
6.4306060500,0.0330,0.0625,330.9133,492.2449,-3.1981193492923E-02
6.6254729000,0.0247,0.0462,331.2854,492.3251,-2.7958327886290E-02
6.8203397500,0.0188,0.0348,331.5368,492.3760,-2.4413166627321E-02
7.0152066000,0.0146,0.0266,331.7104,492.4096,-2.1251790847348E-02
7.2100734500,0.0114,0.0206,331.8361,492.4330,-1.8428810109280E-02
7.4049403000,0.0091,0.0163,331.9268,492.4495,-1.5920595198454E-02
7.5998071500,0.0073,0.0129,331.9970,492.4618,-1.3716846243054E-02
7.7946740000,0.0060,0.0105,332.0482,492.4707,-1.1800990484097E-02
7.9895408500,0.0049,0.0085,332.0880,492.4775,-1.0148950862263E-02
8.1844077000,0.0041,0.0071,332.1187,492.4826,-8.7342052014901E-03
8.3792745500,0.0035,0.0059,332.1430,492.4867,-7.5285705038733E-03
8.5741414000,0.0029,0.0048,332.1657,492.4902,-6.5019313757589E-03
8.7690082500,0.0025,0.0041,332.1812,492.4927,-5.6278351764506E-03
8.9638751000,0.0021,0.0035,332.1937,492.4948,-4.8846936329717E-03
9.1587419500,0.0018,0.0030,332.2041,492.4964,-4.2503097610768E-03
9.3536088000,0.0016,0.0026,332.2131,492.4979,-3.7094249750906E-03
9.5484756500,0.0014,0.0023,332.2202,492.4990,-3.2457551169509E-03
