cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.0365485350,11.4559,15.7678,174.9969,418.5789,-1.7416767599339E-01
3.2389851040,10.4532,12.5809,174.9969,418.5789,-1.4544606724951E-01
3.4414216730,9.6478,9.8112,174.9969,418.5789,-1.1820569734540E-01
3.6438582420,8.6281,7.7339,174.9969,418.5789,-9.5183338762850E-02
3.8462948110,7.3408,6.3503,174.9969,418.5789,-7.7839418901877E-02
4.0487313800,5.9533,5.3749,174.9969,418.5789,-6.5096251980107E-02
4.2511679490,4.5974,4.4911,174.9969,418.5789,-5.5700890346212E-02
4.4536045180,3.3451,3.5350,174.9969,418.5789,-4.8858319903925E-02
4.6560410870,2.2804,2.5579,174.9970,418.5802,-4.4051307418850E-02
4.8584776560,1.4735,1.7151,175.0588,419.4170,-4.1059438838501E-02
5.0609142250,0.9247,1.0969,179.0466,424.7821,-4.0601549882007E-02
5.2633507940,0.5773,0.6896,219.0467,425.1641,-4.4596200587865E-02
5.4657873630,0.3644,0.4355,282.0395,425.3623,-4.8798067948596E-02
5.6682239320,0.2347,0.2796,311.3618,425.4649,-4.8860041169495E-02
5.8706605010,0.1547,0.1835,322.1227,425.4992,-4.6298778623432E-02
6.0730970700,0.1046,0.1233,326.6236,425.5121,-4.2363122409679E-02
6.2755336390,0.0723,0.0849,328.8185,425.5180,-3.7860506661357E-02
6.4779702080,0.0512,0.0598,330.0132,425.5210,-3.3375257508062E-02
6.6804067770,0.0371,0.0430,330.7216,425.5227,-2.9242072479821E-02
6.8828433460,0.0273,0.0316,331.1685,425.5238,-2.5573746545053E-02
7.0852799150,0.0206,0.0237,331.4624,425.5245,-2.2357936371995E-02
7.2877164840,0.0157,0.0180,331.6648,425.5250,-1.9529591947789E-02
7.4901530530,0.0122,0.0139,331.8073,425.5253,-1.7026744970491E-02
7.6925896220,0.0095,0.0109,331.9109,425.5255,-1.4806291358939E-02
7.8950261910,0.0076,0.0087,331.9862,425.5257,-1.2841263096554E-02
8.0974627600,0.0061,0.0070,332.0425,425.5258,-1.1114400021424E-02
8.2998993290,0.0050,0.0057,332.0854,425.5259,-9.6070190547631E-03
8.5023358980,0.0041,0.0047,332.1182,425.5260,-8.3019747211611E-03
8.7047724670,0.0034,0.0039,332.1451,425.5260,-7.1771856270225E-03
8.9072090360,0.0029,0.0032,332.1655,425.5261,-6.2125836357527E-03
9.1096456050,0.0024,0.0027,332.1822,425.5261,-5.3863973585238E-03
9.3120821740,0.0021,0.0023,332.1952,425.5262,-4.6808579557533E-03
9.5145187430,0.0018,0.0020,332.2059,425.5262,-4.0766161216608E-03
9.7169553120,0.0015,0.0017,332.2151,425.5262,-3.5591945946276E-03
9.9193918810,0.0013,0.0015,332.2223,425.5262,-3.1152854174303E-03
