cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.7170028057,15.8372,23.7093,174.9969,398.0973,-1.9134098223027E-01
2.8981363261,14.3205,19.7385,174.9969,398.0973,-1.6226982750054E-01
3.0792698464,12.9187,16.7906,174.9969,398.0973,-1.3558891090945E-01
3.2604033668,11.2466,14.7630,174.9969,398.0973,-1.1097190576872E-01
3.4415368872,9.4696,13.0129,174.9969,398.0973,-9.0066762221365E-02
3.6226704076,7.7645,11.1590,174.9969,398.0973,-7.3894355923660E-02
3.8038039280,6.1363,9.2001,174.9969,398.0973,-6.1943182252800E-02
3.9849374483,4.6110,7.2132,174.9969,398.0973,-5.3123789360614E-02
4.1660709687,3.2648,5.2882,174.9969,543.4036,-5.1974469068904E-02
4.3472044891,2.1819,3.6131,174.9972,543.4036,-4.6908790747043E-02
4.5283380095,1.4004,2.3443,175.1052,543.4036,-4.3904284652201E-02
4.7094715299,0.8841,1.4850,180.4783,543.4799,-4.4714905307769E-02
4.8906050502,0.5599,0.9394,223.5094,696.2215,-5.3957901746239E-02
5.0717385706,0.3600,0.6018,283.2956,813.2310,-6.1542999353026E-02
5.2528720910,0.2364,0.3932,311.0797,814.3168,-6.1473284247067E-02
5.4340056114,0.1590,0.2628,321.6734,814.3561,-5.8754914948409E-02
5.6151391317,0.1094,0.1797,326.2534,814.3605,-5.4758377548582E-02
5.7962726521,0.0771,0.1258,328.5255,814.3615,-5.0059677405327E-02
5.9774061725,0.0554,0.0899,329.7901,814.3618,-4.5032822128604E-02
6.1585396929,0.0407,0.0655,330.5482,814.3619,-4.0024639720444E-02
6.3396732133,0.0304,0.0487,331.0296,814.3620,-3.5293680538282E-02
6.5208067336,0.0231,0.0368,331.3526,814.3620,-3.0988365317106E-02
6.7019402540,0.0178,0.0282,331.5776,814.3620,-2.7152168076886E-02
6.8830737744,0.0140,0.0219,331.7352,814.3621,-2.3768078207429E-02
7.0642072948,0.0111,0.0174,331.8492,814.3621,-2.0792551748181E-02
7.2453408152,0.0090,0.0139,331.9338,814.3621,-1.8171604821123E-02
7.4264743355,0.0073,0.0113,331.9977,814.3621,-1.5864648750000E-02
7.6076078559,0.0060,0.0092,332.0490,814.3621,-1.3834342277815E-02
7.7887413763,0.0050,0.0076,332.0870,814.3621,-1.2053863842172E-02
7.9698748967,0.0041,0.0063,332.1185,814.3621,-1.0498987098764E-02
8.1510084170,0.0035,0.0053,332.1422,814.3621,-9.1481159148495E-03
8.3321419374,0.0030,0.0045,332.1613,814.3621,-7.9759025072839E-03
8.5132754578,0.0026,0.0038,332.1768,814.3621,-6.9626455657458E-03
8.6944089782,0.0022,0.0033,332.1895,814.3621,-6.0874255119641E-03
8.8755424986,0.0019,0.0028,332.2015,814.3621,-5.3328416922961E-03
