cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.7971575000,14.3131,18.1797,174.9969,224.2851,-8.7693076371662E-01
5.1169680000,12.9463,15.0882,174.9969,224.2851,-7.3215996933897E-01
5.4367785000,12.0865,13.3950,174.9969,224.2851,-6.0690300474129E-01
5.7565890000,11.1124,12.3585,174.9969,224.2851,-4.9778127351561E-01
6.0763995000,9.6852,11.3626,174.9969,224.2851,-4.0605578333614E-01
6.3962100000,7.8669,10.0218,174.9969,224.2851,-3.3287385640289E-01
6.7160205000,6.0288,8.2690,174.9969,224.2851,-2.7773108056576E-01
7.0358310000,4.4533,6.3418,174.9969,224.2851,-2.3848574093055E-01
7.3556415000,3.1839,4.5450,174.9969,224.2851,-2.1252005734422E-01
7.6754520000,2.1845,3.0746,174.9972,224.4265,-1.9774864249290E-01
7.9952625000,1.4395,1.9952,175.0772,241.0924,-2.0362852010959E-01
8.3150730000,0.9250,1.2680,179.0375,252.2063,-2.4084085504358E-01
8.6348835000,0.5911,0.8046,215.7107,254.8210,-2.6995929656547E-01
8.9546940000,0.3811,0.5165,277.2641,258.1634,-2.7945458012683E-01
9.2745045000,0.2500,0.3379,308.6992,260.9659,-2.6799538144936E-01
9.5943150000,0.1675,0.2260,320.7218,262.0061,-2.4532168970672E-01
9.9141255000,0.1149,0.1546,325.8149,262.3870,-2.1917533677835E-01
10.2339360000,0.0805,0.1082,328.3043,262.5521,-1.9357238172802E-01
10.5537465000,0.0577,0.0773,329.6654,262.6351,-1.7020912821706E-01
10.8735570000,0.0422,0.0564,330.4746,262.6817,-1.4943530103370E-01
11.1933675000,0.0314,0.0419,330.9857,262.7100,-1.3102336470460E-01
11.5131780000,0.0238,0.0317,331.3252,262.7282,-1.1462767955824E-01
11.8329885000,0.0183,0.0243,331.5581,262.7404,-9.9990444062433E-02
12.1527990000,0.0143,0.0189,331.7223,262.7489,-8.6947307755201E-02
12.4726095000,0.0113,0.0149,331.8416,262.7550,-7.5397704311015E-02
12.7924200000,0.0091,0.0120,331.9291,262.7595,-6.5250588654190E-02
13.1122305000,0.0074,0.0097,331.9953,262.7628,-5.6403916208415E-02
13.4320410000,0.0060,0.0079,332.0465,262.7654,-4.8747166191507E-02
13.7518515000,0.0050,0.0065,332.0862,262.7673,-4.2154249566331E-02
14.0716620000,0.0042,0.0054,332.1169,262.7688,-3.6499282602995E-02
14.3914725000,0.0035,0.0046,332.1412,262.7700,-3.1656930381212E-02
14.7112830000,0.0030,0.0039,332.1615,262.7710,-2.7514141307565E-02
15.0310935000,0.0025,0.0033,332.1778,262.7718,-2.3970202997486E-02
15.3509040000,0.0022,0.0028,332.1909,262.7725,-2.0933140409401E-02
15.6707145000,0.0019,0.0024,332.2018,262.7730,-1.8326115417026E-02
