cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.8974728410,11.2010,19.3449,174.9969,336.1020,-7.9186288116552E-01
5.2239710304,9.9886,16.5547,174.9969,336.1020,-6.6589705163652E-01
5.5504692198,9.3806,14.2633,174.9969,336.1020,-5.5050490769344E-01
5.8769674091,8.9040,12.2690,174.9969,336.1020,-4.4565348905529E-01
6.2034655985,8.2436,10.3853,174.9969,336.1020,-3.5738032869291E-01
6.5299637879,7.1853,8.4315,174.9969,336.1020,-2.8924305433484E-01
6.8564619773,5.7283,6.4206,174.9969,336.1020,-2.3985062457964E-01
7.1829601667,4.1378,4.5415,174.9969,336.1117,-2.0569815389686E-01
7.5094583561,2.7482,3.0036,174.9969,407.3841,-2.0202703068903E-01
7.8359565455,1.7304,1.8977,175.0056,504.9242,-2.1176013178197E-01
8.1624547349,1.0669,1.1765,176.3813,538.6573,-2.1392720661056E-01
8.4889529243,0.6595,0.7313,201.7249,552.1597,-2.2981991097060E-01
8.8154511137,0.4145,0.4621,267.1983,585.9887,-2.6797403397136E-01
9.1419493031,0.2666,0.2987,305.5834,609.2528,-2.8439729349476E-01
9.4684474925,0.1757,0.1980,319.7684,617.9601,-2.7582046803299E-01
9.7949456819,0.1188,0.1345,325.4920,621.3738,-2.5392733123200E-01
10.1214438713,0.0823,0.0937,328.1898,622.9392,-2.2670620602318E-01
10.4479420607,0.0583,0.0667,329.6299,623.7598,-1.9930567199516E-01
10.7744402501,0.0422,0.0485,330.4716,624.2331,-1.7429531734127E-01
11.1009384395,0.0312,0.0360,330.9964,624.5256,-1.5237786212641E-01
11.4274366289,0.0234,0.0272,331.3403,624.7171,-1.3327844638250E-01
11.7539348183,0.0179,0.0208,331.5755,624.8472,-1.1647041960890E-01
12.0804330077,0.0138,0.0162,331.7405,624.9384,-1.0152884451010E-01
12.4069311971,0.0109,0.0128,331.8582,625.0033,-8.8215061239079E-02
12.7334293865,0.0087,0.0102,331.9445,625.0512,-7.6408860591451E-02
13.0599275759,0.0070,0.0083,332.0090,625.0873,-6.6024595970470E-02
13.3864257653,0.0057,0.0068,332.0584,625.1147,-5.6977385225492E-02
13.7129239547,0.0047,0.0056,332.0969,625.1359,-4.9154356978631E-02
14.0394221441,0.0039,0.0047,332.1270,625.1526,-4.2433015050913E-02
14.3659203335,0.0033,0.0039,332.1508,625.1658,-3.6682663685670E-02
14.6924185229,0.0028,0.0033,332.1694,625.1764,-3.1770712334901E-02
15.0189167123,0.0024,0.0028,332.1847,625.1853,-2.7577896287191E-02
15.3454149017,0.0020,0.0024,332.1974,625.1927,-2.3994946699022E-02
15.6719130911,0.0017,0.0021,332.2075,625.1988,-2.0930348096030E-02
15.9984112805,0.0015,0.0018,332.2166,625.2038,-1.8305819174523E-02
