cell_length,CN_C,CN_A,C6_C,C6_A,Edis
6.6972841522,11.4785,12.5228,174.9969,298.8616,-6.5116998672420E-01
7.1437697623,10.1413,10.3114,174.9969,298.8616,-5.4716857836975E-01
7.5902553725,9.4275,8.7960,174.9969,298.8616,-4.5895545901459E-01
8.0367409826,8.8720,7.6200,174.9969,298.8616,-3.8360674563150E-01
8.4832265927,8.1240,6.5801,174.9969,298.8616,-3.2109074610811E-01
8.9297122029,6.9712,5.5513,174.9969,298.8616,-2.7138871830996E-01
9.3761978130,5.4797,4.4702,174.9969,298.8616,-2.3403674405278E-01
9.8226834232,3.9726,3.3837,174.9969,298.8616,-2.0828944492235E-01
10.2691690333,2.7286,2.4067,174.9969,298.8616,-1.9226442194440E-01
10.7156546435,1.8162,1.6249,175.0014,298.8642,-1.8359850229343E-01
11.1621402536,1.1837,1.0574,175.5653,314.8778,-1.8423626120246E-01
11.6086258638,0.7612,0.6752,188.3953,361.6555,-2.0102992279201E-01
12.0551114739,0.4882,0.4305,244.1920,362.0669,-2.2101028498699E-01
12.5015970840,0.3157,0.2774,294.8143,362.0747,-2.2308899290894E-01
12.9480826942,0.2075,0.1821,315.5943,362.0753,-2.1233599029472E-01
13.3945683043,0.1391,0.1222,323.6832,362.0754,-1.9510813922505E-01
13.8410539145,0.0953,0.0838,327.3016,362.0755,-1.7522577206808E-01
14.2875395246,0.0668,0.0588,329.1497,362.0755,-1.5509229153212E-01
14.7340251348,0.0478,0.0422,330.1933,362.0755,-1.3617266395850E-01
15.1805107449,0.0348,0.0309,330.8267,362.0755,-1.1913333672504E-01
15.6269963551,0.0259,0.0230,331.2333,362.0755,-1.0407698998189E-01
16.0734819652,0.0195,0.0174,331.5057,362.0755,-9.0834215570747E-02
16.5199675753,0.0150,0.0134,331.6936,362.0755,-7.9164743336083E-02
16.9664531855,0.0117,0.0104,331.8269,362.0755,-6.8862256849179E-02
17.4129387956,0.0092,0.0083,331.9236,362.0755,-5.9775850476120E-02
17.8594244058,0.0074,0.0066,331.9951,362.0755,-5.1791684175162E-02
18.3059100159,0.0060,0.0054,332.0490,362.0755,-4.4819808298145E-02
18.7523956261,0.0049,0.0044,332.0904,362.0755,-3.8767637601398E-02
19.1988812362,0.0040,0.0037,332.1225,362.0755,-3.3544205220114E-02
19.6453668464,0.0033,0.0030,332.1477,362.0755,-2.9053544674733E-02
20.0918524565,0.0028,0.0026,332.1677,362.0755,-2.5203037921167E-02
20.5383380667,0.0024,0.0022,332.1840,362.0755,-2.1905069730523E-02
20.9848236768,0.0020,0.0018,332.1970,362.0755,-1.9079645278406E-02
21.4313092869,0.0017,0.0016,332.2079,362.0755,-1.6658145385715E-02
21.8777948971,0.0015,0.0014,332.2170,362.0755,-1.4580652264560E-02
