cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.3318093451,15.5752,4.9446,174.9969,10.3708,-2.9258674298931E-01
4.6205966348,13.0720,4.4319,174.9969,10.3708,-2.3277513883251E-01
4.9093839244,10.3751,4.1985,174.9969,10.3708,-1.9052979311113E-01
5.1981712141,7.9772,4.0538,174.9969,10.3708,-1.6054404064616E-01
5.4869585038,6.1699,3.8895,174.9969,10.3708,-1.3783620531571E-01
5.7757457935,4.8821,3.6098,174.9969,10.3708,-1.2069651502920E-01
6.0645330831,3.8559,3.1363,174.9969,10.3708,-1.0842774020500E-01
6.3533203728,2.9080,2.4773,174.9969,10.3717,-9.9407544863129E-02
6.6421076625,2.0416,1.7669,174.9977,10.5978,-9.2179710472840E-02
6.9308949522,1.3442,1.1634,175.1634,12.6488,-8.6409036944194E-02
7.2196822418,0.8526,0.7332,181.9182,13.1460,-8.3516812037348E-02
7.5084695315,0.5353,0.4564,230.2306,14.3304,-9.3095855710048E-02
7.7972568212,0.3390,0.2862,288.9698,15.0563,-9.4335635320177E-02
8.0860441108,0.2187,0.1828,313.9288,15.2878,-8.6059354537977E-02
8.3748314005,0.1445,0.1195,323.1652,15.3696,-7.6102312392233E-02
8.6636186902,0.0978,0.0800,327.1271,15.4049,-6.6989904534424E-02
8.9524059799,0.0678,0.0548,329.0900,15.4226,-5.9167336891383E-02
9.2411932695,0.0481,0.0385,330.1745,15.4325,-5.2512203766163E-02
9.5299805592,0.0349,0.0276,330.8233,15.4384,-4.6759404550478E-02
9.8187678489,0.0258,0.0202,331.2346,15.4422,-4.1662416883037E-02
10.1075551386,0.0195,0.0150,331.5071,15.4447,-3.7042819263737E-02
10.3963424282,0.0149,0.0114,331.6956,15.4464,-3.2816872488670E-02
10.6851297179,0.0116,0.0088,331.8284,15.4476,-2.8977730237669E-02
10.9739170076,0.0092,0.0069,331.9238,15.4484,-2.5543899441291E-02
11.2627042972,0.0074,0.0054,331.9953,15.4491,-2.2528310600666E-02
11.5514915869,0.0060,0.0044,332.0485,15.4496,-1.9917599732954E-02
11.8402788766,0.0049,0.0036,332.0904,15.4499,-1.7668073550586E-02
12.1290661663,0.0040,0.0029,332.1218,15.4502,-1.5723744272782E-02
12.4178534559,0.0034,0.0024,332.1466,15.4504,-1.4027114068849E-02
12.7066407456,0.0029,0.0020,332.1660,15.4506,-1.2527953999181E-02
12.9954280353,0.0024,0.0017,332.1820,15.4507,-1.1190263521512E-02
13.2842153250,0.0021,0.0015,332.1947,15.4508,-9.9879486556110E-03
13.5730026146,0.0018,0.0012,332.2050,15.4509,-8.9048899765014E-03
13.8617899043,0.0016,0.0011,332.2140,15.4510,-7.9305295890228E-03
14.1505771940,0.0014,0.0009,332.2217,15.4510,-7.0570401939253E-03
