cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.8655422500,10.3457,16.5231,174.9969,224.2851,-1.7101180480813E-01
3.0565784000,8.1272,13.8157,174.9969,224.2851,-1.4250123034179E-01
3.2476145500,7.0190,11.1261,174.9969,224.2851,-1.2067742459690E-01
3.4386507000,6.4689,8.6346,174.9969,224.2851,-1.0199547027179E-01
3.6296868500,6.1200,6.6941,174.9969,224.2851,-8.5643822075877E-02
3.8207230000,5.7492,5.3491,174.9969,224.2851,-7.1895993464548E-02
4.0117591500,5.1896,4.3755,174.9969,224.2851,-6.1087293183884E-02
4.2027953000,4.3552,3.5307,174.9969,224.2889,-5.2919940696201E-02
4.3938314500,3.3263,2.7091,174.9969,226.5332,-4.6951355896204E-02
4.5848676000,2.3213,1.9474,174.9970,241.3074,-4.3755286646910E-02
4.7759037500,1.5201,1.3220,175.0402,251.3633,-4.0681230202448E-02
4.9669399000,0.9650,0.8648,177.9903,254.5373,-3.7912188683509E-02
5.1579760500,0.6093,0.5572,211.5498,257.4780,-3.7765149620528E-02
5.3490122000,0.3888,0.3599,275.0012,260.6860,-3.9383753652411E-02
5.5400483500,0.2527,0.2356,308.2152,261.9400,-3.8974383129366E-02
5.7310845000,0.1679,0.1572,320.6847,262.3763,-3.6949421239040E-02
5.9221206500,0.1141,0.1072,325.8764,262.5552,-3.3963013228439E-02
6.1131568000,0.0793,0.0747,328.3815,262.6415,-3.0514915590023E-02
6.3041929500,0.0563,0.0532,329.7407,262.6883,-2.7036809625484E-02
6.4952291000,0.0408,0.0386,330.5414,262.7159,-2.3803989359152E-02
6.6862652500,0.0301,0.0286,331.0434,262.7333,-2.0927308752479E-02
6.8773014000,0.0226,0.0216,331.3742,262.7448,-1.8407418598058E-02
7.0683375500,0.0173,0.0165,331.5989,262.7526,-1.6196026747084E-02
7.2593737000,0.0134,0.0129,331.7585,262.7581,-1.4240025701531E-02
7.4504098500,0.0105,0.0101,331.8725,262.7621,-1.2499122689498E-02
7.6414460000,0.0084,0.0081,331.9567,262.7651,-1.0946698852559E-02
7.8324821500,0.0067,0.0065,332.0199,262.7673,-9.5684064538245E-03
8.0235183000,0.0055,0.0053,332.0676,262.7690,-8.3508998648610E-03
8.2145544500,0.0045,0.0044,332.1041,262.7703,-7.2818622085681E-03
8.4055906000,0.0037,0.0037,332.1328,262.7713,-6.3484772987645E-03
8.5966267500,0.0031,0.0031,332.1558,262.7721,-5.5365990937948E-03
8.7876629000,0.0026,0.0026,332.1738,262.7727,-4.8331506057601E-03
8.9786990500,0.0022,0.0022,332.1888,262.7733,-4.2245192400299E-03
9.1697352000,0.0019,0.0019,332.2008,262.7737,-3.6989437951676E-03
9.3607713500,0.0016,0.0017,332.2113,262.7741,-3.2449661337127E-03
