cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.0783251025,8.7838,13.0799,174.9969,169.2375,-8.0828979067138E-02
3.2835467760,6.6914,8.7702,174.9969,169.2375,-6.6672494446083E-02
3.4887684495,5.3161,5.9650,174.9969,169.2375,-5.7301369939602E-02
3.6939901230,4.3750,4.4791,174.9969,169.2375,-5.0883813935605E-02
3.8992117965,3.7460,3.7330,174.9969,169.2375,-4.5171324132712E-02
4.1044334700,3.3324,3.3163,174.9969,169.2375,-3.9093761529463E-02
4.3096551435,3.0022,2.9964,174.9969,169.2375,-3.3015789198373E-02
4.5148768170,2.6368,2.6373,174.9969,169.2375,-2.7727834411491E-02
4.7200984905,2.1764,2.1794,174.9972,169.2375,-2.3508531444752E-02
4.9253201640,1.6521,1.6557,175.0127,169.2373,-2.0139139485922E-02
5.1305418375,1.1580,1.1613,175.6884,169.2269,-1.7363879106272E-02
5.3357635110,0.7677,0.7706,187.7865,169.0206,-1.5484455606888E-02
5.5409851845,0.4957,0.4981,241.8895,168.1790,-1.5313868051008E-02
5.7462068580,0.3189,0.3209,294.0551,167.5390,-1.5037551257464E-02
5.9514285315,0.2071,0.2088,315.6425,167.3187,-1.4135703053675E-02
6.1566502050,0.1369,0.1383,323.8883,167.2417,-1.3188135081357E-02
6.3618718785,0.0924,0.0935,327.5082,167.2093,-1.2273651053120E-02
6.5670935520,0.0637,0.0646,329.3280,167.1934,-1.1312227164865E-02
6.7723152255,0.0449,0.0456,330.3387,167.1847,-1.0267303372923E-02
6.9775368990,0.0323,0.0329,330.9464,167.1795,-9.1793714356331E-03
7.1827585725,0.0237,0.0242,331.3301,167.1762,-8.1248528796774E-03
7.3879802460,0.0176,0.0180,331.5845,167.1741,-7.1626796719864E-03
7.5932019195,0.0134,0.0137,331.7593,167.1726,-6.3189006151727E-03
7.7984235930,0.0103,0.0106,331.8812,167.1716,-5.5911142186722E-03
8.0036452665,0.0080,0.0083,331.9689,167.1708,-4.9609475165614E-03
8.2088669400,0.0064,0.0066,332.0328,167.1703,-4.4066383405816E-03
8.4140886135,0.0051,0.0053,332.0805,167.1699,-3.9119177961543E-03
8.6193102870,0.0041,0.0043,332.1179,167.1696,-3.4660567388868E-03
8.8245319605,0.0034,0.0036,332.1456,167.1693,-3.0632113471930E-03
9.0297536340,0.0028,0.0030,332.1679,167.1691,-2.7008596956414E-03
9.2349753075,0.0023,0.0025,332.1853,167.1690,-2.3773390329247E-03
9.4401969810,0.0020,0.0020,332.1996,167.1689,-2.0905193959715E-03
9.6454186545,0.0017,0.0017,332.2104,167.1688,-1.8375254781896E-03
9.8506403280,0.0014,0.0015,332.2192,167.1687,-1.6161904266478E-03
10.0558620015,0.0012,0.0013,332.2267,167.1686,-1.4226967781576E-03
