cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.5639848206,9.8064,8.2787,174.9969,90.3985,-3.7139939718272E-02
2.7349171420,8.0923,5.9472,174.9969,90.3985,-3.0084241096608E-02
2.9058494634,6.9994,4.4691,174.9969,90.3985,-2.5096968153796E-02
3.0767817847,6.3372,3.6547,174.9969,90.3985,-2.1493609993623E-02
3.2477141061,5.7648,3.1340,174.9969,90.3985,-1.8964968789526E-02
3.4186464275,5.0141,2.6440,174.9969,90.3985,-1.6985558269127E-02
3.5895787489,3.9907,2.0739,174.9969,90.3985,-1.5037858011677E-02
3.7605110702,2.8520,1.4734,174.9969,90.3993,-1.3049887738458E-02
3.9314433916,1.8632,0.9614,175.0000,90.4456,-1.1264874155188E-02
4.1023757130,1.1566,0.5979,175.6960,91.0031,-9.9065029905354E-03
4.2733080344,0.7071,0.3669,194.4946,91.8393,-9.2859011872762E-03
4.4442403557,0.4357,0.2272,260.6238,92.1445,-9.6413679146281E-03
4.6151726771,0.2738,0.1437,304.1492,92.2371,-9.6674739973031E-03
4.7861049985,0.1763,0.0932,319.6969,92.2718,-9.3413839046295E-03
4.9570373199,0.1166,0.0621,325.6761,92.2876,-8.8578152266498E-03
5.1279696412,0.0790,0.0424,328.4023,92.2959,-8.2227746003232E-03
5.2989019626,0.0549,0.0297,329.8177,92.3006,-7.4618418380362E-03
5.4698342840,0.0390,0.0214,330.6271,92.3035,-6.6517925311570E-03
5.6407666054,0.0283,0.0156,331.1242,92.3053,-5.8751989729040E-03
5.8116989267,0.0210,0.0117,331.4459,92.3065,-5.1827101812004E-03
5.9826312481,0.0158,0.0089,331.6605,92.3074,-4.5855253966013E-03
6.1535635695,0.0121,0.0069,331.8103,92.3080,-4.0708391360633E-03
6.3244958909,0.0094,0.0054,331.9166,92.3084,-3.6183399126925E-03
6.4954282122,0.0074,0.0043,331.9941,92.3088,-3.2111526472408E-03
6.6663605336,0.0059,0.0035,332.0515,92.3090,-2.8397495728476E-03
6.8372928550,0.0048,0.0028,332.0949,92.3092,-2.5006302178886E-03
7.0082251764,0.0039,0.0023,332.1279,92.3093,-2.1935605326036E-03
7.1791574977,0.0032,0.0019,332.1531,92.3094,-1.9187490089316E-03
7.3500898191,0.0027,0.0016,332.1735,92.3095,-1.6751830905279E-03
7.5210221405,0.0022,0.0014,332.1892,92.3096,-1.4617773512530E-03
7.6919544618,0.0019,0.0012,332.2021,92.3097,-1.2757461770232E-03
7.8628867832,0.0016,0.0010,332.2122,92.3097,-1.1144027806041E-03
8.0338191046,0.0014,0.0009,332.2208,92.3097,-9.7492087477271E-04
8.2047514260,0.0012,0.0008,332.2275,92.3098,-8.5438933062979E-04
8.3756837473,0.0010,0.0007,332.2332,92.3098,-7.5027554773829E-04
