cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.1176750550,17.5328,4.1748,174.9969,3.0267,-1.1035253320751E-01
2.2588533920,16.2589,4.0517,174.9969,3.0267,-9.1320504260232E-02
2.4000317290,14.8624,3.9179,174.9969,3.0267,-7.5040295409450E-02
2.5412100660,12.6727,3.6651,174.9969,3.0267,-6.1392614604596E-02
2.6823884030,9.6701,3.1868,174.9969,3.0267,-5.0240959854625E-02
2.8235667400,6.5747,2.4744,174.9969,3.0267,-4.1303901333682E-02
2.9647450770,4.0956,1.6975,174.9969,3.0271,-3.4496970180542E-02
3.1059234140,2.4310,1.0611,174.9969,3.0678,-2.9799122405978E-02
3.2471017510,1.4253,0.6343,175.0864,3.8113,-2.7933022024191E-02
3.3882800880,0.8459,0.3766,182.2659,5.6881,-2.9013591124834E-02
3.5294584250,0.5148,0.2271,236.1564,6.7153,-3.4807733572504E-02
3.6706367620,0.3229,0.1405,293.0589,7.0814,-3.9881549216654E-02
3.8118150990,0.2089,0.0894,315.3957,7.2278,-3.9953915333414E-02
3.9529934360,0.1392,0.0586,323.6743,7.2965,-3.7812277180393E-02
4.0941717730,0.0954,0.0395,327.2970,7.3328,-3.5082820872339E-02
4.2353501100,0.0671,0.0274,329.1320,7.3536,-3.2412251537355E-02
4.3765284470,0.0483,0.0194,330.1649,7.3664,-2.9892364206543E-02
4.5177067840,0.0355,0.0141,330.7936,7.3746,-2.7394819645503E-02
4.6588851210,0.0267,0.0104,331.1980,7.3801,-2.4833193123728E-02
4.8000634580,0.0203,0.0079,331.4714,7.3838,-2.2248936037356E-02
4.9412417950,0.0158,0.0060,331.6596,7.3864,-1.9757055934967E-02
5.0824201320,0.0125,0.0047,331.7954,7.3883,-1.7463520596592E-02
5.2235984690,0.0099,0.0037,331.8953,7.3897,-1.5418624390858E-02
5.3647768060,0.0080,0.0030,331.9691,7.3907,-1.3623419450948E-02
5.5059551430,0.0066,0.0024,332.0247,7.3915,-1.2047846680145E-02
5.6471334800,0.0055,0.0020,332.0685,7.3921,-1.0654526702046E-02
5.7883118170,0.0046,0.0017,332.1020,7.3926,-9.4115399662975E-03
5.9294901540,0.0038,0.0014,332.1291,7.3930,-8.2993781013679E-03
6.0706684910,0.0032,0.0012,332.1516,7.3933,-7.3042991770677E-03
6.2118468280,0.0028,0.0010,332.1692,7.3935,-6.4182298696798E-03
6.3530251650,0.0024,0.0009,332.1833,7.3937,-5.6341458147516E-03
6.4942035020,0.0021,0.0008,332.1954,7.3939,-4.9444433618007E-03
6.6353818390,0.0018,0.0007,332.2049,7.3940,-4.3402149570794E-03
6.7765601760,0.0016,0.0006,332.2136,7.3941,-3.8131913939076E-03
6.9177385130,0.0014,0.0005,332.2202,7.3942,-3.3545229986298E-03
