cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.6704661075,6.2576,11.5235,174.9969,358.4995,-8.2081747277489E-02
3.9151638480,5.1557,8.3886,174.9969,358.4995,-6.8193507341105E-02
4.1598615885,4.5641,5.9822,174.9969,358.4995,-5.8399484598364E-02
4.4045593290,4.2719,4.5222,174.9969,358.4995,-5.1367899952014E-02
4.6492570695,4.1065,3.7086,174.9969,358.4995,-4.4993684646369E-02
4.8939548100,3.9603,3.1863,174.9969,358.4995,-3.8208603410310E-02
5.1386525505,3.7482,2.7199,174.9969,358.4995,-3.1674550316906E-02
5.3833502910,3.3929,2.2063,174.9969,358.4995,-2.6278597246503E-02
5.6280480315,2.8583,1.6633,174.9969,358.4989,-2.2207281870177E-02
5.8727457720,2.2023,1.1672,174.9971,358.4680,-1.9191258053822E-02
6.1174435125,1.5593,0.7757,175.0290,357.8516,-1.6888053750497E-02
6.3621412530,1.0395,0.4999,176.7005,355.2450,-1.5012728039606E-02
6.6068389935,0.6721,0.3195,199.6188,353.2264,-1.3652968416019E-02
6.8515367340,0.4316,0.2056,261.8958,352.5409,-1.2824832003916E-02
7.0962344745,0.2794,0.1346,302.9987,352.3055,-1.1995497295914E-02
7.3409322150,0.1837,0.0899,318.7894,352.2077,-1.1122054633391E-02
7.5856299555,0.1232,0.0615,325.1200,352.1602,-1.0238474012936E-02
7.8303276960,0.0844,0.0430,328.0540,352.1344,-9.3234908800612E-03
8.0750254365,0.0590,0.0307,329.5937,352.1192,-8.3802012947748E-03
8.3197231770,0.0421,0.0224,330.4800,352.1096,-7.4484283022542E-03
8.5644209175,0.0305,0.0167,331.0249,352.1033,-6.5743516423011E-03
8.8091186580,0.0226,0.0126,331.3761,352.0990,-5.7865022259755E-03
9.0538163985,0.0170,0.0096,331.6124,352.0960,-5.0935318976389E-03
9.2985141390,0.0130,0.0075,331.7754,352.0939,-4.4880468187623E-03
9.5432118795,0.0100,0.0059,331.8918,352.0923,-3.9568753935163E-03
9.7879096200,0.0079,0.0048,331.9759,352.0912,-3.4869611874673E-03
10.0326073605,0.0063,0.0038,332.0379,352.0903,-3.0686037001172E-03
10.2773051010,0.0050,0.0031,332.0847,352.0896,-2.6953216753833E-03
10.5220028415,0.0041,0.0026,332.1206,352.0891,-2.3632660439747E-03
10.7667005820,0.0033,0.0022,332.1479,352.0887,-2.0695236591434E-03
11.0113983225,0.0028,0.0018,332.1695,352.0883,-1.8113445348380E-03
11.2560960630,0.0023,0.0015,332.1867,352.0881,-1.5856625374726E-03
11.5007938035,0.0019,0.0013,332.2007,352.0879,-1.3891541858530E-03
11.7454915440,0.0016,0.0011,332.2122,352.0877,-1.2182668395031E-03
11.9901892845,0.0014,0.0010,332.2209,352.0875,-1.0700225857306E-03
