cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.0536042500,8.2143,4.2998,174.9969,15.5817,-2.0809539012591E-01
5.3905112000,7.1157,3.4564,174.9969,15.5839,-1.7915031504088E-01
5.7274181500,6.0152,2.8242,174.9969,15.8697,-1.5633115374534E-01
6.0643251000,5.1370,2.4315,174.9969,18.1190,-1.3725651050968E-01
6.4012320500,4.5692,2.2142,174.9969,19.2702,-1.1644627904522E-01
6.7381390000,4.1947,2.0838,174.9969,19.5380,-9.7705962960581E-02
7.0750459500,3.8535,1.9750,174.9969,19.6569,-8.2796561547480E-02
7.4119529000,3.4172,1.8462,174.9969,19.7877,-7.1108674393495E-02
7.7488598500,2.8299,1.6827,174.9969,20.1180,-6.1576368830668E-02
8.0857668000,2.1489,1.5006,174.9973,20.8934,-5.3571203879372E-02
8.4226737500,1.5051,1.3306,175.0455,21.6345,-4.6458097817788E-02
8.7595807000,0.9968,1.1883,177.3516,21.9569,-4.0141925657420E-02
9.0964876500,0.6427,1.0675,204.7625,22.0857,-3.5799798607950E-02
9.4333946000,0.4126,0.9514,267.8064,22.1754,-3.3452824493808E-02
9.7703015500,0.2674,0.8259,305.4165,22.3199,-3.1254654636119E-02
10.1072085000,0.1763,0.6875,319.7004,22.6684,-2.9466378014463E-02
10.4441154500,0.1186,0.5449,325.5094,23.3686,-2.8124520596177E-02
10.7810224000,0.0815,0.4125,328.2426,24.1765,-2.6963662079351E-02
11.1179293500,0.0572,0.3016,329.6937,24.7013,-2.5740125332451E-02
11.4548363000,0.0409,0.2159,330.5344,24.9537,-2.4297124666970E-02
11.7917432500,0.0299,0.1531,331.0547,25.0696,-2.2583477885345E-02
12.1286502000,0.0222,0.1086,331.3928,25.1262,-2.0705237103529E-02
12.4655571500,0.0168,0.0775,331.6213,25.1563,-1.8854672060732E-02
12.8024641000,0.0128,0.0559,331.7800,25.1735,-1.7174792230680E-02
13.1393710500,0.0100,0.0407,331.8934,25.1840,-1.5731456560713E-02
13.4762780000,0.0079,0.0301,331.9759,25.1907,-1.4529224486124E-02
13.8131849500,0.0063,0.0225,332.0372,25.1952,-1.3537698105409E-02
14.1500919000,0.0051,0.0171,332.0833,25.1982,-1.2714532071472E-02
14.4869988500,0.0041,0.0131,332.1183,25.2003,-1.2020117252694E-02
14.8239058000,0.0034,0.0102,332.1460,25.2019,-1.1422299503934E-02
15.1608127500,0.0028,0.0080,332.1674,25.2030,-1.0895351226592E-02
15.4977197000,0.0024,0.0063,332.1846,25.2038,-1.0416389469771E-02
15.8346266500,0.0020,0.0051,332.1981,25.2045,-9.9649482413268E-03
16.1715336000,0.0017,0.0041,332.2090,25.2049,-9.5223199731647E-03
16.5084405500,0.0015,0.0034,332.2179,25.2053,-9.0752158429830E-03
