cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.5865142300,9.1881,4.0470,174.9969,15.5817,-6.3684057662048E-02
2.7589485120,6.8819,3.0424,174.9969,15.6373,-5.3789706756699E-02
2.9313827940,5.4279,2.5114,174.9969,17.4889,-4.7414920245668E-02
3.1038170760,4.5935,2.2580,174.9969,19.1219,-4.1299049649512E-02
3.2762513580,4.0241,2.1354,174.9969,19.4560,-3.5357902503107E-02
3.4486856400,3.5081,2.0688,174.9969,19.5577,-3.0656615711347E-02
3.6211199220,3.0141,2.0199,174.9969,19.6132,-2.6650376640995E-02
3.7935542040,2.5918,1.9620,174.9969,19.6689,-2.2809870209058E-02
3.9659884860,2.2497,1.8687,174.9971,19.7610,-1.9221251715969E-02
4.1384227680,1.9415,1.7132,174.9986,20.0319,-1.6212026131006E-02
4.3108570500,1.6197,1.4810,175.0171,20.9919,-1.3973732179469E-02
4.4832913320,1.2758,1.1893,175.2781,21.9555,-1.2250162994905E-02
4.6557256140,0.9425,0.8870,178.5431,22.2374,-1.0913240792887E-02
4.8281598960,0.6605,0.6239,201.5620,22.9370,-1.0583592812679E-02
5.0005941780,0.4481,0.4233,256.7164,24.1147,-1.1306847846976E-02
5.1730284600,0.3002,0.2829,298.4608,24.7673,-1.1259568443523E-02
5.3454627420,0.2015,0.1891,316.4462,25.0091,-1.0458610545055E-02
5.5178970240,0.1366,0.1276,323.9180,25.1042,-9.5440520846662E-03
5.6903313060,0.0941,0.0874,327.3899,25.1475,-8.7597111291806E-03
5.8627655880,0.0660,0.0609,329.1979,25.1698,-8.1392360684485E-03
6.0351998700,0.0470,0.0431,330.2301,25.1824,-7.6376816088966E-03
6.2076341520,0.0342,0.0311,330.8578,25.1901,-7.1864890450573E-03
6.3800684340,0.0252,0.0228,331.2615,25.1950,-6.7289885742479E-03
6.5525027160,0.0190,0.0170,331.5301,25.1982,-6.2389053647022E-03
6.7249369980,0.0145,0.0129,331.7152,25.2005,-5.7205395106888E-03
6.8973712800,0.0112,0.0099,331.8466,25.2020,-5.1974480187145E-03
7.0698055620,0.0088,0.0077,331.9409,25.2031,-4.6972475563231E-03
7.2422398440,0.0070,0.0061,332.0108,25.2040,-4.2387567431467E-03
7.4146741260,0.0056,0.0048,332.0631,25.2046,-3.8293546667685E-03
7.5871084080,0.0045,0.0039,332.1029,25.2050,-3.4677517145717E-03
7.7595426900,0.0037,0.0032,332.1339,25.2054,-3.1474870861601E-03
7.9319769720,0.0031,0.0026,332.1576,25.2057,-2.8601398408284E-03
8.1044112540,0.0026,0.0022,332.1765,25.2059,-2.5985365277872E-03
8.2768455360,0.0022,0.0018,332.1916,25.2061,-2.3572130851893E-03
8.4492798180,0.0018,0.0015,332.2035,25.2062,-2.1338407642448E-03
