cell_length,CN_C,CN_A,C6_C,C6_A,Edis
1.8210329850,16.6090,16.4209,174.9969,128.7820,-1.5214115338147E-01
1.9424351840,14.9328,14.8305,174.9969,128.7820,-1.3003727820683E-01
2.0638373830,13.7215,13.6335,174.9969,128.7820,-1.0908263660919E-01
2.1852395820,12.3086,12.1899,174.9969,128.7821,-9.0532233537989E-02
2.3066417810,10.5347,10.3690,174.9969,128.7860,-7.5127491605870E-02
2.4280439800,8.5580,8.3487,174.9969,129.0197,-6.2029362305477E-02
2.5494461790,6.5194,6.2792,174.9969,136.0383,-5.3009909826175E-02
2.6708483780,4.5836,4.3479,174.9969,141.6724,-4.5716501470889E-02
2.7922505770,2.9920,2.8005,174.9969,178.3311,-4.6692004654649E-02
2.9136527760,1.8654,1.7311,175.0000,178.3328,-4.1836067518509E-02
3.0350549750,1.1459,1.0592,175.7554,202.6224,-4.2099176255297E-02
3.1564571740,0.7091,0.6549,194.2239,558.8613,-9.2273556963674E-02
3.2778593730,0.4473,0.4135,256.9649,574.2277,-9.5968919711732E-02
3.3992615720,0.2892,0.2679,300.9109,574.6798,-9.5414074758565E-02
3.5206637710,0.1919,0.1782,317.7332,574.7260,-9.2652057779682E-02
3.6420659700,0.1306,0.1216,324.4668,574.7358,-8.8573038898627E-02
3.7634681690,0.0911,0.0850,327.5976,574.7390,-8.3146132176865E-02
3.8848703680,0.0650,0.0608,329.2552,574.7403,-7.6448583374149E-02
4.0062725670,0.0474,0.0444,330.2129,574.7410,-6.8975371373400E-02
4.1276747660,0.0352,0.0331,330.8076,574.7414,-6.1396742676658E-02
4.2490769650,0.0266,0.0251,331.2001,574.7416,-5.4253975086577E-02
4.3704791640,0.0205,0.0193,331.4662,574.7418,-4.7820498037513E-02
4.4918813630,0.0160,0.0151,331.6518,574.7419,-4.2143762491067E-02
4.6132835620,0.0127,0.0120,331.7876,574.7420,-3.7149987737504E-02
4.7346857610,0.0101,0.0096,331.8891,574.7420,-3.2726788973193E-02
4.8560879600,0.0082,0.0078,331.9629,574.7421,-2.8782675589656E-02
4.9774901590,0.0067,0.0064,332.0197,574.7421,-2.5259155493638E-02
5.0988923580,0.0056,0.0053,332.0632,574.7421,-2.2116252508428E-02
5.2202945570,0.0047,0.0045,332.0974,574.7421,-1.9329167394905E-02
5.3416967560,0.0039,0.0037,332.1264,574.7422,-1.6874804516786E-02
5.4630989550,0.0033,0.0032,332.1480,574.7422,-1.4728268554315E-02
5.5845011540,0.0029,0.0027,332.1656,574.7422,-1.2859309330337E-02
5.7059033530,0.0024,0.0023,332.1813,574.7422,-1.1240070767027E-02
5.8273055520,0.0021,0.0020,332.1931,574.7422,-9.8383449230480E-03
5.9487077510,0.0019,0.0018,332.2028,574.7422,-8.6270281900863E-03
