cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.1050737223,12.5374,3.8492,174.9969,10.3708,-3.7410653053938E-02
2.2454119705,11.7853,3.3904,174.9969,10.3708,-2.9820996180777E-02
2.3857502187,10.7779,3.1808,174.9969,10.3708,-2.3927894427696E-02
2.5260884668,9.3879,3.0543,174.9969,10.3708,-1.9692076665120E-02
2.6664267150,7.9072,2.9173,174.9969,10.3708,-1.6423717116717E-02
2.8067649631,6.5694,2.6921,174.9969,10.3710,-1.3747443743793E-02
2.9471032113,5.2940,2.3193,174.9969,10.3739,-1.1679603046102E-02
3.0874414594,3.9896,1.8121,174.9969,10.5336,-1.0289729177420E-02
3.2277797076,2.7660,1.2783,174.9969,12.4164,-9.9536621425711E-03
3.3681179558,1.7937,0.8348,175.0022,12.9633,-9.2365707691357E-03
3.5084562039,1.1234,0.5236,175.8975,13.9728,-8.6547141014605E-03
3.6487944521,0.6990,0.3253,195.5967,14.9277,-8.4347741948526E-03
3.7891327002,0.4398,0.2041,259.3420,15.2514,-8.9433334715080E-03
3.9294709484,0.2823,0.1305,302.3800,15.3578,-8.7277849255641E-03
4.0698091965,0.1856,0.0855,318.5579,15.4006,-8.0231616286014E-03
4.2101474447,0.1250,0.0574,324.9618,15.4210,-7.3303782636752E-03
4.3504856929,0.0863,0.0395,327.9258,15.4319,-6.7630838760758E-03
4.4908239410,0.0609,0.0278,329.4860,15.4383,-6.3009032499604E-03
4.6311621892,0.0440,0.0200,330.3854,15.4423,-5.8914808726799E-03
4.7715004373,0.0323,0.0147,330.9424,15.4449,-5.4869613975596E-03
4.9118386855,0.0242,0.0110,331.3045,15.4466,-5.0606079219632E-03
5.0521769336,0.0185,0.0084,331.5499,15.4478,-4.6130906813572E-03
5.1925151818,0.0143,0.0064,331.7224,15.4486,-4.1644576223012E-03
5.3328534300,0.0112,0.0051,331.8449,15.4492,-3.7392735290147E-03
5.4731916781,0.0089,0.0040,331.9350,15.4497,-3.3548122980613E-03
5.6135299263,0.0072,0.0033,332.0016,15.4500,-3.0170112611857E-03
5.7538681744,0.0059,0.0027,332.0529,15.4503,-2.7225012461478E-03
5.8942064226,0.0048,0.0022,332.0925,15.4505,-2.4636555371784E-03
6.0345446707,0.0040,0.0018,332.1231,15.4507,-2.2316656145384E-03
6.1748829189,0.0034,0.0015,332.1470,15.4508,-2.0195316835107E-03
6.3152211670,0.0028,0.0013,332.1665,15.4509,-1.8232426593336E-03
6.4555594152,0.0024,0.0011,332.1823,15.4510,-1.6407837403882E-03
6.5958976634,0.0021,0.0010,332.1949,15.4510,-1.4719023527814E-03
6.7362359115,0.0018,0.0008,332.2051,15.4511,-1.3166701466423E-03
6.8765741597,0.0016,0.0007,332.2136,15.4511,-1.1753042758100E-03
