cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.1996531075,15.4706,4.9065,174.9969,10.3708,-7.4839638612514E-02
2.3462966480,12.7860,4.4143,174.9969,10.3708,-5.9581707079461E-02
2.4929401885,10.1213,4.1865,174.9969,10.3708,-4.8826546191364E-02
2.6395837290,7.8538,4.0359,174.9969,10.3708,-4.1231105117431E-02
2.7862272695,6.1067,3.8504,174.9969,10.3708,-3.5607589748219E-02
2.9328708100,4.7950,3.5294,174.9969,10.3708,-3.1413070848528E-02
3.0795143505,3.7056,3.0023,174.9969,10.3708,-2.8348564133764E-02
3.2261578910,2.7056,2.3067,174.9969,10.3742,-2.5921296877465E-02
3.3728014315,1.8352,1.6011,175.0008,11.0491,-2.3907213599251E-02
3.5194449720,1.1758,1.0333,175.6005,12.7842,-2.2140065729362E-02
3.6660885125,0.7339,0.6438,191.2211,13.4190,-2.1124934718080E-02
3.8127320530,0.4578,0.3988,253.6821,14.6200,-2.3551570726158E-02
3.9593755935,0.2898,0.2500,300.7712,15.1540,-2.3654753176406E-02
4.1060191340,0.1877,0.1600,318.2878,15.3214,-2.1488618392301E-02
4.2526626745,0.1246,0.1049,324.9968,15.3838,-1.8993078919557E-02
4.3993062150,0.0849,0.0705,328.0195,15.4120,-1.6753894446699E-02
4.5459497555,0.0593,0.0486,329.5782,15.4266,-1.4865747450172E-02
4.6925932960,0.0424,0.0342,330.4652,15.4349,-1.3280662440895E-02
4.8392368365,0.0309,0.0246,331.0067,15.4399,-1.1910362993481E-02
4.9858803770,0.0231,0.0181,331.3560,15.4432,-1.0674290733873E-02
5.1325239175,0.0175,0.0135,331.5912,15.4454,-9.5236197983319E-03
5.2791674580,0.0135,0.0103,331.7543,15.4469,-8.4480605929894E-03
5.4258109985,0.0106,0.0080,331.8708,15.4479,-7.4614916189617E-03
5.5724545390,0.0084,0.0063,331.9555,15.4487,-6.5815653599028E-03
5.7190980795,0.0068,0.0050,332.0188,15.4493,-5.8153775847960E-03
5.8657416200,0.0055,0.0040,332.0672,15.4497,-5.1575436036595E-03
6.0123851605,0.0045,0.0033,332.1046,15.4500,-4.5931486559399E-03
6.1590287010,0.0037,0.0027,332.1328,15.4503,-4.1038967467008E-03
6.3056722415,0.0032,0.0023,332.1550,15.4505,-3.6729252201533E-03
6.4523157820,0.0027,0.0019,332.1729,15.4506,-3.2873671581384E-03
6.5989593225,0.0023,0.0016,332.1875,15.4508,-2.9389763687668E-03
6.7456028630,0.0020,0.0014,332.1992,15.4508,-2.6228189246641E-03
6.8922464035,0.0017,0.0012,332.2089,15.4509,-2.3363265110039E-03
7.0388899440,0.0015,0.0010,332.2171,15.4510,-2.0781901446735E-03
7.1855334845,0.0013,0.0009,332.2242,15.4511,-1.8469327883553E-03
