cell_length,CN_C,CN_A,C6_C,C6_A,Edis
1.9001079372,16.9011,18.4251,174.9969,244.6586,-1.2985433372499E-01
2.0267817997,14.5987,15.3492,174.9969,244.6586,-1.0848918701085E-01
2.1534556622,13.0577,13.6061,174.9969,244.6586,-9.0462063549274E-02
2.2801295247,11.8327,12.5865,174.9969,244.6586,-7.5183416343397E-02
2.4068033872,10.3875,11.7154,174.9969,244.6586,-6.1684376304175E-02
2.5334772496,8.4794,10.5447,174.9969,244.6586,-5.0482770214819E-02
2.6601511121,6.3052,8.8334,174.9969,244.6586,-4.2312917797295E-02
2.7868249746,4.2830,6.7190,174.9969,244.6586,-3.7119980573647E-02
2.9134988371,2.7190,4.6494,174.9969,244.6586,-3.4305225614904E-02
3.0401726996,1.6672,3.0044,175.0109,245.2603,-3.3059890868340E-02
3.1668465620,1.0167,1.8764,177.0219,331.4416,-3.8288582465801E-02
3.2935204245,0.6282,1.1648,207.5766,343.1323,-4.0363019090814E-02
3.4201942870,0.3970,0.7312,272.5521,697.7397,-6.3526850585124E-02
3.5468681495,0.2574,0.4683,307.3353,713.6325,-6.1908878247194E-02
3.6735420120,0.1715,0.3072,320.2709,713.9159,-5.6224225783551E-02
3.8002158745,0.1172,0.2065,325.6269,713.9369,-4.9679608349812E-02
3.9268897369,0.0821,0.1422,328.2043,713.9405,-4.3308408638070E-02
4.0535635994,0.0588,0.1001,329.6048,713.9415,-3.7526486139119E-02
4.1802374619,0.0430,0.0721,330.4309,713.9419,-3.2441664015604E-02
4.3069113244,0.0320,0.0528,330.9575,713.9421,-2.8017746019284E-02
4.4335851869,0.0243,0.0395,331.3024,713.9422,-2.4172507581246E-02
4.5602590493,0.0188,0.0300,331.5385,713.9423,-2.0825427866390E-02
4.6869329118,0.0147,0.0231,331.7068,713.9423,-1.7910475083784E-02
4.8136067743,0.0116,0.0181,331.8284,713.9424,-1.5379654749855E-02
4.9402806368,0.0093,0.0144,331.9185,713.9424,-1.3192570822536E-02
5.0669544993,0.0076,0.0115,331.9865,713.9424,-1.1311993168858E-02
5.1936283618,0.0062,0.0093,332.0395,713.9424,-9.7047500516140E-03
5.3203022242,0.0052,0.0077,332.0793,713.9424,-8.3355325442798E-03
5.4469760867,0.0043,0.0064,332.1109,713.9424,-7.1727463896168E-03
5.5736499492,0.0037,0.0053,332.1358,713.9424,-6.1854124865117E-03
5.7003238117,0.0031,0.0045,332.1558,713.9424,-5.3481387317252E-03
5.8269976742,0.0026,0.0038,332.1744,713.9424,-4.6362961395651E-03
5.9536715366,0.0023,0.0032,332.1884,713.9424,-4.0298958399214E-03
6.0803453991,0.0020,0.0028,332.1992,713.9424,-3.5130107598234E-03
6.2070192616,0.0017,0.0024,332.2082,713.9424,-3.0708662138211E-03
