cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.9515359900,11.1040,14.5667,174.9969,210.5231,-3.3421947608957E-01
3.1483050560,9.5509,11.1593,174.9969,210.5231,-2.7170906406859E-01
3.3450741220,8.3423,8.3124,174.9969,210.5231,-2.2421778400823E-01
3.5418431880,7.1935,6.2023,174.9969,210.5231,-1.8997594017881E-01
3.7386122540,6.0852,4.7595,174.9969,210.5231,-1.6533023667242E-01
3.9353813200,4.9923,3.7925,174.9969,210.5231,-1.4547916241365E-01
4.1321503860,3.9221,3.0566,174.9969,210.5231,-1.2767772976555E-01
4.3289194520,2.9219,2.3763,174.9969,210.5259,-1.1155957578676E-01
4.5256885180,2.0447,1.7215,174.9977,210.9574,-9.7483677028890E-02
4.7224575840,1.3496,1.1607,175.1568,213.5552,-8.5947145027629E-02
4.9192266500,0.8580,0.7466,181.6494,213.7645,-7.7356554783176E-02
5.1159957160,0.5388,0.4716,229.2442,213.7242,-7.6044025072378E-02
5.3127647820,0.3406,0.2991,288.5289,213.6933,-7.7882954885461E-02
5.5095338480,0.2192,0.1927,313.8545,213.6832,-7.7451498285981E-02
5.7063029140,0.1442,0.1270,323.1915,213.6796,-7.4098520192724E-02
5.9030719800,0.0972,0.0857,327.1688,213.6780,-6.8963385008616E-02
6.0998410460,0.0671,0.0592,329.1319,213.6772,-6.2905233226605E-02
6.2966101120,0.0474,0.0419,330.2133,213.6768,-5.6463354581520E-02
6.4933791780,0.0342,0.0303,330.8578,213.6766,-5.0087591246246E-02
6.6901482440,0.0252,0.0224,331.2651,213.6764,-4.4109483742277E-02
6.8869173100,0.0189,0.0168,331.5337,213.6763,-3.8713195816458E-02
7.0836863760,0.0144,0.0129,331.7186,213.6762,-3.3946056239910E-02
7.2804554420,0.0111,0.0100,331.8480,213.6762,-2.9771768233540E-02
7.4772245080,0.0087,0.0078,331.9421,213.6761,-2.6113626301762E-02
7.6739935740,0.0069,0.0063,332.0114,213.6761,-2.2894545907807E-02
7.8707626400,0.0056,0.0051,332.0625,213.6761,-2.0051764030773E-02
8.0675317060,0.0045,0.0042,332.1026,213.6760,-1.7540516680842E-02
8.2643007720,0.0038,0.0034,332.1325,213.6760,-1.5324319664833E-02
8.4610698380,0.0031,0.0029,332.1559,213.6760,-1.3375763300878E-02
8.6578389040,0.0026,0.0024,332.1744,213.6760,-1.1670477729477E-02
8.8546079700,0.0022,0.0021,332.1892,213.6760,-1.0184124506149E-02
9.0513770360,0.0019,0.0018,332.2015,213.6760,-8.8940851637181E-03
9.2481461020,0.0016,0.0015,332.2120,213.6760,-7.7761924339764E-03
9.4449151680,0.0014,0.0013,332.2199,213.6760,-6.8105412337229E-03
9.6416842340,0.0012,0.0011,332.2265,213.6760,-5.9747933994905E-03
