cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.1001442525,12.2765,15.1095,174.9969,336.1020,-9.4709571616384E-02
3.3068205360,11.3676,13.2264,174.9969,336.1020,-7.6592492035106E-02
3.5134968195,9.8351,11.6720,174.9969,336.1020,-6.2235973062123E-02
3.7201731030,7.5163,10.0123,174.9969,336.1020,-5.0765187752029E-02
3.9268493865,4.9881,8.1186,174.9969,336.1020,-4.2478976213885E-02
4.1335256699,2.9768,6.0934,174.9969,336.1020,-3.7205279440306E-02
4.3402019534,1.6910,4.1799,175.0086,336.2699,-3.4174078305472E-02
4.5468782369,0.9569,2.6525,178.1774,423.2891,-3.9231757306490E-02
4.7535545204,0.5533,1.6092,225.2744,513.1988,-4.4350065604055E-02
4.9602308039,0.3303,0.9653,291.1914,543.1825,-4.6090903761003E-02
5.1669070874,0.2043,0.5857,316.0456,566.9788,-4.4524456202098E-02
5.3735833709,0.1308,0.3636,324.4567,601.1540,-4.1923365305894E-02
5.5802596544,0.0864,0.2321,327.9182,615.5110,-3.8344427033902E-02
5.7869359379,0.0588,0.1524,329.6041,620.5456,-3.4686348023713E-02
5.9936122214,0.0411,0.1029,330.5249,622.6228,-3.1085062155710E-02
6.2002885049,0.0295,0.0712,331.0733,623.6326,-2.7501309811518E-02
6.4069647884,0.0216,0.0506,331.4177,624.1828,-2.4010077971279E-02
6.6136410719,0.0161,0.0367,331.6463,624.5109,-2.0756400127932E-02
6.8203173554,0.0123,0.0272,331.8010,624.7170,-1.7853773382347E-02
7.0269936389,0.0095,0.0205,331.9114,624.8543,-1.5342506430222E-02
7.2336699224,0.0075,0.0157,331.9896,624.9475,-1.3196829146508E-02
7.4403462059,0.0060,0.0122,332.0488,625.0145,-1.1365836552521E-02
7.6470224894,0.0048,0.0096,332.0929,625.0630,-9.7959255138778E-03
7.8536987729,0.0039,0.0077,332.1269,625.0989,-8.4422335945939E-03
8.0603750564,0.0032,0.0062,332.1521,625.1251,-7.2716279096787E-03
8.2670513399,0.0027,0.0051,332.1725,625.1457,-6.2626845363370E-03
8.4737276234,0.0023,0.0042,332.1880,625.1612,-5.3956060092602E-03
8.6804039069,0.0019,0.0035,332.2012,625.1737,-4.6514142182679E-03
8.8870801904,0.0016,0.0029,332.2112,625.1834,-4.0154607251722E-03
9.0937564739,0.0014,0.0025,332.2194,625.1911,-3.4727322198705E-03
9.3004327574,0.0012,0.0021,332.2275,625.1982,-3.0101434397225E-03
9.5071090409,0.0010,0.0018,332.2330,625.2033,-2.6141523436298E-03
9.7137853244,0.0009,0.0016,332.2376,625.2074,-2.2770832542089E-03
9.9204616079,0.0008,0.0014,332.2422,625.2114,-1.9882094865712E-03
10.1271378914,0.0007,0.0012,332.2455,625.2142,-1.7407860443572E-03
