cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.5217759070,27.8961,15.3950,544.4356,174.9969,-1.2736555042370E+00
5.8898943008,23.0940,14.4606,544.4356,174.9969,-1.0717711028848E+00
6.2580126946,20.1229,13.6616,544.4356,174.9969,-9.0343514934076E-01
6.6261310884,18.1899,12.4554,544.4356,174.9969,-7.4761238476931E-01
6.9942494822,16.5976,10.5497,544.4356,174.9969,-6.0506523880560E-01
7.3623678760,14.7522,8.0960,544.4356,174.9969,-4.8808352835674E-01
7.7304862698,12.3216,5.6038,544.4356,174.9969,-4.0169028895409E-01
8.0986046636,9.4371,3.5648,544.4356,174.9969,-3.4262954282292E-01
8.4667230574,6.6228,2.1612,544.4356,174.9972,-3.0527576523782E-01
8.8348414512,4.3477,1.2934,544.4356,175.2425,-2.8433929515921E-01
9.2029598450,2.7487,0.7825,544.4356,186.5117,-2.7550553520185E-01
9.5710782388,1.7184,0.4842,546.3744,245.4194,-2.8598760462258E-01
9.9391966326,1.0819,0.3080,2616.6867,296.6613,-5.6028668668920E-01
10.3073150264,0.6931,0.2016,2617.3309,316.4232,-6.0170927648125E-01
10.6754334202,0.4541,0.1356,2617.3310,324.0166,-5.8462790748739E-01
11.0435518140,0.3046,0.0935,2617.3310,327.4322,-5.3830827978070E-01
11.4116702078,0.2093,0.0661,2617.3310,329.1867,-4.8094978337451E-01
11.7797886016,0.1470,0.0479,2617.3310,330.1879,-4.2275747031072E-01
12.1479069954,0.1055,0.0353,2617.3310,330.8042,-3.6900569318127E-01
12.5160253892,0.0772,0.0265,2617.3310,331.2037,-3.2149315346474E-01
12.8841437830,0.0575,0.0203,2617.3310,331.4753,-2.8008488617395E-01
13.2522621768,0.0436,0.0157,2617.3310,331.6655,-2.4390707259463E-01
13.6203805706,0.0335,0.0123,2617.3310,331.8016,-2.1209895936374E-01
13.9884989644,0.0261,0.0098,2617.3310,331.9001,-1.8404099244589E-01
14.3566173582,0.0207,0.0079,2617.3310,331.9731,-1.5933072831258E-01
14.7247357520,0.0166,0.0065,2617.3310,332.0285,-1.3767824688730E-01
15.0928541457,0.0134,0.0054,2617.3310,332.0713,-1.1883529135938E-01
15.4609725395,0.0110,0.0045,2617.3310,332.1047,-1.0254590226830E-01
15.8290909333,0.0090,0.0038,2617.3310,332.1312,-8.8540784055342E-02
16.1972093271,0.0075,0.0032,2617.3310,332.1538,-7.6542093602510E-02
16.5653277209,0.0063,0.0027,2617.3310,332.1708,-6.6288259394316E-02
16.9334461147,0.0053,0.0024,2617.3310,332.1847,-5.7526781336596E-02
17.3015645085,0.0045,0.0020,2617.3310,332.1966,-5.0038965838203E-02
17.6696829023,0.0039,0.0018,2617.3310,332.2060,-4.3637073676757E-02
18.0378012961,0.0033,0.0015,2617.3310,332.2182,-3.8151684886121E-02
