cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.5700582500,17.6399,10.2454,549.0281,174.9969,-3.0817158917017E-01
4.8747288000,15.5519,9.5329,549.0281,174.9969,-2.5235513335954E-01
5.1793993500,14.2377,9.1309,549.0281,174.9969,-2.0617567205347E-01
5.4840699000,12.8859,8.7088,549.0281,174.9969,-1.6548604013357E-01
5.7887404500,11.0335,8.0251,549.0281,174.9969,-1.3223547610654E-01
6.0934110000,8.6878,6.9216,549.0281,174.9969,-1.0834120690914E-01
6.3980815500,6.2386,5.4339,549.0281,174.9969,-9.3256047107871E-02
6.7027521000,4.1295,3.8467,549.0281,174.9969,-8.5060803710411E-02
7.0074226500,2.5839,2.5027,549.0281,174.9969,-8.1428199049854E-02
7.3120932000,1.5754,1.5517,549.1165,175.0309,-7.9947872333939E-02
7.6167637500,0.9598,0.9483,1186.7316,178.3915,-1.4181450123837E-01
7.9214343000,0.5939,0.5840,3319.9279,217.3934,-3.4228320705829E-01
8.2261048500,0.3762,0.3668,3356.7036,281.3806,-3.3030367792221E-01
8.5307754000,0.2448,0.2360,3358.0770,311.1382,-3.0182179055906E-01
8.8354459500,0.1635,0.1559,3358.2406,321.9984,-2.6748009423811E-01
9.1401165000,0.1121,0.1056,3358.2785,326.5463,-2.3278369593619E-01
9.4447870500,0.0786,0.0732,3358.2915,328.7623,-2.0048584467603E-01
9.7494576000,0.0564,0.0519,3358.2972,329.9750,-1.7176914301274E-01
10.0541281500,0.0414,0.0376,3358.3002,330.6945,-1.4686461481640E-01
10.3587987000,0.0308,0.0278,3358.3019,331.1481,-1.2549986193912E-01
10.6634692500,0.0234,0.0209,3358.3030,331.4485,-1.0722115832009E-01
10.9681398000,0.0180,0.0159,3358.3037,331.6550,-9.1563596942634E-02
11.2728103500,0.0141,0.0124,3358.3041,331.7999,-7.8146139682028E-02
11.5774809000,0.0112,0.0097,3358.3045,331.9043,-6.6670432238385E-02
11.8821514500,0.0090,0.0077,3358.3047,331.9813,-5.6870643287963E-02
12.1868220000,0.0073,0.0062,3358.3049,332.0395,-4.8546969119420E-02
12.4914925500,0.0060,0.0050,3358.3050,332.0837,-4.1492365600369E-02
12.7961631000,0.0049,0.0042,3358.3052,332.1174,-3.5525380910372E-02
13.1008336500,0.0041,0.0034,3358.3052,332.1440,-3.0484240913452E-02
13.4055042000,0.0034,0.0029,3358.3053,332.1648,-2.6229805305022E-02
13.7101747500,0.0029,0.0024,3358.3054,332.1816,-2.2626386134633E-02
14.0148453000,0.0024,0.0021,3358.3054,332.1952,-1.9575562218484E-02
14.3195158500,0.0021,0.0018,3358.3054,332.2067,-1.6987907904788E-02
14.6241864000,0.0018,0.0015,3358.3055,332.2165,-1.4786907737735E-02
14.9288569500,0.0016,0.0013,3358.3055,332.2238,-1.2905987978891E-02
