cell_length,CN_C,CN_A,C6_C,C6_A,Edis
1.8568056000,16.6284,16.2200,109.5041,174.9969,-1.6173452710578E-01
1.9805926400,14.9632,14.7005,109.5041,174.9969,-1.3662009089038E-01
2.1043796800,13.7794,13.4892,109.5041,174.9969,-1.1315022966653E-01
2.2281667200,12.4014,11.9911,109.5041,174.9969,-9.3413917832413E-02
2.3519537600,10.6485,10.1253,109.5041,174.9969,-7.6843553730738E-02
2.4757408000,8.6857,8.0777,109.5041,174.9969,-6.2813305313376E-02
2.5995278400,6.6673,5.9964,109.5041,174.9969,-5.1764159330384E-02
2.7233148800,4.7411,4.0914,204.9925,174.9969,-5.0878231167622E-02
2.8471019200,3.1310,2.6043,204.9925,174.9969,-4.4791123516727E-02
2.9708889600,1.9684,1.5986,204.9926,175.0206,-4.1041219128445E-02
3.0946760000,1.2145,0.9753,206.1287,177.7659,-3.9275770243294E-02
3.2184630400,0.7525,0.6029,392.9697,212.9856,-5.1142999078651E-02
3.3422500800,0.4745,0.3811,487.6374,277.2462,-6.3120415917079E-02
3.4660371200,0.3063,0.2474,490.9277,309.1645,-6.5575682665778E-02
3.5898241600,0.2028,0.1649,491.2308,321.0180,-6.4131831070811E-02
3.7136112000,0.1377,0.1128,491.2908,325.9815,-6.0766049948783E-02
3.8373982400,0.0958,0.0790,491.3095,328.4007,-5.6096214080111E-02
3.9611852800,0.0682,0.0567,491.3172,329.7206,-5.0663705945001E-02
4.0849723200,0.0497,0.0415,491.3211,330.5052,-4.5050394850032E-02
4.2087593600,0.0368,0.0310,491.3232,331.0053,-3.9710600129991E-02
4.3325464000,0.0278,0.0235,491.3245,331.3357,-3.4884283395218E-02
4.4563334400,0.0213,0.0182,491.3254,331.5620,-3.0624683661418E-02
4.5801204800,0.0166,0.0142,491.3260,331.7246,-2.6883287224923E-02
4.7039075200,0.0131,0.0113,491.3264,331.8435,-2.3579598472046E-02
4.8276945600,0.0105,0.0091,491.3267,331.9300,-2.0645431396749E-02
4.9514816000,0.0085,0.0074,491.3269,331.9948,-1.8037066536790E-02
5.0752686400,0.0070,0.0061,491.3270,332.0444,-1.5722821016844E-02
5.1990556800,0.0058,0.0051,491.3272,332.0830,-1.3683617532110E-02
5.3228427200,0.0048,0.0042,491.3273,332.1154,-1.1897383705810E-02
5.4466297600,0.0040,0.0036,491.3273,332.1394,-1.0343144205877E-02
5.5704168000,0.0034,0.0030,491.3274,332.1595,-8.9974686084554E-03
5.6942038400,0.0029,0.0026,491.3274,332.1760,-7.8370825313823E-03
5.8179908800,0.0025,0.0022,491.3275,332.1888,-6.8370233087699E-03
5.9417779200,0.0022,0.0020,491.3275,332.1994,-5.9762024698992E-03
6.0655649600,0.0019,0.0017,491.3275,332.2085,-5.2341985469981E-03
