cell_length,CN_C,CN_A,C6_C,C6_A,Edis
1.8402542550,16.8792,16.4833,109.5041,174.9969,-7.0764496276430E-02
1.9629378720,15.1006,14.8669,109.5041,174.9969,-6.0050975657222E-02
2.0856214890,13.8901,13.6677,109.5041,174.9969,-4.9985854660489E-02
2.2083051060,12.5325,12.2360,109.5041,174.9969,-4.1339494160994E-02
2.3309887230,10.8041,10.4240,109.5041,174.9969,-3.4118655417576E-02
2.4536723400,8.8542,8.4002,109.5041,174.9969,-2.7968304106515E-02
2.5763559570,6.8481,6.3208,109.5041,174.9969,-2.2993061691740E-02
2.6990395740,4.9252,4.3787,204.9925,174.9969,-2.6249454062186E-02
2.8217231910,3.2925,2.8216,204.9925,174.9969,-2.2860236099153E-02
2.9444068080,2.0895,1.7445,204.9925,175.0047,-2.0725206259213E-02
3.0670904250,1.2961,1.0675,205.3811,176.3752,-1.9515044750022E-02
3.1897740420,0.8047,0.6599,344.2725,201.6513,-2.5932989412227E-02
3.3124576590,0.5073,0.4167,485.6716,266.5382,-3.4163896091433E-02
3.4351412760,0.3271,0.2699,490.7997,304.9269,-3.5198164692235E-02
3.5578248930,0.2162,0.1795,491.2107,319.3173,-3.4401218334762E-02
3.6805085100,0.1465,0.1224,491.2853,325.1867,-3.2758972621458E-02
3.8031921270,0.1017,0.0856,491.3074,327.9754,-3.0495951561303E-02
3.9258757440,0.0723,0.0612,491.3163,329.4707,-2.7789361341383E-02
4.0485593610,0.0525,0.0447,491.3206,330.3477,-2.4890213188108E-02
4.1712429780,0.0388,0.0333,491.3229,330.8991,-2.2043411438371E-02
4.2939265950,0.0292,0.0252,491.3243,331.2623,-1.9413031705484E-02
4.4166102120,0.0224,0.0194,491.3253,331.5094,-1.7065461302168E-02
4.5392938290,0.0174,0.0152,491.3259,331.6852,-1.4997931428210E-02
4.6619774460,0.0137,0.0120,491.3263,331.8138,-1.3176654386295E-02
4.7846610630,0.0110,0.0096,491.3266,331.9071,-1.1563718996104E-02
4.9073446800,0.0089,0.0078,491.3268,331.9774,-1.0130409305552E-02
5.0300282970,0.0073,0.0064,491.3270,332.0307,-8.8560081481067E-03
5.1527119140,0.0060,0.0054,491.3271,332.0720,-7.7280249899908E-03
5.2753955310,0.0050,0.0045,491.3272,332.1062,-6.7350232487980E-03
5.3980791480,0.0042,0.0038,491.3273,332.1321,-5.8662673509346E-03
5.5207627650,0.0035,0.0032,491.3274,332.1535,-5.1106890901801E-03
5.6434463820,0.0030,0.0027,491.3274,332.1710,-4.4563301260607E-03
5.7661299990,0.0026,0.0024,491.3275,332.1846,-3.8907137695118E-03
5.8888136160,0.0023,0.0021,491.3275,332.1958,-3.4027101676254E-03
6.0114972330,0.0020,0.0018,491.3275,332.2054,-2.9813928990760E-03
