cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.7932802500,31.9592,15.2607,595.3628,174.9969,-1.2353686219741E+00
4.0461656000,26.3801,14.1488,595.3628,174.9969,-1.0350323982434E+00
4.2990509500,22.7232,13.0739,595.3628,174.9969,-8.6886255892326E-01
4.5519363000,20.1908,11.6659,595.3628,174.9969,-7.1532662057995E-01
4.8048216500,17.9118,9.7540,595.3628,174.9969,-5.7913007950534E-01
5.0577070000,15.2732,7.4360,595.3628,174.9969,-4.7145926514174E-01
5.3105923500,12.1996,5.1512,595.3628,174.9969,-3.9439673488682E-01
5.5634777000,9.0477,3.3123,595.3628,174.9969,-3.4300907265768E-01
5.8163630500,6.2577,2.0371,595.3628,174.9977,-3.1068312440627E-01
6.0692484000,4.0967,1.2330,595.3628,175.3870,-2.9123086148479E-01
6.3221337500,2.5956,0.7505,595.3628,189.4433,-2.8258228953988E-01
6.5750191000,1.6280,0.4655,605.2322,251.2444,-3.0148101484375E-01
6.8279044500,1.0284,0.2962,1891.5216,299.3662,-4.6522519242124E-01
7.0807898000,0.6610,0.1937,1891.6719,317.5016,-4.8873153759566E-01
7.3336751500,0.4343,0.1301,1891.6719,324.5143,-4.7017746339421E-01
7.5865605000,0.2923,0.0897,1891.6719,327.6948,-4.3267525065268E-01
7.8394458500,0.2014,0.0634,1891.6719,329.3478,-3.8805006897378E-01
8.0923312000,0.1418,0.0457,1891.6719,330.2959,-3.4260009032566E-01
8.3452165500,0.1020,0.0337,1891.6719,330.8789,-2.9992727115441E-01
8.5981019000,0.0749,0.0253,1891.6719,331.2575,-2.6162475887935E-01
8.8509872500,0.0559,0.0193,1891.6719,331.5139,-2.2795135402649E-01
9.1038726000,0.0425,0.0150,1891.6719,331.6922,-1.9850099733861E-01
9.3567579500,0.0328,0.0118,1891.6719,331.8207,-1.7268878508174E-01
9.6096433000,0.0257,0.0094,1891.6719,331.9150,-1.5000412860877E-01
9.8625286500,0.0204,0.0076,1891.6719,331.9862,-1.3006464127516E-01
10.1154140000,0.0163,0.0062,1891.6719,332.0395,-1.1259479465943E-01
10.3682993500,0.0132,0.0051,1891.6719,332.0814,-9.7369101753840E-02
10.6211847000,0.0108,0.0043,1891.6719,332.1136,-8.4172303029382E-02
10.8740700500,0.0089,0.0036,1891.6719,332.1389,-7.2793350886913E-02
11.1269554000,0.0075,0.0030,1891.6719,332.1590,-6.3018677138445E-02
11.3798407500,0.0063,0.0026,1891.6719,332.1760,-5.4638947108295E-02
11.6327261000,0.0053,0.0022,1891.6719,332.1893,-4.7469689094533E-02
11.8856114500,0.0045,0.0019,1891.6719,332.2012,-4.1332259129718E-02
12.1384968000,0.0039,0.0017,1891.6719,332.2106,-3.6076601815371E-02
12.3913821500,0.0033,0.0014,1891.6719,332.2185,-3.1567279795474E-02
