cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.6137952775,26.3389,12.6260,595.3628,174.9969,-8.6302452996560E-02
2.7880482960,22.4545,10.6301,595.3628,174.9969,-6.7628726179583E-02
2.9623013145,18.9857,9.3170,595.3628,174.9969,-5.3617544749759E-02
3.1365543330,16.5067,8.5338,595.3628,174.9969,-4.3962019747578E-02
3.3108073515,14.8241,7.9196,595.3628,174.9969,-3.6780142335615E-02
3.4850603700,13.3043,7.1481,595.3628,174.9969,-3.1010471062642E-02
3.6593133885,11.4223,6.0175,595.3628,174.9969,-2.6576278845952E-02
3.8335664070,9.0542,4.5857,595.3628,174.9969,-2.3534508881937E-02
4.0078194255,6.5450,3.1635,595.3628,174.9969,-2.1809522162733E-02
4.1820724440,4.3787,2.0337,595.3628,174.9977,-2.1141061000428E-02
4.3563254625,2.7940,1.2648,595.3628,175.3027,-2.1043417889972E-02
4.5305784810,1.7518,0.7831,595.9390,186.4646,-2.1325083996299E-02
4.7048314995,1.1024,0.4911,1890.8485,243.3181,-4.6547164379354E-02
4.8790845180,0.7045,0.3144,1891.6718,295.1400,-4.5625920676420E-02
5.0533375365,0.4600,0.2063,1891.6719,315.7699,-4.1279024194706E-02
5.2275905550,0.3075,0.1387,1891.6719,323.7181,-3.5992566092545E-02
5.4018435735,0.2101,0.0954,1891.6719,327.2959,-3.0975825924698E-02
5.5760965920,0.1470,0.0673,1891.6719,329.1218,-2.6605211477266E-02
5.7503496105,0.1050,0.0484,1891.6719,330.1596,-2.2883090457324E-02
5.9246026290,0.0766,0.0356,1891.6719,330.7927,-1.9686993668912E-02
6.0988556475,0.0569,0.0266,1891.6719,331.2010,-1.6915033008072E-02
6.2731086660,0.0429,0.0202,1891.6719,331.4796,-1.4491353192004E-02
6.4473616845,0.0329,0.0156,1891.6719,331.6697,-1.2383462248234E-02
6.6216147030,0.0255,0.0122,1891.6719,331.8069,-1.0564198995830E-02
6.7958677215,0.0201,0.0097,1891.6719,331.9057,-9.0054076010492E-03
6.9701207400,0.0161,0.0078,1891.6719,331.9793,-7.6800544937412E-03
7.1443737585,0.0128,0.0063,1891.6719,332.0364,-6.5580266902173E-03
7.3186267770,0.0104,0.0051,1891.6719,332.0820,-5.6121863338541E-03
7.4928797955,0.0086,0.0042,1891.6719,332.1149,-4.8135497890121E-03
7.6671328140,0.0071,0.0035,1891.6719,332.1408,-4.1416048827847E-03
7.8413858325,0.0060,0.0030,1891.6719,332.1614,-3.5725975611029E-03
8.0156388510,0.0050,0.0025,1891.6719,332.1783,-3.0922596501264E-03
8.1898918695,0.0043,0.0022,1891.6719,332.1918,-2.6848248731449E-03
8.3641448880,0.0037,0.0019,1891.6719,332.2027,-2.3369803144685E-03
8.5383979065,0.0032,0.0016,1891.6719,332.2118,-2.0401226580154E-03
