cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.3620752500,16.6761,12.5611,310.8315,174.9969,-1.0267825971628E-01
3.5862136000,14.3592,11.8922,310.8315,174.9969,-8.1986638046751E-02
3.8103519500,12.7458,10.9041,310.8315,174.9969,-6.6300330580216E-02
4.0344903000,11.3399,9.1586,310.8315,174.9969,-5.4167891430764E-02
4.2586286500,9.7243,6.7284,310.8315,174.9969,-4.4873357979047E-02
4.4827670000,7.8136,4.3248,310.8315,174.9969,-3.8500331159998E-02
4.7069053500,5.7649,2.5525,310.8315,174.9969,-3.4630333638990E-02
4.9310437000,3.8866,1.4627,310.8325,175.0641,-3.2397364849394E-02
5.1551820500,2.4479,0.8442,363.4679,182.3576,-3.4861006850570E-02
5.3793204000,1.4930,0.4998,523.7199,240.6680,-4.6212746332595E-02
5.6034587500,0.9083,0.3054,677.6738,297.2623,-5.4518231741462E-02
5.8275971000,0.5610,0.1929,705.7661,317.6078,-5.1846817655647E-02
6.0517354500,0.3550,0.1259,735.5500,324.8878,-4.8274491762925E-02
6.2758738000,0.2305,0.0845,747.4583,328.0451,-4.4145298113731E-02
6.5000121500,0.1538,0.0584,751.6956,329.6276,-4.0196070671043E-02
6.7241505000,0.1054,0.0414,753.4765,330.5125,-3.6371757215145E-02
6.9482888500,0.0739,0.0300,754.3549,331.0500,-3.2491333294569E-02
7.1724272000,0.0530,0.0222,754.8402,331.3934,-2.8586250817979E-02
7.3965655500,0.0388,0.0168,755.1297,331.6211,-2.4835585698183E-02
7.6207039000,0.0289,0.0128,755.3159,331.7816,-2.1427620118750E-02
7.8448422500,0.0220,0.0100,755.4383,331.8928,-1.8447971836496E-02
8.0689806000,0.0170,0.0079,755.5231,331.9739,-1.5899955760542E-02
8.2931189500,0.0133,0.0064,755.5830,332.0336,-1.3734296362354E-02
8.5172573000,0.0104,0.0051,755.6290,332.0831,-1.1880790264214E-02
8.7413956500,0.0084,0.0042,755.6611,332.1173,-1.0283696162419E-02
8.9655340000,0.0068,0.0035,755.6854,332.1438,-8.9026516637849E-03
9.1896723500,0.0056,0.0029,755.7044,332.1651,-7.7034579823737E-03
9.4138107000,0.0047,0.0024,755.7189,332.1816,-6.6661297421494E-03
9.6379490500,0.0039,0.0021,755.7302,332.1949,-5.7712369785539E-03
9.8620874000,0.0033,0.0018,755.7393,332.2057,-5.0003561863279E-03
10.0862257500,0.0027,0.0015,755.7477,332.2167,-4.3389530665490E-03
10.3103641000,0.0024,0.0013,755.7535,332.2238,-3.7703829922427E-03
10.5345024500,0.0020,0.0011,755.7583,332.2298,-3.2848651201046E-03
10.7586408000,0.0018,0.0010,755.7622,332.2347,-2.8676345537598E-03
10.9827791500,0.0015,0.0009,755.7655,332.2389,-2.5088457833470E-03
