cell_length,CN_C,CN_A,C6_C,C6_A,Edis
6.8908252500,21.8520,14.5412,310.8315,174.9969,-2.2136830614909E+00
7.3502136000,18.8349,12.7223,310.8315,174.9969,-1.8319548408339E+00
7.8096019500,16.7083,11.2487,310.8315,174.9969,-1.4930741018074E+00
8.2689903000,14.8669,9.8336,310.8315,174.9969,-1.2032289963676E+00
8.7283786500,12.9338,8.3759,310.8315,174.9969,-9.6849815761030E-01
9.1877670000,10.8145,6.8853,310.8315,174.9969,-7.8960881938072E-01
9.6471553500,8.5471,5.3851,310.8315,174.9969,-6.6123535163794E-01
10.1065437000,6.2838,3.9342,310.8315,174.9969,-5.7504177754769E-01
10.5659320500,4.2892,2.6701,310.8315,174.9969,-5.2270700400954E-01
11.0253204000,2.7666,1.7129,317.8496,175.0068,-4.9963955379363E-01
11.4847087500,1.7329,1.0688,449.0572,176.3609,-5.6261581513122E-01
11.9440971000,1.0803,0.6652,664.6888,200.7531,-7.1896976252659E-01
12.4034854500,0.6812,0.4196,691.8422,265.6429,-8.4006446625050E-01
12.8628738000,0.4381,0.2703,724.0952,304.8529,-8.8264312971298E-01
13.3222621500,0.2886,0.1784,742.7526,319.4458,-8.4947599921999E-01
13.7816505000,0.1948,0.1207,749.6799,325.3309,-7.7706691277959E-01
14.2410388500,0.1347,0.0837,752.4683,328.0976,-6.9105484926867E-01
14.7004272000,0.0952,0.0594,753.7802,329.5714,-6.0588663475979E-01
15.1598155500,0.0688,0.0431,754.4802,330.4302,-5.2830869384949E-01
15.6192039000,0.0507,0.0318,754.8896,330.9661,-4.6003090540190E-01
16.0785922500,0.0380,0.0239,755.1469,331.3187,-4.0035983749709E-01
16.5379806000,0.0290,0.0183,755.3154,331.5574,-3.4797590395043E-01
16.9973689500,0.0224,0.0142,755.4313,331.7251,-3.0177640955709E-01
17.4567573000,0.0176,0.0112,755.5127,331.8454,-2.6103226180011E-01
17.9161456500,0.0140,0.0090,755.5720,331.9337,-2.2525228774136E-01
18.3755340000,0.0113,0.0072,755.6159,332.0004,-1.9406321661476E-01
18.8349223500,0.0092,0.0059,755.6490,332.0513,-1.6708169748479E-01
19.2943107000,0.0076,0.0049,755.6743,332.0901,-1.4388724438322E-01
19.7536990500,0.0063,0.0041,755.6943,332.1208,-1.2404698315932E-01
20.2130874000,0.0052,0.0034,755.7098,332.1455,-1.0712140831676E-01
20.6724757500,0.0044,0.0029,755.7224,332.1649,-9.2698498564561E-02
21.1318641000,0.0037,0.0025,755.7326,332.1810,-8.0395749087416E-02
21.5912524500,0.0032,0.0021,755.7411,332.1939,-6.9911162854489E-02
22.0506408000,0.0027,0.0018,755.7479,332.2048,-6.0953625753683E-02
22.5100291500,0.0024,0.0016,755.7533,332.2135,-5.3286613825595E-02
