cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.2349148204,18.1725,14.2109,175.5616,174.9969,-1.0744512605043E-01
3.4505758084,15.6173,12.4734,175.5616,174.9969,-8.6158418144353E-02
3.6662367964,13.8861,10.7358,175.5616,174.9969,-6.9207765712945E-02
3.8818977845,12.5972,9.2597,175.5616,174.9969,-5.5862497833771E-02
4.0975587725,11.3370,8.0187,175.5616,174.9969,-4.5752622112697E-02
4.3132197605,9.7605,6.7620,175.5616,174.9969,-3.8618772089374E-02
4.5288807485,7.8146,5.3806,175.5616,174.9969,-3.3886775737970E-02
4.7445417366,5.7504,3.9758,175.5616,174.9969,-3.0887425570138E-02
4.9602027246,3.9094,2.7273,175.5616,174.9969,-2.9025499590506E-02
5.1758637126,2.5085,1.7652,175.6102,175.0035,-2.8722712624206E-02
5.3915247006,1.5643,1.1073,241.4823,176.0144,-4.0361371619578E-02
5.6071856887,0.9721,0.6905,448.3745,196.8056,-5.4768063646376E-02
5.8228466767,0.6117,0.4352,508.1234,260.7636,-5.9557301027788E-02
6.0385076647,0.3930,0.2799,599.6534,302.8889,-6.1534839703679E-02
6.2541686527,0.2587,0.1843,644.6991,318.7206,-5.7694153837312E-02
6.4698296408,0.1745,0.1244,661.4216,325.0214,-5.1679435381139E-02
6.6854906288,0.1206,0.0860,668.4074,327.9484,-4.5445708358392E-02
6.9011516168,0.0852,0.0607,671.8015,329.4956,-3.9615648201118E-02
7.1168126048,0.0614,0.0438,673.6572,330.3913,-3.4363848667652E-02
7.3324735929,0.0452,0.0323,674.7557,330.9446,-2.9712300401212E-02
7.5481345809,0.0339,0.0242,675.4497,331.3046,-2.5624773396256E-02
7.7637955689,0.0259,0.0185,675.9117,331.5493,-2.2050256775371E-02
7.9794565570,0.0200,0.0143,676.2307,331.7205,-1.8940429588735E-02
8.1951175450,0.0157,0.0113,676.4588,331.8436,-1.6247938906143E-02
8.4107785330,0.0125,0.0090,676.6224,331.9333,-1.3931000653524E-02
8.6264395210,0.0100,0.0072,676.7445,332.0010,-1.1947640163364E-02
8.8421005091,0.0081,0.0059,676.8370,332.0521,-1.0256226612351E-02
9.0577614971,0.0067,0.0048,676.9075,332.0914,-8.8176543750064E-03
9.2734224851,0.0056,0.0040,676.9624,332.1232,-7.5965655193799E-03
9.4890834731,0.0046,0.0033,677.0083,332.1485,-6.5600376645058E-03
9.7047444612,0.0039,0.0028,677.0436,332.1678,-5.6802232595176E-03
9.9204054492,0.0033,0.0024,677.0712,332.1835,-4.9318332198123E-03
10.1360664372,0.0028,0.0020,677.0932,332.1961,-4.2941703840869E-03
10.3517274252,0.0024,0.0018,677.1112,332.2064,-3.7497053230476E-03
10.5673884133,0.0021,0.0015,677.1263,332.2150,-3.2836836940761E-03
