cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.5464709261,23.4955,16.1386,175.5616,174.9969,-1.6277082982551E-01
2.7162356545,19.5148,14.2595,175.5616,174.9969,-1.3754543680784E-01
2.8860003829,16.8368,12.9467,175.5616,174.9969,-1.1488600442332E-01
3.0557651113,14.8446,11.8030,175.5616,174.9969,-9.4015743954144E-02
3.2255298397,13.2879,10.4043,175.5616,174.9969,-7.7121179115459E-02
3.3952945681,11.8873,8.5783,175.5616,174.9969,-6.4084540134587E-02
3.5650592965,10.2600,6.5593,175.5616,174.9969,-5.3606429506941E-02
3.7348240250,8.2169,4.6915,175.5616,174.9969,-4.5236718934612E-02
3.9045887534,5.9887,3.1638,175.5616,174.9969,-3.9142098362859E-02
4.0743534818,4.0196,2.0355,175.5616,174.9977,-3.5327058033032E-02
4.2441182102,2.5654,1.2760,175.5926,175.2775,-3.3465157113178E-02
4.4138829386,1.6074,0.7967,225.6845,185.3916,-3.6328614142120E-02
4.5836476670,1.0108,0.5033,444.5872,239.6015,-5.1933384583977E-02
4.7534123954,0.6458,0.3243,497.4089,292.7034,-6.0578962518957E-02
4.9231771238,0.4216,0.2141,587.4984,314.6236,-6.3372950798248E-02
5.0929418522,0.2817,0.1448,638.6106,323.1316,-6.0648437544983E-02
5.2627065806,0.1928,0.1004,658.4434,326.9366,-5.5106172575692E-02
5.4324713090,0.1349,0.0711,666.7786,328.8907,-4.8887475608579E-02
5.6022360374,0.0965,0.0516,670.7993,329.9960,-4.3021003349373E-02
5.7720007658,0.0703,0.0380,672.9974,330.6776,-3.7833767880452E-02
5.9417654942,0.0522,0.0285,674.2955,331.1150,-3.3308228771166E-02
6.1115302227,0.0395,0.0218,675.1133,331.4078,-2.9313410333824E-02
6.2812949511,0.0303,0.0170,675.6598,331.6132,-2.5734163740807E-02
6.4510596795,0.0236,0.0134,676.0341,331.7589,-2.2506552967792E-02
6.6208244079,0.0186,0.0107,676.3036,331.8673,-1.9605106358181E-02
6.7905891363,0.0149,0.0086,676.4973,331.9468,-1.7019971326030E-02
6.9603538647,0.0120,0.0070,676.6454,332.0096,-1.4744100035207E-02
7.1301185931,0.0098,0.0058,676.7542,332.0560,-1.2759921816047E-02
7.2998833215,0.0081,0.0048,676.8389,332.0925,-1.1043201863226E-02
7.4696480499,0.0068,0.0041,676.9042,332.1211,-9.5655004764604E-03
7.6394127783,0.0057,0.0034,676.9558,332.1439,-8.2990973741621E-03
7.8091775067,0.0047,0.0029,677.0029,332.1653,-7.2139080900063E-03
7.9789422351,0.0040,0.0025,677.0357,332.1802,-6.2837912230493E-03
8.1487069635,0.0035,0.0021,677.0624,332.1924,-5.4877843922260E-03
8.3184716919,0.0030,0.0019,677.0844,332.2025,-4.8036621365351E-03
