cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.3891861100,20.9713,14.5915,175.5616,174.9969,-1.3258948958216E-01
2.5484651840,17.6009,13.0131,175.5616,174.9969,-1.0805746759132E-01
2.7077442580,15.6180,11.3259,175.5616,174.9969,-8.7686668195832E-02
2.8670233320,14.3455,9.7825,175.5616,174.9969,-7.0890439758438E-02
3.0263024060,13.0524,8.5201,175.5616,174.9969,-5.7288174362002E-02
3.1855814800,11.2369,7.2914,175.5616,174.9969,-4.7195952509077E-02
3.3448605540,8.8275,5.8504,175.5616,174.9969,-4.0423782898174E-02
3.5041396280,6.2565,4.2660,175.5616,174.9969,-3.6214747910411E-02
3.6634187020,4.0771,2.8424,175.5616,174.9969,-3.3638001897029E-02
3.8226977760,2.5320,1.7884,175.6020,175.0024,-3.1904550239077E-02
3.9819768500,1.5497,1.1013,247.5704,176.0626,-3.6235349996263E-02
4.1412559240,0.9560,0.6807,449.8492,198.2682,-5.0788025441702E-02
4.3005349980,0.6012,0.4280,511.7470,263.0345,-5.8842633746767E-02
4.4598140720,0.3875,0.2755,601.9102,303.7864,-6.3928334780261E-02
4.6190931460,0.2563,0.1820,645.2781,319.0106,-6.1589841068382E-02
4.7783722200,0.1740,0.1233,661.4992,325.1111,-5.5870433798334E-02
4.9376512940,0.1209,0.0856,668.3707,327.9754,-4.9364967979756E-02
5.0969303680,0.0859,0.0608,671.7363,329.4948,-4.3165606442385E-02
5.2562094420,0.0625,0.0441,673.5824,330.3778,-3.7631592213795E-02
5.4154885160,0.0462,0.0326,674.6952,330.9314,-3.2787169478579E-02
5.5747675900,0.0347,0.0245,675.4009,331.2935,-2.8533571549354E-02
5.7340466640,0.0266,0.0188,675.8704,331.5383,-2.4773757056607E-02
5.8933257380,0.0207,0.0146,676.1934,331.7093,-2.1442590829929E-02
6.0526048120,0.0163,0.0115,676.4235,331.8324,-1.8502872599951E-02
6.2118838860,0.0130,0.0092,676.5951,331.9258,-1.5931212543072E-02
6.3711629600,0.0105,0.0074,676.7198,331.9934,-1.3701121194921E-02
6.5304420340,0.0086,0.0061,676.8156,332.0453,-1.1782424520047E-02
6.6897211080,0.0070,0.0050,676.8906,332.0860,-1.0142472753734E-02
6.8490001820,0.0059,0.0042,676.9471,332.1170,-8.7440512299115E-03
7.0082792560,0.0049,0.0035,676.9918,332.1415,-7.5543359532686E-03
7.1675583300,0.0042,0.0030,677.0286,332.1617,-6.5411709933423E-03
7.3268374040,0.0035,0.0025,677.0596,332.1785,-5.6799087268891E-03
7.4861164780,0.0030,0.0021,677.0854,332.1934,-4.9441908684103E-03
7.6453955520,0.0026,0.0018,677.1043,332.2039,-4.3162880485125E-03
7.8046746260,0.0022,0.0016,677.1199,332.2125,-3.7781163570510E-03
