cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.7897836525,34.5207,14.9725,620.5206,174.9969,-1.1505581834332E+00
4.0424358960,28.4196,13.3757,620.5206,174.9969,-9.6275101176684E-01
4.2950881395,24.2514,12.4774,620.5206,174.9969,-8.0837815473809E-01
4.5477403830,21.3661,11.7100,620.5206,174.9969,-6.7083387195918E-01
4.8003926265,19.0013,10.6433,620.5206,174.9969,-5.4812790952507E-01
5.0530448700,16.4760,9.0379,620.5206,174.9969,-4.4613878320399E-01
5.3056971135,13.5109,6.9871,620.5206,174.9969,-3.6790221425292E-01
5.5583493570,10.3306,4.8968,620.5206,174.9969,-3.1145384693431E-01
5.8110016005,7.3692,3.1750,620.5206,174.9969,-2.7299772932422E-01
6.0636538440,4.9546,1.9695,620.5206,174.9983,-2.4891528334710E-01
6.3163060875,3.1977,1.2059,620.5206,175.4765,-2.3769361959741E-01
6.5689583310,2.0254,0.7444,620.5240,190.0756,-2.4946692721764E-01
6.8216105745,1.2833,0.4685,3866.8782,250.3126,-4.5239042188703E-01
7.0742628180,0.8238,0.3022,3924.4199,297.9990,-4.9924976150429E-01
7.3269150615,0.5393,0.2001,3924.4211,316.6405,-4.9829180184441E-01
7.5795673050,0.3611,0.1358,3924.4211,323.9902,-4.7038881637425E-01
7.8322195485,0.2474,0.0945,3924.4211,327.3618,-4.2937896645028E-01
8.0848717920,0.1733,0.0672,3924.4211,329.1234,-3.8352343621093E-01
8.3375240355,0.1240,0.0488,3924.4211,330.1375,-3.3829821596904E-01
8.5901762790,0.0905,0.0362,3924.4211,330.7636,-2.9671110743238E-01
8.8428285225,0.0672,0.0273,3924.4211,331.1719,-2.5977775639706E-01
9.0954807660,0.0508,0.0209,3924.4211,331.4479,-2.2735079969720E-01
9.3481330095,0.0390,0.0163,3924.4211,331.6419,-1.9883699378400E-01
9.6007852530,0.0304,0.0128,3924.4211,331.7815,-1.7363743669054E-01
9.8534374965,0.0240,0.0102,3924.4211,331.8834,-1.5131277097648E-01
10.1060897400,0.0192,0.0083,3924.4211,331.9601,-1.3156415520525E-01
10.3587419835,0.0155,0.0068,3924.4211,332.0187,-1.1418653334071E-01
10.6113942270,0.0126,0.0056,3924.4211,332.0644,-9.8990417402139E-02
10.8640464705,0.0104,0.0046,3924.4211,332.0995,-8.5791045541769E-02
11.1166987140,0.0086,0.0039,3924.4211,332.1269,-7.4384233635112E-02
11.3693509575,0.0072,0.0033,3924.4211,332.1493,-6.4560817957071E-02
11.6220032010,0.0061,0.0028,3924.4211,332.1676,-5.6125070672468E-02
11.8746554445,0.0051,0.0024,3924.4211,332.1830,-4.8887301435811E-02
12.1273076880,0.0044,0.0021,3924.4211,332.1953,-4.2677557364775E-02
12.3799599315,0.0038,0.0018,3924.4211,332.2054,-3.7342587125800E-02
