cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.7874784122,26.1589,15.4205,313.9846,174.9969,-1.6656511913514E-01
2.9733103064,22.5006,14.5378,313.9846,174.9969,-1.3981302906271E-01
3.1591422005,19.0002,13.8648,313.9846,174.9969,-1.1512487025768E-01
3.3449740947,16.2426,12.8602,313.9846,174.9969,-9.3400909688086E-02
3.5308059888,14.0959,11.0938,313.9846,174.9969,-7.5757433633788E-02
3.7166378830,12.1029,8.5410,313.9846,174.9969,-6.2345320310015E-02
3.9024697771,10.0922,5.8142,313.9846,174.9969,-5.2427389380254E-02
4.0883016713,8.0864,3.6160,313.9846,174.9969,-4.5308218074223E-02
4.2741335654,6.1226,2.1559,313.9846,174.9972,-4.0491222408804E-02
4.4599654596,4.3301,1.2794,313.9846,175.2704,-3.7410570648533E-02
4.6457973537,2.8863,0.7716,314.1285,187.4396,-3.5976893083450E-02
4.8316292479,1.8579,0.4775,324.3612,247.5015,-3.7665155374727E-02
5.0174611420,1.1836,0.3043,340.0878,297.5176,-4.1521184396106E-02
5.2032930362,0.7589,0.1995,1402.6331,316.7177,-6.8023694999282E-02
5.3891249303,0.4947,0.1346,1519.8970,324.1072,-6.9544864439006E-02
5.5749568245,0.3292,0.0931,1522.2491,327.4615,-6.5785760476380E-02
5.7607887186,0.2241,0.0660,1522.4220,329.1948,-6.0462039100006E-02
5.9466206128,0.1559,0.0478,1522.4511,330.1924,-5.4454371386567E-02
6.1324525069,0.1108,0.0354,1522.4592,330.8025,-4.8347056361574E-02
6.3182844011,0.0803,0.0266,1522.4622,331.2003,-4.2550576297797E-02
6.5041162952,0.0593,0.0203,1522.4637,331.4715,-3.7288482515433E-02
6.6899481894,0.0445,0.0158,1522.4645,331.6616,-3.2620908104899E-02
6.8757800835,0.0340,0.0125,1522.4649,331.7957,-2.8519343778505E-02
7.0616119777,0.0264,0.0100,1522.4652,331.8945,-2.4918569856542E-02
7.2474438718,0.0208,0.0081,1522.4654,331.9679,-2.1746064983307E-02
7.4332757660,0.0166,0.0066,1522.4655,332.0239,-1.8950934244636E-02
7.6191076601,0.0133,0.0054,1522.4656,332.0690,-1.6489289600510E-02
7.8049395543,0.0108,0.0045,1522.4657,332.1027,-1.4330985183128E-02
7.9907714484,0.0088,0.0038,1522.4658,332.1308,-1.2448877426828E-02
8.1766033426,0.0073,0.0032,1522.4658,332.1521,-1.0816324674851E-02
8.3624352367,0.0062,0.0028,1522.4658,332.1693,-9.4055167455915E-03
8.5482671309,0.0052,0.0024,1522.4659,332.1833,-8.1872688021523E-03
8.7340990250,0.0044,0.0020,1522.4659,332.1972,-7.1406402528811E-03
8.9199309192,0.0038,0.0018,1522.4659,332.2070,-6.2407125618674E-03
9.1057628133,0.0032,0.0015,1522.4659,332.2159,-5.4646366641324E-03
