cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.1993318936,34.3797,16.9147,524.9195,174.9969,-2.7038675357713E-01
3.4126206865,27.5385,15.7660,524.9195,174.9969,-2.2398842788656E-01
3.6259094794,22.3854,14.1950,524.9195,174.9969,-1.8716099318038E-01
3.8391982723,19.1719,11.8075,524.9195,174.9969,-1.5609198818749E-01
4.0524870652,17.1949,9.0281,524.9195,174.9969,-1.2847379744484E-01
4.2657758581,15.5623,6.5818,524.9195,174.9969,-1.0480596512402E-01
4.4790646510,13.6073,4.6822,524.9195,174.9969,-8.6279110322490E-02
4.6923534440,11.0708,3.2078,524.9195,174.9969,-7.3088709311943E-02
4.9056422369,8.2229,2.0909,524.9195,174.9974,-6.4515304214281E-02
5.1189310298,5.6187,1.3123,524.9195,175.2095,-5.9475726084761E-02
5.3322198227,3.6317,0.8127,524.9195,184.2586,-5.7279539126396E-02
5.5455086156,2.2911,0.5068,524.9195,238.5563,-5.9136812862146E-02
5.7587974085,1.4444,0.3221,1508.9174,293.2688,-8.5644933796769E-02
5.9720862014,0.9225,0.2097,2851.6525,315.2788,-1.1586893411507E-01
6.1853749943,0.6011,0.1401,2851.6677,323.5865,-1.1695035959526E-01
6.3986637872,0.4006,0.0961,2851.6677,327.2503,-1.1038361531304E-01
6.6119525801,0.2732,0.0674,2851.6677,329.1138,-1.0029596580284E-01
6.8252413730,0.1906,0.0485,2851.6677,330.1571,-8.9059371124257E-02
7.0385301659,0.1358,0.0355,2851.6677,330.7937,-7.8117350322259E-02
7.2518189588,0.0988,0.0266,2851.6677,331.2006,-6.8180818488741E-02
7.4651077517,0.0732,0.0203,2851.6677,331.4734,-5.9443482595759E-02
7.6783965447,0.0550,0.0156,2851.6677,331.6670,-5.1826982047978E-02
7.8916853376,0.0422,0.0123,2851.6677,331.8015,-4.5169302568404E-02
8.1049741305,0.0326,0.0098,2851.6677,331.9013,-3.9315665460153E-02
8.3182629234,0.0256,0.0079,2851.6677,331.9758,-3.4153131841811E-02
8.5315517163,0.0204,0.0064,2851.6677,332.0310,-2.9611769229065E-02
8.7448405092,0.0165,0.0053,2851.6677,332.0735,-2.5635018949789E-02
8.9581293021,0.0134,0.0044,2851.6677,332.1081,-2.2176218088585E-02
9.1714180950,0.0110,0.0037,2851.6677,332.1358,-1.9181113081341E-02
9.3847068879,0.0091,0.0031,2851.6677,332.1565,-1.6606647986920E-02
9.5979956808,0.0077,0.0027,2851.6677,332.1732,-1.4396711628999E-02
9.8112844737,0.0064,0.0023,2851.6677,332.1871,-1.2503957982090E-02
10.0245732666,0.0055,0.0020,2851.6677,332.1983,-1.0881351411097E-02
10.2378620595,0.0046,0.0017,2851.6677,332.2097,-9.4918697129462E-03
10.4511508524,0.0040,0.0015,2851.6677,332.2173,-8.2990513920507E-03
