cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.1211777500,18.5299,15.4953,321.5890,174.9969,-1.1622107599227E+00
2.2625896000,15.8700,13.2417,321.5890,174.9969,-9.7433537253570E-01
2.4040014500,14.1753,11.7799,321.5890,174.9969,-8.1127052328030E-01
2.5454133000,12.9537,10.5874,321.5890,174.9969,-6.6920874299532E-01
2.6868251500,11.8954,9.2871,321.5890,174.9969,-5.5176098601252E-01
2.8282370000,10.6908,7.7963,321.5890,174.9969,-4.5844480670750E-01
2.9696488500,9.1568,6.2166,321.5890,174.9969,-3.8521668834533E-01
3.1110607000,7.3196,4.6781,321.5890,174.9969,-3.2859621909747E-01
3.2524725500,5.4014,3.3004,321.5890,174.9969,-2.8694498810535E-01
3.3938844000,3.7016,2.1938,321.5890,174.9971,-2.5384061324254E-01
3.5352962500,2.4079,1.4017,302.0128,175.1041,-2.3097910223966E-01
3.6767081000,1.5274,0.8823,302.0781,180.5534,-2.6198547190866E-01
3.8181199500,0.9660,0.5577,546.8004,224.0866,-5.4648304222240E-01
3.9595318000,0.6180,0.3582,1342.8371,283.7871,-7.3494044915865E-01
4.1009436500,0.4029,0.2350,1361.0869,311.3127,-7.1213139770438E-01
4.2423555000,0.2685,0.1578,1361.8021,321.7918,-6.6749793443787E-01
4.3837673500,0.1831,0.1086,1361.8852,326.3139,-6.1115621126198E-01
4.5251792000,0.1276,0.0764,1361.9037,328.5682,-5.4901614987814E-01
4.6665910500,0.0909,0.0549,1361.9099,329.8176,-4.8661066549654E-01
4.8080029000,0.0660,0.0402,1361.9125,330.5692,-4.2797766552449E-01
4.9494147500,0.0488,0.0300,1361.9138,331.0475,-3.7513048519827E-01
5.0908266000,0.0368,0.0228,1361.9146,331.3664,-3.2846395752394E-01
5.2322384500,0.0281,0.0176,1361.9151,331.5871,-2.8748750353542E-01
5.3736503000,0.0218,0.0138,1361.9154,331.7437,-2.5143092935621E-01
5.5150621500,0.0172,0.0109,1361.9156,331.8567,-2.1959812641564E-01
5.6564740000,0.0137,0.0088,1361.9157,331.9407,-1.9146567928248E-01
5.7978858500,0.0110,0.0071,1361.9158,332.0043,-1.6665410266661E-01
5.9392977000,0.0090,0.0059,1361.9159,332.0529,-1.4487806933514E-01
6.0807095500,0.0074,0.0049,1361.9160,332.0911,-1.2586383075398E-01
6.2221214000,0.0061,0.0040,1361.9160,332.1219,-1.0934954379725E-01
6.3635332500,0.0051,0.0034,1361.9160,332.1461,-9.5067621338158E-02
6.5049451000,0.0043,0.0029,1361.9161,332.1654,-8.2754224618796E-02
6.6463569500,0.0036,0.0025,1361.9161,332.1810,-7.2152819765018E-02
6.7877688000,0.0031,0.0021,1361.9161,332.1936,-6.3031467543719E-02
6.9291806500,0.0027,0.0018,1361.9161,332.2041,-5.5181871387609E-02
