cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.1652246729,15.3972,12.1941,389.6069,174.9969,-1.0813602925970E-01
3.3762396511,13.4007,11.2739,389.6069,174.9969,-8.7492139492332E-02
3.5872546292,11.7579,9.6857,389.6069,174.9969,-7.1361906995365E-02
3.7982696074,10.0919,7.3226,389.6069,174.9969,-5.8556796710660E-02
4.0092845856,8.2786,4.8089,389.6069,174.9969,-4.9472022155321E-02
4.2202995638,6.3524,2.8500,389.6069,174.9969,-4.3968447812848E-02
4.4313145420,4.4720,1.6135,389.6069,175.0181,-4.0909172151755E-02
4.6423295202,2.9008,0.9123,391.6532,179.4424,-4.0026289714827E-02
4.8533444984,1.7842,0.5276,500.4913,232.4166,-4.9245155614462E-02
5.0643594766,1.0769,0.3153,760.0423,294.9128,-6.2506088733840E-02
5.2753744548,0.6542,0.1953,780.5794,317.2860,-5.8210868646020E-02
5.4863894330,0.4054,0.1251,786.6021,324.9540,-5.2649339232468E-02
5.6974044112,0.2580,0.0828,789.6529,328.1560,-4.7547873688389E-02
5.9084193894,0.1687,0.0564,790.7716,329.7360,-4.2983134327559E-02
6.1194343675,0.1134,0.0395,791.2286,330.6054,-3.8608493965463E-02
6.3304493457,0.0783,0.0284,791.4468,331.1233,-3.4195328535069E-02
6.5414643239,0.0553,0.0208,791.5645,331.4522,-2.9803177426177E-02
6.7524793021,0.0400,0.0156,791.6338,331.6700,-2.5645382061938E-02
6.9634942803,0.0295,0.0118,791.6773,331.8199,-2.1910921011346E-02
7.1745092585,0.0222,0.0092,791.7056,331.9240,-1.8682762566360E-02
7.3855242367,0.0170,0.0073,791.7250,331.9994,-1.5945533511629E-02
7.5965392149,0.0131,0.0058,791.7388,332.0562,-1.3636620515534E-02
7.8075541931,0.0103,0.0046,791.7489,332.1001,-1.1681407860885E-02
8.0185691713,0.0082,0.0038,791.7561,332.1314,-1.0015879004879E-02
8.2295841495,0.0066,0.0031,791.7616,332.1565,-8.5922902815485E-03
8.4405991276,0.0054,0.0026,791.7657,332.1754,-7.3751660389047E-03
8.6516141058,0.0044,0.0022,791.7689,332.1912,-6.3334015924646E-03
8.8626290840,0.0037,0.0019,791.7713,332.2032,-5.4447351787202E-03
9.0736440622,0.0031,0.0016,791.7733,332.2129,-4.6878239204144E-03
9.2846590404,0.0026,0.0013,791.7750,332.2223,-4.0442391752190E-03
9.4956740186,0.0022,0.0012,791.7763,332.2287,-3.4952508997718E-03
9.7066889968,0.0019,0.0010,791.7773,332.2341,-3.0295300274468E-03
9.9177039750,0.0016,0.0009,791.7782,332.2393,-2.6321457378253E-03
10.1287189532,0.0014,0.0008,791.7789,332.2430,-2.2932941909204E-03
10.3397339314,0.0012,0.0007,791.7795,332.2461,-2.0040715484295E-03
