cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.2333779027,34.2788,16.7572,734.6795,174.9969,-2.8959819558979E-01
3.4489364295,27.5392,15.5642,734.6795,174.9969,-2.3907512253886E-01
3.6644949564,22.4268,13.8381,734.6795,174.9969,-1.9968064952230E-01
3.8800534832,19.1982,11.3044,734.6795,174.9969,-1.6559937366932E-01
4.0956120101,17.1870,8.5342,734.6795,174.9969,-1.3531562330166E-01
4.3111705369,15.5091,6.2121,734.6795,174.9969,-1.1049556690566E-01
4.5267290637,13.4979,4.4341,734.6795,174.9969,-9.1978682183242E-02
4.7422875906,10.9135,3.0434,734.6795,174.9969,-7.9343747227582E-02
4.9578461174,8.0506,1.9826,734.6795,174.9982,-7.1630180620068E-02
5.1734046443,5.4693,1.2432,734.6233,175.3577,-6.7616671484493E-02
5.3889631711,3.5215,0.7694,652.7938,187.6383,-6.4437529955776E-02
5.6045216980,2.2172,0.4797,674.8496,246.8262,-6.8235687749055E-02
5.8200802248,1.3969,0.3050,2362.8480,297.3663,-1.1237231930712E-01
6.0356387517,0.8923,0.1986,2377.5697,316.8365,-1.2196068583671E-01
6.2511972785,0.5816,0.1328,2478.9426,324.2742,-1.2036649840399E-01
6.4667558053,0.3881,0.0911,2610.8075,327.5966,-1.1243043997541E-01
6.6823143322,0.2649,0.0640,2672.3475,329.3117,-1.0100256892579E-01
6.8978728590,0.1850,0.0460,2696.0844,330.2813,-8.8920174848750E-02
7.1134313859,0.1319,0.0338,2706.3919,330.8751,-7.7594127609445E-02
7.3289899127,0.0961,0.0253,2711.5264,331.2569,-6.7491460660315E-02
7.5445484396,0.0711,0.0192,2714.4054,331.5185,-5.8638366354132E-02
7.7601069664,0.0536,0.0149,2716.1314,331.6967,-5.0899403656717E-02
7.9756654933,0.0410,0.0117,2717.2542,331.8256,-4.4123823477023E-02
8.1912240201,0.0318,0.0093,2718.0051,331.9201,-3.8185997757929E-02
8.4067825469,0.0250,0.0075,2718.5240,331.9893,-3.2989675036761E-02
8.6223410738,0.0200,0.0062,2718.8968,332.0417,-2.8464434464248E-02
8.8378996006,0.0161,0.0051,2719.1713,332.0821,-2.4541954498270E-02
9.0534581275,0.0131,0.0042,2719.3864,332.1168,-2.1160621419313E-02
9.2690166543,0.0108,0.0035,2719.5431,332.1415,-1.8260088652134E-02
9.4845751812,0.0089,0.0030,2719.6645,332.1613,-1.5781154322531E-02
9.7001337080,0.0075,0.0026,2719.7599,332.1772,-1.3662802130113E-02
9.9156922349,0.0063,0.0022,2719.8383,332.1905,-1.1852783543026E-02
10.1312507617,0.0053,0.0019,2719.9044,332.2019,-1.0309362906610E-02
10.3468092886,0.0045,0.0016,2719.9558,332.2121,-8.9896382032675E-03
10.5623678154,0.0039,0.0014,2719.9956,332.2194,-7.8565549956495E-03
