cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.9542248275,26.8238,14.2135,451.0845,174.9969,-4.5804938546222E-01
4.2178398160,21.4583,12.9651,451.0845,174.9969,-3.8478409564659E-01
4.4814548045,18.5232,12.2572,451.0845,174.9969,-3.2405631564766E-01
4.7450697930,16.8341,11.5375,451.0845,174.9969,-2.6629806539402E-01
5.0086847815,15.3879,10.3825,451.0845,174.9969,-2.1361272046600E-01
5.2722997700,13.5504,8.5661,451.0845,174.9969,-1.7130719597987E-01
5.5359147585,11.1657,6.3125,451.0845,174.9969,-1.4071776016747E-01
5.7995297470,8.5774,4.1903,451.0845,174.9969,-1.2028891022653E-01
6.0631447355,6.2290,2.5994,451.0845,174.9969,-1.0810510928403E-01
6.3267597240,4.3243,1.5695,451.0846,175.0266,-1.0244124826701E-01
6.5903747125,2.8878,0.9497,461.3611,178.3553,-1.0320176951299E-01
6.8539897010,1.8760,0.5850,1117.7183,217.1525,-1.6759757809329E-01
7.1176046895,1.2054,0.3695,1153.9568,280.6102,-1.9428990031303E-01
7.3812196780,0.7775,0.2399,2278.4766,310.4904,-2.6863315972036E-01
7.6448346665,0.5085,0.1599,2364.3721,321.5673,-2.5739965246273E-01
7.9084496550,0.3392,0.1094,2365.7788,326.2475,-2.3289013148956E-01
8.1720646435,0.2310,0.0768,2365.8708,328.5443,-2.0594209673694E-01
8.4356796320,0.1608,0.0550,2365.8851,329.8118,-1.8010797190929E-01
8.6992946205,0.1143,0.0403,2365.8889,330.5667,-1.5689164935552E-01
8.9629096090,0.0829,0.0300,2365.8903,331.0480,-1.3653401729969E-01
9.2265245975,0.0612,0.0228,2365.8909,331.3685,-1.1872096497200E-01
9.4901395860,0.0460,0.0175,2365.8912,331.5889,-1.0306041304292E-01
9.7537545745,0.0352,0.0137,2365.8914,331.7448,-8.9245832437472E-02
10.0173695630,0.0273,0.0109,2365.8915,331.8587,-7.7079440147031E-02
10.2809845515,0.0214,0.0087,2365.8916,331.9423,-6.6421874569580E-02
10.5445995400,0.0170,0.0071,2365.8917,332.0065,-5.7157841120121E-02
10.8082145285,0.0137,0.0058,2365.8917,332.0549,-4.9163235938832E-02
11.0718295170,0.0112,0.0048,2365.8918,332.0929,-4.2304120891120E-02
11.3354445055,0.0091,0.0040,2365.8918,332.1229,-3.6442919025138E-02
11.5990594940,0.0076,0.0034,2365.8918,332.1462,-3.1450235322617E-02
11.8626744825,0.0063,0.0029,2365.8918,332.1655,-2.7199655077715E-02
12.1262894710,0.0053,0.0024,2365.8918,332.1814,-2.3577241356562E-02
12.3899044595,0.0045,0.0021,2365.8918,332.1940,-2.0493178127199E-02
12.6535194480,0.0039,0.0018,2365.8918,332.2046,-1.7857686299782E-02
12.9171344365,0.0033,0.0016,2365.8918,332.2134,-1.5607035186462E-02
