cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.4228559700,25.8790,13.3554,487.0753,174.9969,-1.5083355114100E-01
3.6510463680,21.2060,12.5636,487.0753,174.9969,-1.2542332297201E-01
3.8792367660,18.0358,12.0543,487.0753,174.9969,-1.0265333764963E-01
4.1074271640,15.5519,11.3941,487.0753,174.9969,-8.2987816817008E-02
4.3356175620,13.5377,10.2129,487.0753,174.9969,-6.7555807494623E-02
4.5638079600,11.8664,8.3229,487.0753,174.9969,-5.6221291865611E-02
4.7919983580,10.3862,6.0178,487.0753,174.9969,-4.7781841255479E-02
5.0201887560,9.0229,3.9176,487.0753,174.9969,-4.1475589465583E-02
5.2483791540,7.6765,2.3962,487.0753,174.9970,-3.7213565197061E-02
5.4765695520,6.2403,1.4360,487.0753,175.0794,-3.4787701696327E-02
5.7047599500,4.7477,0.8665,487.0753,181.2411,-3.3798715296672E-02
5.9329503480,3.3758,0.5338,487.0753,230.6621,-3.4737549668677E-02
6.1611407460,2.2830,0.3377,487.0753,289.2907,-3.5214617028524E-02
6.3893311440,1.5037,0.2195,643.9475,313.7981,-4.1978129948085E-02
6.6175215420,0.9845,0.1468,2389.9971,322.9387,-1.1561169958518E-01
6.8457119400,0.6492,0.1006,2390.1226,326.9178,-1.0586543894043E-01
7.0739023380,0.4345,0.0707,2390.1227,328.9145,-9.4315242465748E-02
7.3020927360,0.2960,0.0508,2390.1227,330.0345,-8.2388394252606E-02
7.5302831340,0.2055,0.0372,2390.1227,330.7165,-7.1165076533600E-02
7.7584735320,0.1456,0.0278,2390.1227,331.1489,-6.1196117291080E-02
7.9866639300,0.1051,0.0211,2390.1227,331.4386,-5.2583375807870E-02
8.2148543280,0.0773,0.0163,2390.1227,331.6389,-4.5205006973789E-02
8.4430447260,0.0578,0.0128,2390.1227,331.7815,-3.8876495142659E-02
8.6712351240,0.0436,0.0100,2390.1227,331.8914,-3.3412606132129E-02
8.8994255220,0.0336,0.0081,2390.1227,331.9681,-2.8702459430207E-02
9.1276159200,0.0262,0.0066,2390.1227,332.0261,-2.4636802271768E-02
9.3558063180,0.0207,0.0054,2390.1227,332.0710,-2.1147892738685E-02
9.5839967160,0.0166,0.0045,2390.1227,332.1056,-1.8157384039548E-02
9.8121871140,0.0134,0.0037,2390.1227,332.1328,-1.5608166716766E-02
10.0403775120,0.0109,0.0032,2390.1227,332.1544,-1.3442278861912E-02
10.2685679100,0.0089,0.0026,2390.1227,332.1747,-1.1599441034212E-02
10.4967583080,0.0074,0.0022,2390.1227,332.1887,-1.0030029104536E-02
10.7249487060,0.0062,0.0019,2390.1227,332.2001,-8.6970756238061E-03
10.9531391040,0.0052,0.0017,2390.1227,332.2095,-7.5602280761191E-03
11.1813295020,0.0045,0.0015,2390.1227,332.2174,-6.5929377395917E-03
