cell_length,CN_C,CN_A,C6_C,C6_A,Edis
1.9378692000,17.6747,16.6168,153.4528,174.9969,-1.3185872505767E-01
2.0670604800,14.9706,14.3613,153.4528,174.9969,-1.1151310912819E-01
2.1962517600,13.3974,12.9725,153.4528,174.9969,-9.3211559150947E-02
2.3254430400,12.4204,11.9086,153.4528,174.9969,-7.6214460573368E-02
2.4546343200,11.4906,10.6018,153.4528,174.9969,-6.2477789270543E-02
2.5838256000,10.1798,8.7214,153.4528,174.9969,-5.1952143815484E-02
2.7130168800,8.3188,6.4312,153.4528,174.9969,-4.3494026191286E-02
2.8422081600,6.1506,4.2767,153.4528,174.9969,-3.6697274200424E-02
2.9713994400,4.1520,2.6576,153.4528,174.9969,-3.1730844892519E-02
3.1005907200,2.6382,1.6070,153.4528,175.0192,-2.8626427441387E-02
3.2297820000,1.6329,0.9735,153.4576,177.8043,-2.7352442258721E-02
3.3589732800,1.0104,0.6004,208.5394,213.5354,-3.3567424230782E-02
3.4881645600,0.6345,0.3797,339.2741,277.6594,-4.7025566659239E-02
3.6173558400,0.4074,0.2469,340.4845,309.2642,-4.9192120498868E-02
3.7465471200,0.2680,0.1648,340.5171,321.0262,-4.7683146557125E-02
3.8757384000,0.1808,0.1130,340.5202,325.9676,-4.4067363248366E-02
4.0049296800,0.1250,0.0794,340.5208,328.3787,-3.9491642992968E-02
4.1341209600,0.0884,0.0570,340.5210,329.7033,-3.4832111101846E-02
4.2633122400,0.0639,0.0418,340.5211,330.4906,-3.0570356238274E-02
4.3925035200,0.0471,0.0313,340.5212,330.9895,-2.6845891141793E-02
4.5216948000,0.0352,0.0237,340.5212,331.3260,-2.3610522236744E-02
4.6508860800,0.0269,0.0183,340.5212,331.5555,-2.0757730134592E-02
4.7800773600,0.0208,0.0144,340.5212,331.7172,-1.8204740824045E-02
4.9092686400,0.0163,0.0114,340.5212,331.8359,-1.5905009280304E-02
5.0384599200,0.0130,0.0092,340.5212,331.9245,-1.3842322978782E-02
5.1676512000,0.0105,0.0075,340.5212,331.9901,-1.2009251043798E-02
5.2968424800,0.0085,0.0062,340.5212,332.0413,-1.0396834484622E-02
5.4260337600,0.0070,0.0051,340.5212,332.0817,-8.9937980412182E-03
5.5552250400,0.0058,0.0043,340.5212,332.1124,-7.7805011292540E-03
5.6844163200,0.0049,0.0036,340.5212,332.1372,-6.7386496125432E-03
5.8136076000,0.0041,0.0031,340.5212,332.1569,-5.8446624928806E-03
5.9427988800,0.0035,0.0027,340.5212,332.1729,-5.0800019603120E-03
6.0719901600,0.0029,0.0022,340.5212,332.1890,-4.4251312668156E-03
6.2011814400,0.0025,0.0020,340.5212,332.1997,-3.8635585746235E-03
6.3303727200,0.0022,0.0017,340.5212,332.2086,-3.3823865265257E-03
