cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.1036620000,23.0227,13.4341,458.6896,174.9969,-1.6629873834593E-01
3.3105728000,19.6213,11.5806,458.6896,174.9969,-1.3933602442110E-01
3.5174836000,17.5635,10.3891,458.6896,174.9969,-1.1607085577808E-01
3.7243944000,15.9683,9.5639,458.6896,174.9969,-9.5160078748558E-02
3.9313052000,14.4249,8.8372,458.6896,174.9969,-7.7254370236932E-02
4.1382160000,12.7118,7.9246,458.6896,174.9969,-6.3073613748100E-02
4.3451268000,10.6357,6.6666,458.6896,174.9969,-5.2633580511437E-02
4.5520376000,8.2157,5.1466,458.6896,174.9969,-4.5265715351582E-02
4.7589484000,5.8072,3.6374,458.6896,174.9969,-4.0175854364083E-02
4.9658592000,3.8210,2.3965,458.6897,174.9970,-3.6838460409796E-02
5.1727700000,2.4136,1.5160,568.6399,175.0416,-3.9820365285160E-02
5.3796808000,1.5065,0.9471,568.8788,178.4220,-3.9135949364643E-02
5.5865916000,0.9472,0.5957,1193.5099,214.6344,-6.5729163982033E-02
5.7935024000,0.6062,0.3812,1816.5654,277.2319,-9.2129359776130E-02
6.0004132000,0.3968,0.2495,1822.4766,308.8021,-9.0194528948985E-02
6.2073240000,0.2660,0.1672,1822.6862,320.7641,-8.3472594816052E-02
6.4142348000,0.1825,0.1147,1822.7093,325.8278,-7.4707915607944E-02
6.6211456000,0.1281,0.0805,1822.7143,328.3059,-6.5607790989882E-02
6.8280564000,0.0919,0.0577,1822.7159,329.6625,-5.7141374806013E-02
7.0349672000,0.0672,0.0422,1822.7166,330.4710,-4.9677633986388E-02
7.2418780000,0.0500,0.0314,1822.7170,330.9838,-4.3215118294279E-02
7.4487888000,0.0379,0.0238,1822.7172,331.3224,-3.7607307988112E-02
7.6556996000,0.0292,0.0183,1822.7173,331.5560,-3.2698763242594E-02
7.8626104000,0.0227,0.0143,1822.7174,331.7215,-2.8375154871498E-02
8.0695212000,0.0179,0.0113,1822.7174,331.8420,-2.4566645718569E-02
8.2764320000,0.0143,0.0090,1822.7175,331.9302,-2.1227677732664E-02
8.4833428000,0.0116,0.0073,1822.7175,331.9964,-1.8319762989860E-02
8.6902536000,0.0095,0.0060,1822.7175,332.0474,-1.5804744385701E-02
8.8971644000,0.0078,0.0050,1822.7175,332.0868,-1.3640889533325E-02
9.1040752000,0.0065,0.0041,1822.7175,332.1184,-1.1788633826564E-02
9.3109860000,0.0055,0.0035,1822.7175,332.1430,-1.0204686222186E-02
9.5178968000,0.0046,0.0029,1822.7175,332.1631,-8.8526432348042E-03
9.7248076000,0.0039,0.0025,1822.7175,332.1795,-7.6973626487710E-03
9.9317184000,0.0033,0.0021,1822.7176,332.1924,-6.7102360602400E-03
10.1386292000,0.0029,0.0018,1822.7176,332.2035,-5.8634925919238E-03
