Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Composition
Tb,K6 Tb2,8,6.0,2.0,0.03469812310572405,0.0043372653882155065,0.005783020517620675,0.017349061552862026,K6 Tb2
S,K4 S2,6,4.0,2.0,0.04688193304707416,0.007813655507845694,0.01172048326176854,0.02344096652353708,K4 S2
In,K1 In3,4,1.0,3.0,0.02028003452083585,0.005070008630208962,0.02028003452083585,0.006760011506945283,K1 In3
Rb,K1 Rb3,4,1.0,3.0,0.008431111925318749,0.002107777981329687,0.008431111925318749,0.002810370641772916,K1 Rb3
Pb,K16 Pb36,52,16.0,36.0,0.2895730602935265,0.005568712697952432,0.018098316268345405,0.008043696119264624,K16 Pb36
Rh,K3 Rh1,4,3.0,1.0,0.0048126607990387,0.001203165199759675,0.0016042202663462332,0.0048126607990387,K3 Rh1
N,K2 N4,6,2.0,4.0,0.018838904664084152,0.0031398174440140252,0.009419452332042076,0.004709726166021038,K2 N4
Nd,K3 Nd1,4,3.0,1.0,0.011653036605843853,0.002913259151460963,0.003884345535281284,0.011653036605843853,K3 Nd1
Pm,K1 Pm1,2,1.0,1.0,0.01638984862035115,0.008194924310175575,0.01638984862035115,0.01638984862035115,K1 Pm1
Hg,K3 Hg11,14,3.0,11.0,0.053081323005637504,0.0037915230718312504,0.017693774335212503,0.004825574818694319,K3 Hg11
Os,K3 Os1,4,3.0,1.0,0.007797443248933653,0.0019493608122334131,0.002599147749644551,0.007797443248933653,K3 Os1
Li,K3 Li1,4,3.0,1.0,0.0084663405106955,0.002116585127673875,0.002822113503565167,0.0084663405106955,K3 Li1
Eu,K1 Eu3,4,1.0,3.0,0.06281103271393434,0.015702758178483586,0.06281103271393434,0.02093701090464478,K1 Eu3
Cs,Cs1 K3,4,3.0,3.0,0.05013318504476785,0.012533296261191963,0.016711061681589284,0.016711061681589284,Cs1 K3
Rh,K6 Rh2,8,6.0,2.0,0.013587669050879499,0.0016984586313599373,0.0022646115084799163,0.006793834525439749,K6 Rh2
Sm,K3 Sm1,4,3.0,1.0,0.012572770160832348,0.003143192540208087,0.004190923386944116,0.012572770160832348,K3 Sm1
Lu,K1 Lu1,2,1.0,1.0,0.010215789267146651,0.005107894633573326,0.010215789267146651,0.010215789267146651,K1 Lu1
Tb,K3 Tb1,4,3.0,1.0,0.011139896109442146,0.0027849740273605365,0.003713298703147382,0.011139896109442146,K3 Tb1
Ge,K1 Ge1,2,1.0,1.0,0.0033824169049060503,0.0016912084524530252,0.0033824169049060503,0.0033824169049060503,K1 Ge1
Ir,K6 Ir2,8,6.0,2.0,0.011562177535135998,0.0014452721918919997,0.001927029589189333,0.005781088767567999,K6 Ir2
Dy,K3 Dy1,4,3.0,1.0,0.012531727997321052,0.003132931999330263,0.004177242665773684,0.012531727997321052,K3 Dy1
Ga,K3 Ga1,4,3.0,1.0,0.011349042730495348,0.002837260682623837,0.0037830142434984496,0.011349042730495348,K3 Ga1
Tl,K3 Tl1,4,3.0,1.0,0.0097551886609371,0.002438797165234275,0.0032517295536457,0.0097551886609371,K3 Tl1
Ca,K1 Ca3,4,1.0,3.0,0.03531114257715355,0.008827785644288388,0.03531114257715355,0.011770380859051183,K1 Ca3
Ta,K3 Ta1,4,3.0,1.0,0.00943931592590305,0.0023598289814757627,0.0031464386419676835,0.00943931592590305,K3 Ta1
As,K4 As4,8,4.0,4.0,0.04371673279607946,0.0054645915995099326,0.010929183199019865,0.010929183199019865,K4 As4
Pu,K6 Pu6,12,6.0,6.0,0.04021681842326599,0.003351401535272166,0.006702803070544332,0.006702803070544332,K6 Pu6
Bi,K6 Bi2,8,6.0,2.0,0.07571741137930255,0.009464676422412818,0.01261956856321709,0.03785870568965127,K6 Bi2
Sb,K5 Sb4,9,5.0,4.0,0.05997954102652905,0.006664393447392117,0.01199590820530581,0.014994885256632262,K5 Sb4
C,K2 C4,6,2.0,4.0,0.0073585421851361,0.0012264236975226834,0.00367927109256805,0.001839635546284025,K2 C4
I,K1 I1,2,1.0,1.0,0.00782733662965486,0.00391366831482743,0.00782733662965486,0.00782733662965486,K1 I1
Rh,K3 Rh1,4,3.0,1.0,0.0049569021025947495,0.0012392255256486874,0.0016523007008649164,0.0049569021025947495,K3 Rh1
Tm,K3 Tm1,4,3.0,1.0,0.012253224832657101,0.0030633062081642753,0.004084408277552367,0.012253224832657101,K3 Tm1
S,K1 S1,2,1.0,1.0,0.012845862741416676,0.006422931370708338,0.012845862741416676,0.012845862741416676,K1 S1
Y,K3 Y1,4,3.0,1.0,0.0125597939607833,0.003139948490195825,0.004186597986927766,0.0125597939607833,K3 Y1
Ba,K3 Ba1,4,3.0,1.0,0.06220078599328465,0.015550196498321163,0.020733595331094885,0.06220078599328465,K3 Ba1
S,K1 S1,2,1.0,1.0,0.010171659666857652,0.005085829833428826,0.010171659666857652,0.010171659666857652,K1 S1
Yb,K1 Yb3,4,1.0,3.0,0.041384511601085305,0.010346127900271326,0.041384511601085305,0.013794837200361768,K1 Yb3
Cl,K1 Cl3,4,1.0,3.0,0.007447563084872156,0.001861890771218039,0.007447563084872156,0.002482521028290719,K1 Cl3
Sr,K1 Sr3,4,1.0,3.0,0.041593852136810605,0.010398463034202651,0.041593852136810605,0.013864617378936869,K1 Sr3
Eu,K6 Eu2,8,6.0,2.0,0.025962647299957252,0.0032453309124946565,0.004327107883326208,0.012981323649978626,K6 Eu2
Tl,K4 Tl8,12,4.0,8.0,0.043168665204845545,0.0035973887670704622,0.010792166301211386,0.005396083150605693,K4 Tl8
Dy,K6 Dy2,8,6.0,2.0,0.020207955613076947,0.0025259944516346183,0.003367992602179491,0.010103977806538473,K6 Dy2
Na,K3 Na1,4,3.0,1.0,0.04749006942786805,0.011872517356967012,0.015830023142622683,0.04749006942786805,K3 Na1
Bi,K3 Bi1,4,3.0,1.0,0.0336915508414419,0.008422887710360476,0.011230516947147301,0.0336915508414419,K3 Bi1
Os,K3 Os1,4,3.0,1.0,0.00784985079496325,0.0019624626987408125,0.002616616931654417,0.00784985079496325,K3 Os1
P,K8 P12,20,8.0,12.0,0.0824520539396615,0.004122602696983075,0.010306506742457687,0.006871004494971792,K8 P12
Mg,K1 Mg3,4,1.0,3.0,0.020409569220121798,0.0051023923050304495,0.020409569220121798,0.006803189740040599,K1 Mg3
Ge,K16 Ge16,32,16.0,16.0,0.0671750456249425,0.0020992201757794532,0.0041984403515589064,0.0041984403515589064,K16 Ge16
Rb,K1 Rb3,4,1.0,3.0,0.0485926185658324,0.0121481546414581,0.0485926185658324,0.016197539521944134,K1 Rb3
Tc,K6 Tc3,9,6.0,3.0,0.030651849834813907,0.003405761092757101,0.005108641639135651,0.010217283278271302,K6 Tc3
Mg,K1 Mg3,4,1.0,3.0,0.018765055329775047,0.004691263832443762,0.018765055329775047,0.006255018443258349,K1 Mg3
O,K1 O2,3,1.0,2.0,0.010262828651064402,0.003420942883688134,0.010262828651064402,0.005131414325532201,K1 O2
Cs,Cs1 K3,4,3.0,3.0,0.0499923791960312,0.0124980947990078,0.01666412639867707,0.01666412639867707,Cs1 K3
Li,K1 Li3,4,1.0,3.0,0.047280884932366804,0.011820221233091701,0.047280884932366804,0.0157602949774556,K1 Li3
C,K2 C2,4,2.0,2.0,0.006314187266372999,0.0015785468165932497,0.0031570936331864995,0.0031570936331864995,K2 C2
Na,K4 Na8,12,4.0,8.0,0.026824820340175103,0.002235401695014592,0.006706205085043776,0.003353102542521888,K4 Na8
N,K2 N4,6,2.0,4.0,0.01697858932569485,0.002829764887615808,0.008489294662847424,0.004244647331423712,K2 N4
Ru,K3 Ru1,4,3.0,1.0,0.010056807060216449,0.0025142017650541123,0.00335226902007215,0.010056807060216449,K3 Ru1
I,K2 I2,4,2.0,2.0,0.017086025650698,0.0042715064126745,0.008543012825349,0.008543012825349,K2 I2
Mg,K1 Mg3,4,1.0,3.0,0.020598723086997003,0.005149680771749251,0.020598723086997003,0.006866241028999001,K1 Mg3
Ag,K2 Ag1,3,2.0,1.0,0.01997259548404955,0.006657531828016517,0.009986297742024775,0.01997259548404955,K2 Ag1
U,K4 U12,16,4.0,12.0,0.033815317871591,0.0021134573669744374,0.00845382946789775,0.0028179431559659167,K4 U12
Mo,K3 Mo1,4,3.0,1.0,0.011075352053826152,0.002768838013456538,0.0036917840179420507,0.011075352053826152,K3 Mo1
Se,K2 Se6,8,2.0,6.0,0.0197324568384027,0.0024665571048003375,0.00986622841920135,0.00328874280640045,K2 Se6
Bi,K6 Bi4,10,6.0,4.0,0.06756196278565504,0.006756196278565505,0.011260327130942507,0.01689049069641376,K6 Bi4
Se,K10 Se6,16,10.0,6.0,0.080256598970535,0.005016037435658437,0.0080256598970535,0.0133760998284225,K10 Se6
Li,K1 Li3,4,1.0,3.0,0.049423402529669494,0.012355850632417373,0.049423402529669494,0.01647446750988983,K1 Li3
Ce,K3 Ce1,4,3.0,1.0,0.012566835532765549,0.003141708883191387,0.004188945177588516,0.012566835532765549,K3 Ce1
Re,K6 Re3,9,6.0,3.0,0.02035924421483155,0.0022621382460923946,0.0033932073691385917,0.0067864147382771835,K6 Re3
Ho,K3 Ho1,4,3.0,1.0,0.010817236219060802,0.0027043090547652004,0.0036057454063536006,0.010817236219060802,K3 Ho1
Cd,K3 Cd1,4,3.0,1.0,0.0389208290765747,0.009730207269143675,0.012973609692191567,0.0389208290765747,K3 Cd1
Mg,K6 Mg2,8,6.0,2.0,0.017687121130953252,0.0022108901413691565,0.002947853521825542,0.008843560565476626,K6 Mg2
Hg,K1 Hg3,4,1.0,3.0,0.012651566170596899,0.0031628915426492247,0.012651566170596899,0.004217188723532299,K1 Hg3
Na,K3 Na1,4,3.0,1.0,0.04878035108712865,0.012195087771782163,0.016260117029042884,0.04878035108712865,K3 Na1
Hg,K1 Hg3,4,1.0,3.0,0.0114148184833005,0.002853704620825125,0.0114148184833005,0.0038049394944335,K1 Hg3
Sn,K4 Sn8,12,4.0,8.0,0.03156211233141745,0.002630176027618121,0.007890528082854363,0.0039452640414271815,K4 Sn8
Cs,Cs1 K1,2,1.0,1.0,0.019311868529775306,0.009655934264887653,0.019311868529775306,0.019311868529775306,Cs1 K1
Nd,K6 Nd2,8,6.0,2.0,0.025219935579535595,0.0031524919474419494,0.004203322596589266,0.012609967789767798,K6 Nd2
Ac,K6 Ac2,8,6.0,2.0,0.10941508287739334,0.013676885359674167,0.018235847146232224,0.05470754143869667,K6 Ac2
I,K4 I4,8,4.0,4.0,0.03323783681060455,0.004154729601325569,0.008309459202651137,0.008309459202651137,K4 I4
Ac,K1 Ac3,4,1.0,3.0,0.043782213482433746,0.010945553370608437,0.043782213482433746,0.014594071160811248,K1 Ac3
Tm,K1 Tm1,2,1.0,1.0,0.013054833486394149,0.0065274167431970745,0.013054833486394149,0.013054833486394149,K1 Tm1
Y,K1 Y1,2,1.0,1.0,0.01572350989507975,0.007861754947539875,0.01572350989507975,0.01572350989507975,K1 Y1
N,K2 N2,4,2.0,2.0,0.006323898639847151,0.0015809746599617877,0.0031619493199235753,0.0031619493199235753,K2 N2
Sr,K1 Sr3,4,1.0,3.0,0.040807331530816296,0.010201832882704074,0.040807331530816296,0.013602443843605433,K1 Sr3
Lu,K3 Lu1,4,3.0,1.0,0.01009665054764505,0.0025241626369112624,0.00336555018254835,0.01009665054764505,K3 Lu1
O,K4 O2,6,4.0,2.0,0.04650274234816901,0.007750457058028168,0.011625685587042252,0.023251371174084504,K4 O2
La,K1 La3,4,1.0,3.0,0.07460797318478865,0.018651993296197163,0.07460797318478865,0.02486932439492955,K1 La3
Yb,K3 Yb1,4,3.0,1.0,0.009737288067479848,0.002434322016869962,0.0032457626891599493,0.009737288067479848,K3 Yb1
Hg,K7 Hg31,38,7.0,31.0,0.1115839196947635,0.0029364189393358817,0.015940559956394786,0.003599481280476242,K7 Hg31
C,K1 C2,3,1.0,2.0,0.003916176581466851,0.0013053921938222836,0.003916176581466851,0.0019580882907334254,K1 C2
Ba,K1 Ba3,4,1.0,3.0,0.047512818064077394,0.011878204516019349,0.047512818064077394,0.01583760602135913,K1 Ba3
N,K1 N1,2,1.0,1.0,0.0038181895965867987,0.0019090947982933993,0.0038181895965867987,0.0038181895965867987,K1 N1
Mn,K3 Mn1,4,3.0,1.0,0.012709985219129648,0.003177496304782412,0.004236661739709883,0.012709985219129648,K3 Mn1
Br,K1 Br1,2,1.0,1.0,0.011616728712146446,0.005808364356073223,0.011616728712146446,0.011616728712146446,K1 Br1
As,K5 As4,9,5.0,4.0,0.05738233172077145,0.006375814635641273,0.01147646634415429,0.014345582930192863,K5 As4
Sb,K3 Sb1,4,3.0,1.0,0.0380519760902644,0.0095129940225661,0.012683992030088133,0.0380519760902644,K3 Sb1
