Symbol_x,Structure,Total Sites_x,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Composition,Symbol_y,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,Result_1,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites_y,Reduced Formula,Anion Site,Structure_SG
C,K4 C1,5,4.0,1.0,0.0385837666831778,0.0077167533366355,0.0096459416707944,0.0385837666831778,K4 C1,C,12.011,170.0,2.55,11.26,1.263,11.3,7.716753336635561,9.645941670794452,0.8,0.2,0.0385837666831778,0.000167036953305,0.1670369533050281,I4/mmm,139,5,K4C,0.25,K-C0.25
C,K1 C2,3,1.0,2.0,0.0144411697036819,0.0048137232345606,0.0144411697036819,0.0072205848518409,K1 C2,C,12.011,170.0,2.55,11.26,1.263,11.3,4.81372323456065,14.44116970368195,0.3333333333333333,0.6666666666666666,0.0072205848518409,0.0001933798498193,0.193379849819317,Immm,71,3,KC2,2.0,K-C2.0
C,K1 C1,2,1.0,1.0,0.0031748158172634,0.0015874079086317,0.0031748158172634,0.0031748158172634,K1 C1,C,12.011,170.0,2.55,11.26,1.263,11.3,1.5874079086317252,3.1748158172634504,0.5,0.5,0.0031748158172634,5.367479190265422e-05,0.0536747919026542,Fm-3m,225,2,KC,1.0,K-C1.0
C,K2 C2,4,2.0,2.0,0.0063159170989185,0.0015789792747296,0.0031579585494592,0.0031579585494592,K2 C2,C,12.011,170.0,2.55,11.26,1.263,11.3,1.5789792747296378,3.1579585494592757,0.5,0.5,0.0031579585494592,5.366146221879937e-05,0.0536614622187993,C2/m,12,4,KC,1.0,K-C1.0
C,K2 C2,4,2.0,2.0,0.0063141872663729,0.0015785468165932,0.0031570936331864,0.0031570936331864,K2 C2,C,12.011,170.0,2.55,11.26,1.263,11.3,1.5785468165932497,3.1570936331864994,0.5,0.5,0.0031570936331864,5.371479521877981e-05,0.0537147952187798,C2/c,15,4,KC,1.0,K-C1.0
C,K8 C8,16,8.0,8.0,0.0211624816499654,0.0013226551031228,0.0026453102062456,0.0026453102062456,K8 C8,C,12.011,170.0,2.55,11.26,1.263,11.3,1.3226551031228435,2.645310206245687,0.5,0.5,0.0026453102062456,4.913292841992556e-05,0.0491329284199255,I4_1/acd,142,16,KC,1.0,K-C1.0
C,K2 C1,3,2.0,1.0,0.0039457157372039,0.0013152385790679,0.0019728578686019,0.0039457157372039,K2 C1,C,12.011,170.0,2.55,11.26,1.263,11.3,1.3152385790679832,1.9728578686019749,0.6666666666666666,0.3333333333333333,0.0039457157372039,4.238768637818087e-05,0.0423876863781808,Fm-3m,225,3,K2C,0.5,K-C0.5
C,K1 C2,3,1.0,2.0,0.0039161765814668,0.0013053921938222,0.0039161765814668,0.0019580882907334,K1 C2,C,12.011,170.0,2.55,11.26,1.263,11.3,1.3053921938222837,3.916176581466851,0.3333333333333333,0.6666666666666666,0.0019580882907334,5.474395166889408e-05,0.054743951668894,I4/mmm,139,3,KC2,2.0,K-C2.0
C,K2 C4,6,2.0,4.0,0.0078311427496554,0.0013051904582759,0.0039155713748277,0.0019577856874138,K2 C4,C,12.011,170.0,2.55,11.26,1.263,11.3,1.3051904582759082,3.9155713748277248,0.3333333333333333,0.6666666666666666,0.0019577856874138,5.473548417237149e-05,0.0547354841723714,P4/nmm,129,6,KC2,2.0,K-C2.0
C,K2 C4,6,2.0,4.0,0.0074892466597413,0.0012482077766235,0.0037446233298706,0.0018723116649353,K2 C4,C,12.011,170.0,2.55,11.26,1.263,11.3,1.2482077766235582,3.744623329870675,0.3333333333333333,0.6666666666666666,0.0018723116649353,5.210433493985712e-05,0.0521043349398571,C2/c,15,6,KC2,2.0,K-C2.0
C,K2 C4,6,2.0,4.0,0.0073585421851361,0.0012264236975226,0.003679271092568,0.001839635546284,K2 C4,C,12.011,170.0,2.55,11.26,1.263,11.3,1.2264236975226834,3.67927109256805,0.3333333333333333,0.6666666666666666,0.001839635546284,5.113982923720587e-05,0.0511398292372058,C2/m,12,6,KC2,2.0,K-C2.0
C,K6 C60,66,6.0,60.0,0.0655437459269674,0.0009930870594995,0.0109239576544945,0.0010923957654494,K6 C60,C,12.011,170.0,2.55,11.26,1.263,11.3,0.9930870594995076,10.92395765449458,0.0909090909090909,0.9090909090909092,0.0010923957654494,8.528789158245103e-05,0.085287891582451,Im-3,204,66,KC10,10.0,K-C10.0
C,K2 C120,122,2.0,120.0,0.0557419705178975,0.0004569013976876,0.0278709852589487,0.0004645164209824,K2 C120,C,12.011,170.0,2.55,11.26,1.263,11.3,0.4569013976876844,27.870985258948753,0.0163934426229508,0.9836065573770492,0.0004645164209824,4.193375299535722e-05,0.0419337529953572,Pnnm,58,122,KC60,60.0,K-C60.0
