cell_length,CN_C,CN_A,C6_C,C6_A,Edis
8.0898391950,15.3716,12.5706,649.0924,338.0207,-5.0786269516901E-02
8.6291618080,13.4757,11.8516,649.0924,338.0207,-4.0961539471685E-02
9.1684844210,12.1284,10.7868,649.0924,338.0207,-3.5475977693980E-02
9.7078070340,10.6918,8.9479,649.0924,338.0207,-3.3665399081871E-02
10.2471296470,8.7964,6.4740,649.0924,338.0207,-3.3465848978870E-02
10.7864522600,6.5542,4.1090,649.0924,338.0207,-3.2546672387306E-02
11.3257748730,4.4066,2.4072,649.0924,338.0212,-2.9819763607141E-02
11.8650974860,2.7407,1.3750,649.0924,339.5393,-2.5713735004772E-02
12.4044200990,1.6395,0.7925,649.3980,491.9270,-2.2763166790591E-02
12.9437427120,0.9763,0.4691,709.3030,2065.1422,-2.7356089189019E-02
13.4830653250,0.5903,0.2865,2117.8433,3748.4197,-5.9747737215472E-02
14.0223879380,0.3663,0.1811,5865.0310,4361.4335,-1.0833212922657E-01
14.5617105510,0.2335,0.1179,7766.4736,4586.0377,-1.1011814563281E-01
15.1010331640,0.1534,0.0792,8437.6792,4684.0889,-9.5119350091264E-02
15.6403557770,0.1036,0.0547,8711.5702,4733.9355,-7.8664515158330E-02
16.1796783900,0.0716,0.0386,8843.7125,4762.1668,-6.4180695870904E-02
16.7190010030,0.0507,0.0280,8915.2212,4779.2152,-5.2173464219095E-02
17.2583236160,0.0365,0.0205,8957.6593,4790.4390,-4.2458346409548E-02
17.7976462290,0.0270,0.0154,8983.9434,4797.6905,-3.4646102063732E-02
18.3369688420,0.0201,0.0115,9001.8328,4803.0972,-2.8400236297695E-02
18.8762914550,0.0151,0.0088,9014.1617,4806.6557,-2.3387702669849E-02
19.4156140680,0.0117,0.0070,9022.3438,4809.1725,-1.9360522982577E-02
19.9549366810,0.0091,0.0055,9028.3743,4811.0625,-1.6109057776823E-02
20.4942592940,0.0073,0.0044,9032.6942,4812.4552,-1.3463590647491E-02
21.0335819070,0.0058,0.0036,9035.9292,4813.5176,-1.1314074805199E-02
21.5729045200,0.0048,0.0030,9038.3904,4814.3390,-9.5515814535595E-03
22.1122271330,0.0039,0.0025,9040.2893,4814.9821,-8.1067623435534E-03
22.6515497460,0.0032,0.0020,9041.8987,4815.5865,-6.9031192087358E-03
23.1908723590,0.0026,0.0017,9043.2977,4815.9840,-5.9089390666413E-03
23.7301949720,0.0022,0.0014,9044.1926,4816.3047,-5.0737429343342E-03
24.2695175850,0.0018,0.0012,9044.9131,4816.5658,-4.3607934307386E-03
24.8088401980,0.0016,0.0011,9045.4983,4816.7801,-3.7668392464457E-03
25.3481628110,0.0013,0.0009,9045.9776,4816.9573,-3.2722902083615E-03
25.8874854240,0.0012,0.0008,9046.3733,4817.1050,-2.8456765655026E-03
26.4268080370,0.0010,0.0007,9046.7023,4817.2289,-2.4862837646639E-03
