cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.7557255975,16.1273,13.3355,649.0924,338.0207,-1.2945231895567E-02
4.0061073040,14.3678,12.1695,649.0924,338.0207,-1.0623974610859E-02
4.2564890105,12.7582,10.8429,649.0924,338.0207,-9.4889407591318E-03
4.5068707170,10.9392,8.9091,649.0924,338.0207,-9.0847856833936E-03
4.7572524235,8.9067,6.5214,649.0924,338.0207,-8.7988673251646E-03
5.0076341300,6.8591,4.2728,649.0924,338.0207,-8.2215220104573E-03
5.2580158365,4.9944,2.5876,649.0924,338.0208,-7.3333563981128E-03
5.5083975430,3.4256,1.5095,649.0924,338.5516,-6.3163079615594E-03
5.7587792495,2.2196,0.8783,649.0955,414.6271,-5.7704086935631E-03
6.0091609560,1.3849,0.5208,651.3953,1605.7949,-9.0640854164072E-03
6.2595426625,0.8529,0.3175,815.0172,3504.7146,-1.3039065712518E-02
6.5099243690,0.5295,0.1998,2927.5268,4276.2331,-2.1077940599248E-02
6.7603060755,0.3350,0.1297,6399.7402,4550.8063,-2.6268327208150E-02
7.0106877820,0.2172,0.0868,7930.3125,4666.9407,-2.4179902350986E-02
7.2610694885,0.1444,0.0596,8494.2570,4724.5856,-2.0420124634847E-02
7.5114511950,0.0985,0.0421,8734.5115,4756.4385,-1.6828875271783E-02
7.7618329015,0.0687,0.0302,8854.3180,4775.7126,-1.3772627314264E-02
8.0122146080,0.0489,0.0222,8920.8765,4787.9392,-1.1260101340017E-02
8.2625963145,0.0356,0.0166,8960.2489,4795.9348,-9.2237840527586E-03
8.5129780210,0.0262,0.0126,8985.9599,4801.5632,-7.5819072295152E-03
8.7633597275,0.0197,0.0096,9002.8857,4805.6192,-6.2563201160146E-03
9.0137414340,0.0151,0.0076,9014.2217,4808.3754,-5.1868192633869E-03
9.2641231405,0.0117,0.0060,9022.2487,4810.4060,-4.3225191148409E-03
9.5145048470,0.0091,0.0047,9028.4067,4812.1179,-3.6168397070112E-03
9.7648865535,0.0073,0.0038,9032.6644,4813.2536,-3.0407213266949E-03
10.0152682600,0.0059,0.0031,9035.8658,4814.1297,-2.5698837249166E-03
10.2656499665,0.0047,0.0026,9038.4363,4814.8441,-2.1823365576600E-03
10.5160316730,0.0038,0.0021,9040.4440,4815.4129,-1.8599659525896E-03
10.7664133795,0.0032,0.0018,9041.8969,4815.8390,-1.5918484682001E-03
11.0167950860,0.0027,0.0015,9043.0471,4816.1824,-1.3675113356537E-03
11.2671767925,0.0023,0.0013,9043.9673,4816.4617,-1.1790419637256E-03
11.5175584990,0.0019,0.0011,9044.7104,4816.6907,-1.0190900146067E-03
11.7679402055,0.0016,0.0010,9045.3157,4816.8801,-8.8461413868835E-04
12.0183219120,0.0014,0.0009,9045.8130,4817.0378,-7.7132506898957E-04
12.2687036185,0.0012,0.0007,9046.3591,4817.2018,-6.7198222601419E-04
