cell_length,CN_C,CN_A,C6_C,C6_A,Edis
7.7586645000,32.3070,11.6259,338.0207,149.7734,-1.5082908101350E+00
8.2759088000,27.9739,9.7179,338.0207,149.7734,-1.2205378137785E+00
8.7931531000,24.4198,8.6862,338.0207,149.7734,-9.7695536911098E-01
9.3103974000,21.9169,7.9671,338.0207,149.7734,-7.9590492166034E-01
9.8276417000,19.9201,7.1650,338.0207,149.7734,-6.7304762450885E-01
10.3448860000,17.6027,6.1201,338.0207,149.7734,-5.9209167605313E-01
10.8621303000,14.4691,4.9051,338.0207,149.7743,-5.3643474293962E-01
11.3793746000,10.7695,3.6743,338.0207,157.3356,-5.0612705494421E-01
11.8966189000,7.2955,2.5640,338.0207,224.5230,-6.1507481379217E-01
12.4138632000,4.6400,1.6830,338.0207,237.8629,-5.7602334998026E-01
12.9311075000,2.8713,1.0645,338.0207,269.0055,-5.6515828157843E-01
13.4483518000,1.7752,0.6659,338.0872,278.9068,-5.4298337107983E-01
13.9655961000,1.1132,0.4198,349.8415,298.5019,-6.2831948262404E-01
14.4828404000,0.7137,0.2694,631.8612,309.3301,-6.7474115124616E-01
15.0000847000,0.4690,0.1768,2066.0809,313.2220,-6.5963759833583E-01
15.5173290000,0.3159,0.1189,3518.1616,314.7663,-6.0926238339951E-01
16.0345733000,0.2177,0.0819,4185.6444,315.4874,-5.4824857895131E-01
16.5518176000,0.1537,0.0577,4470.1047,315.8691,-4.9126944263275E-01
17.0690619000,0.1107,0.0415,4606.3675,316.0907,-4.4108819379556E-01
17.5863062000,0.0814,0.0305,4679.3279,316.2280,-3.9654253436826E-01
18.1035505000,0.0607,0.0228,4722.5045,316.3179,-3.5590177689973E-01
18.6207948000,0.0460,0.0173,4749.6008,316.3788,-3.1799166441675E-01
19.1380391000,0.0355,0.0134,4767.2800,316.4212,-2.8253775728043E-01
19.6552834000,0.0276,0.0105,4779.7837,316.4515,-2.4993023979670E-01
20.1725277000,0.0219,0.0083,4788.3787,316.4740,-2.2066879012825E-01
20.6897720000,0.0176,0.0067,4794.6408,316.4904,-1.9497268853321E-01
21.2070163000,0.0142,0.0054,4799.3027,316.5030,-1.7274329398903E-01
21.7242606000,0.0117,0.0044,4802.8376,316.5127,-1.5360930105868E-01
22.2415049000,0.0097,0.0037,4805.5609,316.5201,-1.3702558342800E-01
22.7587492000,0.0080,0.0031,4807.7636,316.5263,-1.2248165720287E-01
23.2759935000,0.0068,0.0026,4809.4401,316.5310,-1.0957123317260E-01
23.7932378000,0.0057,0.0022,4810.7808,316.5350,-9.7995118512648E-02
24.3104821000,0.0048,0.0019,4812.0109,316.5381,-8.7564447113801E-02
24.8277264000,0.0041,0.0016,4812.8825,316.5405,-7.8146726311772E-02
25.3449707000,0.0036,0.0014,4813.5987,316.5426,-6.9666533127066E-02
