cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.4644338059,26.7915,12.1051,338.0207,151.6886,-1.5866283254083E-01
4.7620627263,21.5096,10.1939,338.0207,151.6886,-1.2780128942351E-01
5.0596916467,18.5267,9.0858,338.0207,151.6886,-1.0142533904409E-01
5.3573205671,16.7606,8.4602,338.0207,151.6886,-8.2132260948009E-02
5.6549494875,15.2314,7.9948,338.0207,151.6886,-6.9733466036706E-02
5.9525784078,13.3258,7.4345,338.0207,151.6886,-6.2587479281390E-02
6.2502073282,10.8297,6.6150,338.0207,151.6886,-5.8942791466457E-02
6.5478362486,7.9999,5.5462,338.0207,151.6886,-5.6929379555892E-02
6.8454651690,5.3998,4.4227,338.0207,151.6886,-5.4611932168410E-02
7.1430940894,3.4296,3.4404,338.0207,151.7031,-5.0695126217125E-02
7.4407230098,2.1221,2.6518,338.0251,157.0177,-4.6229185779578E-02
7.7383519302,1.3129,2.0128,340.4907,175.0861,-4.2186433705394E-02
8.0359808506,0.8242,1.4819,456.7940,178.2854,-3.8827451184816E-02
8.3336097710,0.5293,1.0515,1537.9038,180.6247,-5.0852855935338E-02
8.6312386914,0.3482,0.7243,3237.1737,182.1532,-7.5120220172112E-02
8.9288676118,0.2349,0.4911,4089.8529,186.2476,-8.2649381607230E-02
9.2264965322,0.1623,0.3322,4437.8068,189.3153,-7.6688247905937E-02
9.5241254526,0.1147,0.2264,4595.1637,190.5242,-6.7169597934920E-02
9.8217543729,0.0828,0.1563,4676.1849,190.9908,-5.7693391545481E-02
10.1193832933,0.0608,0.1096,4722.3518,191.1978,-4.9238005389046E-02
10.4170122137,0.0455,0.0782,4750.4988,191.3026,-4.1981408384160E-02
10.7146411341,0.0346,0.0567,4768.8094,191.3614,-3.5827028329132E-02
11.0122700545,0.0267,0.0418,4781.2284,191.3970,-3.0620528831626E-02
11.3098989749,0.0208,0.0313,4789.9302,191.4198,-2.6219808662899E-02
11.6075278953,0.0165,0.0239,4796.1510,191.4350,-2.2495859914305E-02
11.9051568157,0.0132,0.0184,4800.6752,191.4455,-1.9351092897205E-02
12.2027857361,0.0108,0.0144,4804.0713,191.4530,-1.6702631542411E-02
12.5004146565,0.0088,0.0114,4806.6635,191.4584,-1.4476166430062E-02
12.7980435769,0.0073,0.0091,4808.7250,191.4625,-1.2599983294364E-02
13.0956724973,0.0061,0.0074,4810.3566,191.4655,-1.1010391101202E-02
13.3933014177,0.0051,0.0060,4811.6292,191.4679,-9.6577219929395E-03
13.6909303380,0.0043,0.0050,4812.6741,191.4697,-8.4972343158748E-03
13.9885592584,0.0037,0.0041,4813.4736,191.4711,-7.4916918669422E-03
14.2861881788,0.0031,0.0035,4814.1266,191.4723,-6.6154860988960E-03
14.5838170992,0.0027,0.0029,4814.7160,191.4732,-5.8512425667196E-03
