cell_length,CN_C,CN_A,C6_C,C6_A,Edis
6.6524816475,16.1012,14.6314,338.0207,3265.3634,-1.3812980496253E-01
7.0959804240,14.0144,13.1402,338.0207,3265.3634,-1.1200799027069E-01
7.5394792005,12.7321,12.2159,338.0207,3265.3634,-9.1322372020610E-02
7.9829779770,11.6572,11.2164,338.0207,3265.3634,-7.5022648796632E-02
8.4264767535,10.2271,9.6617,338.0207,3265.3634,-6.3100618255836E-02
8.8699755300,8.1927,7.4637,338.0207,3265.3633,-5.5304143951373E-02
9.3134743065,5.8505,5.1054,338.0207,2711.0393,-4.6623894882998E-02
9.7569730830,3.7840,3.1874,338.0207,923.8925,-3.1010431417800E-02
10.2004718595,2.3093,1.9043,338.0217,2033.9300,-3.5792105660583E-02
10.6439706360,1.3842,1.1310,339.4341,3109.7256,-3.8284108342298E-02
11.0874694125,0.8362,0.6822,445.7456,3323.6110,-4.1887308547194E-02
11.5309681890,0.5161,0.4221,1644.5576,3652.5057,-8.9598479676790E-02
11.9744669655,0.3270,0.2687,3424.9827,3818.7181,-1.3171330023743E-01
12.4179657420,0.2129,0.1758,4211.1099,3873.5640,-1.2953180794167E-01
12.8614645185,0.1425,0.1183,4509.2224,3894.3673,-1.1386584443910E-01
13.3049632950,0.0977,0.0816,4640.4615,3903.9288,-9.6881963400300E-02
13.7484620715,0.0688,0.0577,4706.4186,3908.9187,-8.1528568983981E-02
14.1919608480,0.0493,0.0416,4743.7596,3911.8287,-6.8294557413149E-02
14.6354596245,0.0362,0.0307,4766.2059,3913.6139,-5.7075806379703E-02
15.0789584010,0.0271,0.0231,4780.6174,3914.7786,-4.7644842810925E-02
15.5224571775,0.0206,0.0176,4790.2772,3915.5689,-3.9799768126320E-02
15.9659559540,0.0158,0.0136,4797.0803,3916.1305,-3.3298111065121E-02
16.4094547305,0.0124,0.0107,4801.9097,3916.5271,-2.7914383864656E-02
16.8529535070,0.0097,0.0084,4805.4876,3916.8343,-2.3476578719353E-02
17.2964522835,0.0078,0.0068,4808.0471,3917.0502,-1.9818089856982E-02
17.7399510600,0.0063,0.0055,4809.9822,3917.2142,-1.6786788396771E-02
18.1834498365,0.0052,0.0045,4811.4673,3917.3406,-1.4276852970178E-02
18.6269486130,0.0041,0.0036,4812.8862,3917.4633,-1.2181322152802E-02
19.0704473895,0.0034,0.0030,4813.7679,3917.5388,-1.0440458144221E-02
19.5139461660,0.0029,0.0025,4814.4988,3917.6014,-8.9783328091844E-03
19.9574449425,0.0024,0.0021,4815.0581,3917.6497,-7.7487078653702E-03
20.4009437190,0.0021,0.0018,4815.5110,3917.6889,-6.7004420320480E-03
20.8444424955,0.0018,0.0016,4815.8810,3917.7210,-5.8254692894288E-03
21.2879412720,0.0015,0.0014,4816.1856,3917.7475,-5.0763884256645E-03
21.7314400485,0.0013,0.0012,4816.4384,3917.7695,-4.4413444679703E-03
