cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.9483176550,20.0493,12.6103,338.0207,153.5945,-4.7255581410828E-02
4.2115388320,16.9083,11.8197,338.0207,153.5945,-3.7924588730539E-02
4.4747600091,14.4455,10.6503,338.0207,153.5945,-3.1799406173425E-02
4.7379811861,12.4508,8.6991,338.0207,153.5945,-2.8088587108342E-02
5.0012023631,10.7392,6.1822,338.0207,153.5945,-2.6109365501183E-02
5.2644235401,9.2037,3.8677,338.0207,153.5955,-2.4799096507229E-02
5.5276447171,7.7215,2.2474,338.0207,233.6495,-2.6579598520492E-02
5.7908658941,6.1487,1.2796,338.0207,394.6447,-2.8583254757982E-02
6.0540870711,4.5281,0.7377,338.0207,448.9014,-2.6217077528421E-02
6.3173082481,3.0864,0.4373,338.0207,496.5453,-2.3309135308657E-02
6.5805294251,1.9948,0.2679,338.0327,523.2644,-2.0025868397437E-02
6.8437506021,1.2595,0.1697,341.7702,531.6570,-1.6863072180360E-02
7.1069717791,0.7951,0.1110,488.7709,534.7123,-1.7276196645865E-02
7.3701929561,0.5087,0.0748,1707.1176,536.0707,-3.5461059535643E-02
7.6334141331,0.3321,0.0518,3380.4418,536.7706,-5.4389226714313E-02
7.8966353101,0.2215,0.0367,4165.1882,537.1723,-5.5213456780977E-02
8.1598564871,0.1513,0.0266,4478.6326,537.4177,-4.9208251915891E-02
8.4230776641,0.1057,0.0197,4619.7366,537.5745,-4.2092328229918E-02
8.6862988411,0.0754,0.0148,4692.4046,537.6805,-3.5446212417179E-02
8.9495200181,0.0549,0.0114,4733.5094,537.7534,-2.9662799857736E-02
9.2127411951,0.0406,0.0088,4758.9262,537.8070,-2.4778863406361E-02
9.4759623721,0.0305,0.0069,4775.2326,537.8454,-2.0713515065327E-02
9.7391835491,0.0234,0.0056,4786.1321,537.8732,-1.7355590276076E-02
10.0024047261,0.0182,0.0045,4793.7297,537.8942,-1.4584941475714E-02
10.2656259031,0.0143,0.0037,4799.2402,537.9104,-1.2303409564322E-02
10.5288470801,0.0113,0.0030,4803.3494,537.9237,-1.0420126978804E-02
10.7920682571,0.0091,0.0025,4806.3043,537.9334,-8.8564208314264E-03
11.0552894341,0.0074,0.0021,4808.5473,537.9411,-7.5583799566093E-03
11.3185106111,0.0061,0.0018,4810.2752,537.9473,-6.4760959999289E-03
11.5817317881,0.0051,0.0016,4811.6239,537.9524,-5.5655681761843E-03
11.8449529651,0.0043,0.0013,4812.6892,537.9565,-4.8016609189832E-03
12.1081741421,0.0034,0.0011,4813.8400,537.9618,-4.1564157286203E-03
12.3713953191,0.0029,0.0009,4814.4973,537.9645,-3.6128229233740E-03
12.6346164961,0.0024,0.0008,4815.0307,537.9667,-3.1472308830040E-03
12.8978376731,0.0021,0.0007,4815.4672,537.9686,-2.7515968157928E-03
