cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.8165807953,15.0214,15.0214,338.0207,716.5475,-3.2191602500123E-02
5.1376861817,13.7536,13.7536,338.0207,716.5475,-2.5933933369038E-02
5.4587915680,12.2627,12.2627,338.0207,716.5475,-2.2286765182827E-02
5.7798969544,10.3541,10.3541,338.0207,716.5475,-2.0375059003510E-02
6.1010023407,8.2264,8.2264,338.0207,716.5475,-1.9351849899383E-02
6.4221077271,6.0508,6.0508,338.0207,716.5475,-1.8525053283649E-02
6.7432131134,4.0555,4.0555,338.0207,716.5475,-1.7415198614037E-02
7.0643184998,2.5191,2.5191,338.0209,717.2888,-1.5859355295324E-02
7.3854238862,1.5069,1.5069,338.5625,1481.8064,-1.7499618036881E-02
7.7065292725,0.8976,0.8976,403.5521,4084.8691,-2.4090558350459E-02
8.0276346589,0.5435,0.5435,1428.6526,4729.4775,-4.8109839718526E-02
8.3487400452,0.3378,0.3378,3330.5996,5326.5035,-7.3445800593578E-02
8.6698454316,0.2161,0.2161,4194.0644,5544.3070,-7.1851177307566E-02
8.9909508179,0.1418,0.1418,4511.5688,5619.5051,-6.2283019578983E-02
9.3120562043,0.0959,0.0959,4644.9040,5650.3975,-5.2201457997209E-02
9.6331615906,0.0666,0.0666,4710.8148,5665.5221,-4.3214495665101E-02
9.9542669770,0.0473,0.0473,4747.3809,5673.8711,-3.5606049252085E-02
10.2753723633,0.0343,0.0343,4769.1916,5678.8367,-2.9279825995816E-02
10.5964777497,0.0255,0.0255,4783.0498,5681.9862,-2.4097501185542E-02
10.9175831361,0.0192,0.0192,4792.2566,5684.0761,-1.9870538023372E-02
11.2386885224,0.0146,0.0146,4798.7328,5685.5451,-1.6451197769433E-02
11.5597939088,0.0114,0.0114,4803.1969,5686.5571,-1.3676626153444E-02
11.8808992951,0.0087,0.0087,4806.8165,5687.3773,-1.1409894907888E-02
12.2020046815,0.0070,0.0070,4809.1599,5687.9081,-9.5703099524142E-03
12.5231100678,0.0056,0.0056,4810.9207,5688.3069,-8.0587873527955E-03
12.8442154542,0.0046,0.0046,4812.2644,5688.6112,-6.8203950765518E-03
13.1653208405,0.0038,0.0038,4813.3041,5688.8466,-5.7809195060219E-03
13.4864262269,0.0032,0.0032,4814.1188,5689.0311,-4.9343826109313E-03
13.8075316132,0.0025,0.0025,4814.9560,5689.2206,-4.2262256954142E-03
14.1286369996,0.0021,0.0021,4815.4532,5689.3332,-3.6359972056943E-03
14.4497423860,0.0018,0.0018,4815.8544,5689.4240,-3.1398305760708E-03
14.7708477723,0.0015,0.0015,4816.1810,5689.4979,-2.7210154053701E-03
15.0919531587,0.0013,0.0013,4816.4491,5689.5586,-2.3593705796011E-03
15.4130585450,0.0011,0.0011,4816.6708,5689.6087,-2.0582387058509E-03
15.7341639314,0.0010,0.0010,4816.8555,5689.6505,-1.8011645916817E-03
