cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.2138243834,19.1465,13.7669,338.0207,263.4508,-4.9184273308398E-02
4.4947460090,16.3493,12.6696,338.0207,263.4508,-3.9252243852304E-02
4.7756676345,14.7031,10.9916,338.0207,263.4508,-3.3011632602636E-02
5.0565892601,13.2802,8.9170,338.0207,263.4508,-2.9586428598887E-02
5.3375108857,11.4873,6.6844,338.0207,263.4508,-2.7644558839350E-02
5.6184325112,9.2902,4.5366,338.0207,263.4508,-2.6209407219234E-02
5.8993541368,7.0809,2.8123,338.0207,263.4508,-2.4548962155411E-02
6.1802757624,5.1710,1.6575,338.0207,263.4547,-2.2356278746475E-02
6.4611973879,3.6196,0.9670,338.0207,363.4142,-2.1925831467005E-02
6.7421190135,2.4185,0.5727,338.0211,467.7474,-2.0432881530664E-02
7.0230406390,1.5576,0.3485,338.3850,468.1767,-1.7275918876704E-02
7.3039622646,0.9866,0.2187,370.1770,468.1882,-1.5036736290140E-02
7.5848838902,0.6261,0.1415,931.8557,468.1895,-2.0202120688930E-02
7.8658055157,0.4030,0.0943,2713.4638,468.1897,-3.8979934770964E-02
8.1467271413,0.2647,0.0647,3903.0868,468.1898,-5.1300017610234E-02
8.4276487668,0.1780,0.0455,4374.7072,468.1899,-4.9795198005826E-02
8.7085703924,0.1223,0.0327,4573.2775,468.1899,-4.3735437539197E-02
8.9894920180,0.0858,0.0238,4669.3108,468.1899,-3.7184393047720E-02
9.2704136435,0.0616,0.0178,4720.7636,468.1899,-3.1224842624486E-02
9.5513352691,0.0451,0.0136,4751.1833,468.1899,-2.6092556892890E-02
9.8322568947,0.0336,0.0105,4770.3712,468.1899,-2.1788033688252E-02
10.1131785202,0.0255,0.0083,4782.9748,468.1899,-1.8211576740437E-02
10.3941001458,0.0197,0.0066,4791.6146,468.1899,-1.5253037806138E-02
10.6750217713,0.0154,0.0053,4797.7180,468.1899,-1.2820150144596E-02
10.9559433969,0.0122,0.0043,4802.1380,468.1899,-1.0811186909726E-02
11.2368650225,0.0097,0.0035,4805.5389,468.1899,-9.1570347556239E-03
11.5177866480,0.0078,0.0029,4808.0817,468.1899,-7.7867103940686E-03
11.7987082736,0.0062,0.0023,4810.1373,468.1899,-6.6453891615565E-03
12.0796298991,0.0051,0.0020,4811.5573,468.1899,-5.6926065693494E-03
12.3605515247,0.0043,0.0017,4812.6706,468.1899,-4.8960615864928E-03
12.6414731503,0.0036,0.0014,4813.5535,468.1899,-4.2259643315964E-03
12.9223947758,0.0030,0.0012,4814.2608,468.1899,-3.6574367392104E-03
13.2033164014,0.0026,0.0011,4814.8330,468.1899,-3.1760939076916E-03
13.4842380270,0.0022,0.0009,4815.2999,468.1899,-2.7681236796643E-03
13.7651596525,0.0018,0.0008,4815.8052,468.1899,-2.4204590847561E-03
