cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.2636020521,18.7876,12.9884,338.0207,153.3435,-4.2303552191719E-02
4.5478421889,16.0516,11.3412,338.0207,153.3435,-3.3371269484066E-02
4.8320823257,14.3004,9.1896,338.0207,153.3435,-2.7637580501693E-02
5.1163224625,12.6215,6.8553,338.0207,153.3435,-2.4490778758980E-02
5.4005625993,10.6066,4.5951,338.0207,285.6905,-2.7244356959521E-02
5.6848027361,8.4084,2.7848,338.0207,285.6905,-2.5897569107323E-02
5.9690428729,6.3754,1.5968,338.0207,285.7038,-2.4354344664260E-02
6.2532830098,4.6692,0.9074,338.0207,468.2926,-2.5854494282470E-02
6.5375231466,3.2758,0.5252,338.0207,688.9616,-2.5665848603235E-02
6.8217632834,2.1873,0.3134,338.0234,690.6616,-2.2012410103476E-02
7.1060034202,1.4064,0.1936,339.2093,690.7284,-1.8575472570837E-02
7.3902435570,0.8898,0.1238,407.8065,690.7374,-1.6946665696260E-02
7.6744836938,0.5645,0.0816,1280.1582,690.7398,-2.6384246593782E-02
7.9587238306,0.3633,0.0554,3097.7988,690.7406,-4.6946911685485E-02
8.2429639674,0.2389,0.0387,4066.2475,690.7410,-5.6142420559200E-02
8.5272041042,0.1609,0.0277,4443.3367,690.7413,-5.2608986722650E-02
8.8114442410,0.1106,0.0202,4606.7133,690.7414,-4.5637304121175E-02
9.0956843778,0.0777,0.0150,4687.4284,690.7415,-3.8577243693199E-02
9.3799245146,0.0559,0.0114,4731.6841,690.7415,-3.2292818753899E-02
9.6641646514,0.0410,0.0088,4758.1935,690.7416,-2.6931600007975E-02
9.9484047882,0.0306,0.0069,4775.1585,690.7416,-2.2460930156722E-02
10.2326449251,0.0232,0.0055,4786.3586,690.7416,-1.8754620185121E-02
10.5168850619,0.0179,0.0044,4794.0814,690.7416,-1.5703444472308E-02
10.8011251987,0.0141,0.0036,4799.5619,690.7416,-1.3197121652771E-02
11.0853653355,0.0112,0.0030,4803.5453,690.7416,-1.1129476132482E-02
11.3696054723,0.0089,0.0025,4806.6285,690.7416,-9.4270126495683E-03
11.6538456091,0.0072,0.0021,4808.8437,690.7416,-8.0182168139079E-03
11.9380857459,0.0057,0.0016,4810.8021,690.7417,-6.8406494566970E-03
12.2223258827,0.0047,0.0014,4812.0938,690.7417,-5.8639914641187E-03
12.5065660195,0.0039,0.0012,4813.1082,690.7417,-5.0420818599194E-03
12.7908061563,0.0033,0.0010,4813.9139,690.7417,-4.3542611802133E-03
13.0750462931,0.0028,0.0009,4814.5603,690.7417,-3.7693731318772E-03
13.3592864299,0.0024,0.0008,4815.0839,690.7417,-3.2712725848280E-03
13.6435265667,0.0021,0.0007,4815.5118,690.7417,-2.8535507111761E-03
13.9277667035,0.0016,0.0006,4816.0469,690.7417,-2.4950085374339E-03
