cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.0542229015,17.2396,13.7359,338.0207,544.4356,-4.9689701542698E-02
4.3245044282,15.0221,12.6152,338.0207,544.4356,-3.9216078647699E-02
4.5947859550,13.3361,11.7349,338.0207,544.4356,-3.2056775050899E-02
4.8650674818,11.8986,10.5092,338.0207,544.4356,-2.7641502758647E-02
5.1353490085,10.3496,8.6523,338.0207,544.4356,-2.5748423031633E-02
5.4056305353,8.5392,6.3902,338.0207,544.4356,-2.5389610097488E-02
5.6759120621,6.5933,4.2657,338.0207,544.4356,-2.5042318751256E-02
5.9461935888,4.7390,2.6486,338.0207,544.4356,-2.3607244419200E-02
6.2164751156,3.1845,1.5869,338.0207,585.2995,-2.1554330992474E-02
6.4867566424,2.0351,0.9463,338.0294,2617.3032,-3.0751665332016E-02
6.7570381691,1.2688,0.5731,341.5077,2617.3310,-2.6070926994980E-02
7.0273196959,0.7895,0.3556,495.7643,2617.3310,-3.1915278906726E-02
7.2976012227,0.4978,0.2270,1801.7090,2617.3310,-5.9141056939950E-02
7.5678827494,0.3204,0.1491,3480.5323,2617.3310,-7.2632023788974E-02
7.8381642762,0.2112,0.1006,4219.5063,2617.3310,-6.7799415965148E-02
8.1084458030,0.1427,0.0697,4508.4544,2617.3310,-5.8339444517238E-02
8.3787273297,0.0987,0.0494,4637.8557,2617.3310,-4.8883777714685E-02
8.6490088565,0.0699,0.0358,4703.9882,2617.3310,-4.0559507427439E-02
8.9192903833,0.0506,0.0265,4741.4821,2617.3310,-3.3543716425066E-02
9.1895719100,0.0372,0.0199,4764.5170,2617.3310,-2.7749372696604E-02
9.4598534368,0.0278,0.0152,4779.4072,2617.3310,-2.2999715222160E-02
9.7301349636,0.0211,0.0117,4789.4532,2617.3310,-1.9122803344948E-02
10.0004164903,0.0164,0.0092,4796.3164,2617.3310,-1.5971595059201E-02
10.2706980171,0.0129,0.0074,4801.2206,2617.3310,-1.3394349957064E-02
10.5409795439,0.0102,0.0059,4804.8705,2617.3310,-1.1283570522601E-02
10.8112610706,0.0082,0.0049,4807.5339,2617.3310,-9.5393828861539E-03
11.0815425974,0.0066,0.0040,4809.6804,2617.3310,-8.1018384330395E-03
11.3518241242,0.0054,0.0033,4811.2179,2617.3310,-6.9131245605089E-03
11.6221056509,0.0045,0.0028,4812.4153,2617.3310,-5.9169981887691E-03
11.8923871777,0.0036,0.0022,4813.5702,2617.3310,-5.0816355542284E-03
12.1626687044,0.0030,0.0019,4814.3013,2617.3310,-4.3864639362699E-03
12.4329502312,0.0026,0.0016,4814.8887,2617.3310,-3.7971274748695E-03
12.7032317580,0.0022,0.0014,4815.3650,2617.3310,-3.3005240770297E-03
12.9735132847,0.0018,0.0012,4815.7862,2617.3310,-2.8750560306017E-03
13.2437948115,0.0016,0.0010,4816.1042,2617.3310,-2.5135250273915E-03
