cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.3279184550,19.6361,12.7538,338.0207,310.8315,-5.1529570405506E-02
4.6164463520,16.6392,12.1484,338.0207,310.8315,-4.0861962533313E-02
4.9049742490,14.3758,11.4495,338.0207,310.8315,-3.3635024758096E-02
5.1935021460,12.6701,10.1986,338.0207,310.8315,-2.8943585837372E-02
5.4820300430,11.1729,8.1681,338.0207,310.8315,-2.6674597271190E-02
5.7705579400,9.6343,5.7260,338.0207,310.8315,-2.6079673889392E-02
6.0590858370,7.9905,3.5897,338.0207,310.8420,-2.5753765026465E-02
6.3476137340,6.2373,2.1190,338.0207,419.5157,-2.7327305521939E-02
6.6361416310,4.4994,1.2336,338.0207,635.3045,-2.8509044381662E-02
6.9246695280,3.0151,0.7278,338.0207,687.9798,-2.5254078761935E-02
7.2131974250,1.9269,0.4407,338.0410,723.7045,-2.1572135209802E-02
7.5017253220,1.2094,0.2750,343.5730,743.9835,-1.8263330891317E-02
7.7902532190,0.7620,0.1771,535.7179,750.6132,-2.0384330031750E-02
8.0787811160,0.4876,0.1175,1893.0586,753.0836,-4.2483363425451E-02
8.3673090130,0.3188,0.0801,3493.6113,754.1957,-5.8230019081601E-02
8.6558369100,0.2130,0.0558,4210.5688,754.7792,-5.6690457912760E-02
8.9443648070,0.1459,0.0399,4497.6749,755.1085,-4.9824200659202E-02
9.2328927040,0.1021,0.0292,4629.2690,755.3114,-4.2332622205696E-02
9.5214206010,0.0731,0.0218,4697.4270,755.4424,-3.5503719151458E-02
9.8099484980,0.0533,0.0165,4736.4600,755.5308,-2.9623496529626E-02
10.0984763950,0.0394,0.0126,4760.9018,755.5948,-2.4700129151132E-02
10.3870042920,0.0298,0.0099,4776.4309,755.6384,-2.0615215527947E-02
10.6755321890,0.0229,0.0078,4786.9412,755.6703,-1.7254752216544E-02
10.9640600860,0.0178,0.0063,4794.2914,755.6940,-1.4488383098246E-02
11.2525879830,0.0139,0.0051,4799.7805,755.7126,-1.2215133262454E-02
11.5411158800,0.0111,0.0042,4803.6302,755.7263,-1.0341566880121E-02
11.8296437770,0.0090,0.0034,4806.5100,755.7370,-8.7841780603025E-03
12.1181716740,0.0073,0.0029,4808.7000,755.7454,-7.4961904227690E-03
12.4066995710,0.0060,0.0024,4810.3899,755.7521,-6.4220750440196E-03
12.6952274680,0.0050,0.0021,4811.7109,755.7575,-5.5135278442460E-03
12.9837553650,0.0040,0.0016,4813.0859,755.7643,-4.7546164774919E-03
13.2722832620,0.0033,0.0014,4813.8885,755.7677,-4.1180488511409E-03
13.5608111590,0.0028,0.0012,4814.5348,755.7705,-3.5754516892626E-03
13.8493390560,0.0024,0.0010,4815.0600,755.7728,-3.1172967107650E-03
14.1378669530,0.0021,0.0009,4815.4902,755.7747,-2.7263155211441E-03
